market,model,n,logloss,brier,ece,acc
1x2,L3,2360,0.9021456548943544,0.5304696793930683,0.024576574531283746,0.5817796610169491
1x2,L3_const,2360,0.9014714460243852,0.5300504177299058,0.024136731680966757,0.5822033898305085
1x2,DixonColes,2360,0.9424620127678046,0.5357123748741105,0.046793664452708064,0.5855932203389831
1x2,ML_GBM,2360,0.9274054778145316,0.5386883004876334,0.049099829574180846,0.5775423728813559
Over2.5,L3,2360,0.7024997742542485,0.2455575929467755,,
Over2.5,L3_const,2360,0.6973780301124095,0.24769401801850263,,
Over2.5,DixonColes,2360,0.6816497257307454,0.2443087888488384,,
Over2.5,ML_GBM,2360,0.6835056331058961,0.24306444811135458,,
BTTS,L3,2360,0.6841340872466619,0.24335399694497786,,
BTTS,L3_const,2360,0.7060561702935078,0.24475500825027632,,
BTTS,DixonColes,2360,0.6812900974316732,0.24409421432187464,,
BTTS,ML_GBM,2360,0.6808746370875279,0.24397641946394832,,
