scope,inputs,prop,band,n,pred_mean,obs_rate,gap
150_const_recon,const,card,"(0.00,0.10]",1151,0.061056363832315046,0.021720243266724587,0.03933612056559046
150_const_recon,const,card,"(0.10,0.20]",1047,0.1481974900576333,0.13658070678127984,0.01161678327635346
150_const_recon,const,card,"(0.20,0.30]",614,0.24488042963195536,0.26384364820846906,-0.018963218576513702
150_const_recon,const,card,"(0.30,0.50]",231,0.360444703421855,0.2597402597402597,0.10070444368159526
150_const_recon,const,card,"(0.50,1.00]",19,0.5668942967622371,0.3157894736842105,0.2511048230780266
150_const_recon,const,shot_on,"(0.00,0.10]",872,0.025974873433604717,0.02981651376146789,-0.0038416403278631744
150_const_recon,const,shot_on,"(0.10,0.20]",460,0.14490717209700382,0.05652173913043478,0.08838543296656903
150_const_recon,const,shot_on,"(0.20,0.30]",363,0.2502638917214004,0.162534435261708,0.0877294564596924
150_const_recon,const,shot_on,"(0.30,0.50]",648,0.37199302082000596,0.2638888888888889,0.10810413193111706
150_const_recon,const,shot_on,"(0.50,1.00]",719,0.6766951381484321,0.5424200278164116,0.13427511033202044
97_const,const,card,"(0.00,0.10]",799,0.06021025599220163,0.016270337922403004,0.04393991806979863
97_const,const,card,"(0.10,0.20]",657,0.14756611237163164,0.1339421613394216,0.013623951032210035
97_const,const,card,"(0.20,0.30]",425,0.24358984502758155,0.28,-0.03641015497241848
97_const,const,card,"(0.30,0.50]",169,0.3618136981497925,0.2958579881656805,0.06595570998411199
97_const,const,card,"(0.50,1.00]",9,0.5611087878655098,0.3333333333333333,0.22777545453217646
97_const,const,shot_on,"(0.00,0.10]",606,0.023818540129465472,0.018151815181518153,0.005666724947947319
97_const,const,shot_on,"(0.10,0.20]",303,0.14580788538767614,0.0462046204620462,0.09960326492562993
97_const,const,shot_on,"(0.20,0.30]",232,0.2488914688037311,0.15086206896551724,0.09802939983821385
97_const,const,shot_on,"(0.30,0.50]",427,0.38012310520432097,0.26697892271662765,0.11314418248769331
97_const,const,shot_on,"(0.50,1.00]",491,0.6760338279220661,0.5376782077393075,0.1383556201827586
97_model,model,card,"(0.00,0.10]",790,0.05975699063832691,0.0189873417721519,0.04076964886617501
97_model,model,card,"(0.10,0.20]",637,0.14876199760699085,0.13971742543171115,0.009044572175279708
97_model,model,card,"(0.20,0.30]",379,0.24447919726461978,0.29815303430079154,-0.05367383703617176
97_model,model,card,"(0.30,0.50]",155,0.3544296355141742,0.3419354838709677,0.012494151643206497
97_model,model,card,"(0.50,1.00]",10,0.5408058727213672,0.3,0.24080587272136716
97_model,model,shot_on,"(0.00,0.10]",668,0.02862546911499119,0.014970059880239521,0.01365540923475167
97_model,model,shot_on,"(0.10,0.20]",274,0.14731927725028152,0.072992700729927,0.07432657652035451
97_model,model,shot_on,"(0.20,0.30]",300,0.2506194337508671,0.18333333333333332,0.06728610041753377
97_model,model,shot_on,"(0.30,0.50]",362,0.3973704695056586,0.3314917127071823,0.06587875679847627
97_model,model,shot_on,"(0.50,1.00]",367,0.6657684610544453,0.5776566757493188,0.08811178530512653
