fixture_id,player_id,player_name,team,position,referee_name,p_original,p_adjusted_pre_fixture,p_adjusted_leave_one_out,act_card,adjustment_direction_pre_fixture,adjustment_direction_leave_one_out,confidence,reason
1489410,16367,W. Pacho,Ecuador,DEF,"Tori Penso, USA",0.1163,0.1163,0.1183,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,16360,A. Franco,Ecuador,DEF,"Tori Penso, USA",0.1242,0.1199,0.1264,1,bajar,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,25414,J. Yeboah,Ecuador,MID,"Tori Penso, USA",0.1682,0.1674,0.1703,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,127817,P. Hincapié,Ecuador,DEF,"Tori Penso, USA",0.1345,0.1345,0.1369,1,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,2583,A. Preciado,Ecuador,DEF,"Tori Penso, USA",0.0507,0.0507,0.0516,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,116117,M. Caicedo,Ecuador,MID,"Tori Penso, USA",0.4552,0.4689,0.4768,0,subir,subir,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,35533,E. Valencia,Ecuador,FWD,"Tori Penso, USA",0.2825,0.2698,0.2691,0,bajar,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,63964,F. Torres,Ecuador,DEF,"Tori Penso, USA",0.0574,0.0574,0.0584,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,406303,K. Páez,Ecuador,MID,"Tori Penso, USA",0.2431,0.2504,0.2546,0,subir,subir,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,354027,J. Ordoñez,Ecuador,DEF,"Tori Penso, USA",0.1749,0.1749,0.1753,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,280695,A. Minda,Ecuador,FWD,"Tori Penso, USA",0.0803,0.0767,0.0781,0,bajar,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,502,J. Kimmich,Germany,DEF,"Tori Penso, USA",0.0667,0.0645,0.0645,0,bajar,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,972,J. Tah,Germany,DEF,"Tori Penso, USA",0.3278,0.3171,0.3106,0,bajar,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,203224,F. Wirtz,Germany,MID,"Tori Penso, USA",0.2262,0.229,0.2256,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,2285,A. Rüdiger,Germany,DEF,"Tori Penso, USA",0.3099,0.3045,0.2998,0,neutro,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,181812,J. Musiala,Germany,MID,"Tori Penso, USA",0.0362,0.0354,0.0367,0,bajar,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,978,K. Havertz,Germany,FWD,"Tori Penso, USA",0.0413,0.0379,0.0393,0,bajar,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,25158,D. Raum,Germany,DEF,"Tori Penso, USA",0.2652,0.2606,0.2606,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,702,O. Baumann,Germany,GK,"Tori Penso, USA",0.0445,0.0437,0.0437,0,neutro,neutro,baja,perfiles reconstruidos solo con jornadas anteriores
1489410,26243,N. Schlotterbeck,Germany,DEF,"Tori Penso, USA",0.3622,0.3432,0.3432,0,bajar,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,511,L. Goretzka,Germany,MID,"Tori Penso, USA",0.1466,0.1484,0.1484,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489410,644,L. Sané,Germany,MID,"Tori Penso, USA",0.0538,0.0537,0.0526,0,neutro,bajar,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489409,309763,L. Comenencia,Curaçao,MID,"Glenn Nyberg, Sweden",0.1221,0.1322,0.1322,0,subir,subir,media-baja,perfiles reconstruidos solo con jornadas anteriores
1489409,163220,J. Antonisse,Curaçao,FWD,"Glenn Nyberg, Sweden",0.4484,0.4428,0.4428,0,neutro,neutro,media-baja,perfiles reconstruidos solo con jornadas anteriores
