team,team_id,club_form,cf_rating,cf_ga90,mean_tier,n_players,n_player_seasons
Germany,25,7.732,7.093,0.319,0.992,26,78
France,2,7.704,7.031,0.337,0.979,26,78
England,10,7.667,6.978,0.344,0.983,26,78
Spain,9,7.59,6.991,0.299,0.975,26,78
Portugal,27,7.274,6.635,0.319,0.927,26,78
Argentina,26,7.209,6.585,0.312,0.917,26,78
Netherlands,1118,7.191,6.691,0.25,0.951,26,78
Belgium,1,7.113,6.654,0.229,0.933,26,78
Senegal,13,7.008,6.561,0.224,0.941,26,73
Switzerland,15,6.86,6.477,0.192,0.928,26,78
Brazil,6,6.82,6.292,0.264,0.878,26,78
Ivory Coast,1501,6.792,6.309,0.242,0.901,26,74
Croatia,3,6.689,6.171,0.259,0.876,26,78
Türkiye,777,6.627,6.073,0.277,0.854,26,77
Norway,1090,6.439,5.931,0.254,0.839,26,78
Morocco,31,6.424,5.976,0.224,0.842,26,73
Austria,775,6.393,6.059,0.167,0.871,26,77
Scotland,1108,6.382,5.98,0.201,0.858,26,73
Algeria,1532,6.318,5.822,0.248,0.804,26,63
Sweden,5,6.202,5.772,0.215,0.829,26,78
Japan,12,6.165,5.742,0.211,0.823,26,78
Saudi Arabia,23,6.127,5.641,0.243,0.8,26,71
USA,2384,6.085,5.639,0.223,0.802,26,77
Ghana,1504,6.056,5.698,0.179,0.815,26,73
Congo DR,1508,5.775,5.455,0.16,0.789,26,76
Uruguay,7,5.754,5.341,0.206,0.761,26,76
Tunisia,28,5.72,5.4,0.16,0.755,26,60
Colombia,8,5.702,5.275,0.214,0.751,26,78
Czechia,770,5.669,5.18,0.245,0.734,26,76
Curaçao,5530,5.584,5.286,0.149,0.757,26,69
South Korea,17,5.58,5.201,0.19,0.738,26,74
Canada,5529,5.459,5.084,0.188,0.73,26,78
Uzbekistan,1568,5.384,5.125,0.129,0.597,26,67
Bosnia & Herzegovina,1113,5.33,4.951,0.189,0.71,26,76
Mexico,16,5.286,4.874,0.206,0.691,26,77
Ecuador,2382,5.251,5.0,0.126,0.717,26,78
Egypt,32,5.222,4.742,0.24,0.664,26,69
Cape Verde Islands,1533,5.091,4.771,0.16,0.679,26,75
Iran,22,5.069,4.735,0.167,0.619,26,58
Australia,20,5.069,4.857,0.106,0.693,26,77
Haiti,2386,5.065,4.82,0.123,0.69,26,64
Paraguay,2380,5.056,4.751,0.153,0.661,26,70
Panama,11,4.759,4.496,0.131,0.599,26,72
Jordan,1548,4.738,4.44,0.149,0.624,26,44
New Zealand,4673,4.493,4.233,0.13,0.606,26,75
Iraq,1567,4.474,4.243,0.115,0.613,26,54
Qatar,1569,4.43,4.121,0.154,0.581,26,68
South Africa,1531,3.961,3.737,0.112,0.534,26,75
