team,team_id,player_id,player_name,has_club,club,league_country,league_name,apps,minutes,rating,goals,assists,ga90,tier
Mexico,16,35769,C. Acevedo,True,Santos Laguna,Mexico,Liga MX,32.0,2856.0,6.92,0.0,0.0,0.0,0.6
Mexico,16,2098,G. Ochoa,True,AEL,Cyprus,1. Division,22.0,720.0,6.71,0.0,0.0,0.0,0.5
Mexico,16,270774,J. Rangel,True,Guadalajara Chivas,Mexico,Liga MX,33.0,3099.0,6.89,0.0,0.0,0.0,0.6
Mexico,16,2881,J. Gallardo,True,Toluca,Mexico,Liga MX,30.0,2733.0,6.94,5.0,5.0,0.329,0.6
Mexico,16,2873,C. Montes,True,Lokomotiv,Russia,Premier League,26.0,2208.0,7.25,4.0,0.0,0.163,0.8
Mexico,16,127227,I. Reyes,True,Club America,Mexico,Liga MX,32.0,2857.0,7.07,0.0,2.0,0.063,0.6
Mexico,16,2878,J. Sánchez,True,Cruz Azul,Mexico,Liga MX,17.0,1451.0,6.56,0.0,1.0,0.062,0.6
Mexico,16,35544,J. Vásquez,True,Genoa,Italy,Serie A,36.0,3217.0,6.8,1.0,0.0,0.028,1.0
Mexico,16,2869,E. Álvarez,True,Fenerbahçe,Turkey,Süper Lig,12.0,768.0,6.9,0.0,1.0,0.117,0.8
Mexico,16,390002,M. Chávez,True,AZ Alkmaar,Netherlands,Eredivisie,20.0,839.0,6.88,1.0,2.0,0.322,0.8
Mexico,16,313383,O. Vargas,True,Seattle Sounders,USA,Major League Soccer,28.0,2546.0,7.24,5.0,1.0,0.212,0.6
Mexico,16,35690,L. Chávez,True,Dynamo,Russia,Premier League,4.0,164.0,6.8,0.0,0.0,,0.8
Mexico,16,750,Álvaro Fidalgo,True,Club America,Mexico,Liga MX,20.0,1537.0,7.16,1.0,0.0,0.059,0.6
Mexico,16,212233,B. Gutiérrez,True,Chicago Fire,USA,Major League Soccer,31.0,2252.0,7.28,10.0,3.0,0.52,0.6
Mexico,16,266345,É. Lira,True,Cruz Azul,Mexico,Liga MX,35.0,3023.0,6.84,0.0,0.0,0.0,0.6
Mexico,16,482605,G. Mora,True,Club Tijuana,Mexico,Liga MX,19.0,1396.0,7.15,6.0,1.0,0.451,0.6
Mexico,16,35576,O. Pineda,True,AEK Athens FC,Greece,Super League 1,30.0,2487.0,7.33,5.0,2.0,0.253,0.8
Mexico,16,35970,L. Romo,True,Guadalajara Chivas,Mexico,Liga MX,27.0,2466.0,7.06,1.0,2.0,0.109,0.6
Mexico,16,2879,R. Alvarado,True,Guadalajara Chivas,Mexico,Liga MX,30.0,2385.0,7.17,4.0,5.0,0.34,0.6
Mexico,16,94562,S. Giménez,True,AC Milan,Italy,Serie A,16.0,896.0,6.49,0.0,1.0,0.1,1.0
Mexico,16,291713,A. González,True,Guadalajara Chivas,Mexico,Liga MX,34.0,2459.0,6.93,24.0,2.0,0.952,0.6
Mexico,16,36111,C. Huerta,True,Anderlecht,Belgium,Jupiler Pro League,11.0,544.0,6.54,1.0,0.0,0.165,0.8
