fixture_id,kickoff_utc,home,away,round,home_group,away_group,scenario_home,scenario_away,mult_home,mult_away,nontrivial,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25,logged_at_utc,pred_policy,pred_lead_min,result_ft_gh,result_ft_ga,result_1x2,result_status,settled,settled_at_utc
1539074,2026-06-26 19:00,Senegal,Iraq,Group Stage - 3,Group I,Group I,tercero_en_disputa,tercero_en_disputa,1.0,1.0,0,0.596,0.2395,0.1645,1.893,0.766,0.4961,0.596,0.2395,0.1645,1.893,0.766,0.4961,2026-06-26T16:24:08+00:00,last_preko,155,5.0,0.0,H,FT,1,2026-06-26T22:24:02+00:00
1489416,2026-06-26 19:00,Norway,France,Group Stage - 3,Group I,Group I,intrascendente,intrascendente,1.0,1.0,0,0.2505,0.24,0.5094,0.974,1.684,0.4961,0.2505,0.24,0.5094,0.974,1.684,0.4961,2026-06-26T16:24:08+00:00,last_preko,155,1.0,4.0,A,FT,1,2026-06-26T22:24:02+00:00
1489417,2026-06-27 00:00,Uruguay,Spain,Group Stage - 3,Group H,Group H,gana_y_pasa,le_vale_empate,1.0,0.97,1,0.16,0.1871,0.6529,0.666,1.96,0.4883,0.16,0.1871,0.6529,0.666,1.902,0.4735,2026-06-26T23:37:21+00:00,last_preko,22,0.0,1.0,A,FT,1,2026-06-27T08:10:33+00:00
1489413,2026-06-27 00:00,Cape Verde Islands,Saudi Arabia,Group Stage - 3,Group H,Group H,le_vale_empate_cond,debe_ganar,1.0,1.08,1,0.5708,0.2455,0.1837,1.639,0.883,0.4617,0.5227,0.2521,0.2252,1.639,0.954,0.4796,2026-06-26T23:37:21+00:00,last_preko,22,0.0,0.0,D,FT,1,2026-06-27T08:10:33+00:00
1489414,2026-06-27 03:00,Egypt,Iran,Group Stage - 3,Group G,Group G,le_vale_empate,gana_y_pasa,0.97,1.0,1,0.3297,0.3012,0.3691,1.098,1.303,0.4303,0.3297,0.3012,0.3691,1.065,1.303,0.4217,2026-06-26T23:37:21+00:00,last_preko,202,1.0,1.0,D,FT,1,2026-06-27T08:10:33+00:00
1489415,2026-06-27 03:00,New Zealand,Belgium,Group Stage - 3,Group G,Group G,debe_ganar,le_vale_empate_cond,1.08,1.0,1,0.0744,0.1861,0.7395,0.557,2.204,0.5213,0.0762,0.1905,0.7333,0.602,2.204,0.5319,2026-06-26T23:37:21+00:00,last_preko,202,1.0,5.0,A,FT,1,2026-06-27T08:10:33+00:00
1489420,2026-06-27 21:00,Croatia,Ghana,Group Stage - 3,Group L,Group L,gana_y_pasa,le_vale_empate,1.0,0.97,1,0.6422,0.1952,0.1626,1.946,0.721,0.4983,0.6422,0.1952,0.1626,1.946,0.699,0.4929,2026-06-27T14:31:29+00:00,last_preko,388,2.0,1.0,H,FT,1,2026-06-28T08:56:50+00:00
1489422,2026-06-27 21:00,Panama,England,Group Stage - 3,Group L,Group L,debe_ganar,le_vale_empate,1.08,0.97,1,0.0588,0.1848,0.7565,0.529,2.276,0.5316,0.0752,0.1882,0.7366,0.571,2.207,0.5254,2026-06-27T14:31:29+00:00,last_preko,388,0.0,2.0,A,FT,1,2026-06-28T08:56:50+00:00
1489419,2026-06-27 23:30,Colombia,Portugal,Group Stage - 3,Group K,Group K,qualified,le_vale_empate,0.92,0.97,1,0.3297,0.3012,0.3691,1.094,1.307,0.4305,0.2991,0.3408,0.3602,1.007,1.267,0.3971,2026-06-27T14:31:29+00:00,last_preko,538,0.0,0.0,D,FT,1,2026-06-28T08:56:50+00:00
1539013,2026-06-27 23:30,Congo DR,Uzbekistan,Group Stage - 3,Group K,Group K,debe_ganar,debe_ganar,1.08,1.08,1,0.4412,0.2928,0.266,1.367,1.064,0.4385,0.4662,0.2528,0.281,1.477,1.149,0.4881,2026-06-27T14:31:29+00:00,last_preko,538,3.0,1.0,H,FT,1,2026-06-28T08:56:50+00:00
1489418,2026-06-28 02:00,Algeria,Austria,Group Stage - 3,Group J,Group J,gana_y_pasa,gana_y_pasa,1.0,1.0,0,0.5426,0.2617,0.1958,1.607,0.902,0.4585,0.5426,0.2617,0.1958,1.607,0.902,0.4585,2026-06-27T14:31:29+00:00,last_preko,688,3.0,3.0,D,FT,1,2026-06-28T08:56:50+00:00
1489421,2026-06-28 02:00,Jordan,Argentina,Group Stage - 3,Group J,Group J,debe_ganar,qualified,1.08,0.92,1,0.0294,0.1025,0.8681,0.351,2.87,0.6246,0.0295,0.1082,0.8623,0.38,2.641,0.5814,2026-06-27T14:31:29+00:00,last_preko,688,1.0,3.0,A,FT,1,2026-06-28T08:56:50+00:00
1561329,2026-06-28 19:00,South Africa,Canada,Round of 32,Group A,Group B,knockout,knockout,1.0,1.0,0,0.2642,0.2392,0.4965,0.917,1.535,0.444,0.2642,0.2392,0.4965,0.917,1.535,0.444,2026-06-28T08:56:50+00:00,last_preko,603,0.0,1.0,A,FT,1,2026-06-29T06:50:28+00:00
