fixture_id,kickoff_utc,home,away,fd_home,fd_draw,fd_away,ens_home,ens_draw,ens_away,n_features,n_missing
1489420,2026-06-27 21:00,Croatia,Ghana,0.6856,0.1885,0.1259,0.675,0.1944,0.1306,31,7
1489422,2026-06-27 21:00,Panama,England,0.0804,0.133,0.7865,0.0879,0.2008,0.7113,31,6
1489419,2026-06-27 23:30,Colombia,Portugal,0.3766,0.2764,0.3471,0.3553,0.2944,0.3503,31,6
1539013,2026-06-27 23:30,Congo DR,Uzbekistan,0.5223,0.2692,0.2086,0.4937,0.2757,0.2306,31,2
1489418,2026-06-28 02:00,Algeria,Austria,0.5834,0.2359,0.1807,0.5719,0.2493,0.1787,31,7
1489421,2026-06-28 02:00,Jordan,Argentina,0.0577,0.098,0.8442,0.0394,0.1313,0.8294,31,7
1561329,2026-06-28 19:00,South Africa,Canada,0.2884,0.2439,0.4676,0.2883,0.2592,0.4525,31,6
1562344,2026-06-29 17:00,Brazil,Japan,0.4879,0.2506,0.2614,0.4911,0.2667,0.2422,31,5
1565176,2026-06-29 20:30,Germany,Paraguay,0.6842,0.1936,0.1222,0.6769,0.1898,0.1334,31,7
1562345,2026-06-30 01:00,Netherlands,Morocco,0.4487,0.261,0.2903,0.4263,0.2787,0.295,31,7
1564789,2026-06-30 17:00,Ivory Coast,Norway,0.4096,0.2821,0.3083,0.3682,0.2965,0.3353,31,7
1565177,2026-06-30 21:00,France,Sweden,0.6926,0.2052,0.1022,0.6357,0.2293,0.135,31,5
1567306,2026-07-01 01:00,Mexico,Ecuador,0.4455,0.2786,0.2759,0.4018,0.284,0.3142,31,5
1567307,2026-07-01 16:00,England,Congo DR,0.6712,0.2021,0.1267,0.6461,0.2185,0.1354,31,7
1567308,2026-07-01 20:00,Belgium,Senegal,0.5195,0.2572,0.2233,0.5065,0.259,0.2345,31,6
1562586,2026-07-02 00:00,USA,Bosnia & Herzegovina,0.5464,0.2281,0.2255,0.543,0.2484,0.2086,31,6
1567311,2026-07-02 19:00,Spain,Austria,0.7267,0.1782,0.0951,0.7209,0.189,0.09,31,6
1567309,2026-07-02 23:00,Portugal,Croatia,0.5652,0.2369,0.1979,0.5431,0.2379,0.219,31,5
1567312,2026-07-03 03:00,Switzerland,Algeria,0.3735,0.2719,0.3546,0.3548,0.2904,0.3548,31,7
1565178,2026-07-03 18:00,Australia,Egypt,0.4454,0.2662,0.2884,0.4132,0.2871,0.2997,31,2
1565179,2026-07-03 22:00,Argentina,Cape Verde Islands,0.7903,0.1342,0.0755,0.7942,0.1366,0.0692,31,6
1567310,2026-07-04 01:30,Colombia,Ghana,0.7968,0.1349,0.0683,0.7944,0.1373,0.0683,31,7
1567824,2026-07-04 17:00,Canada,Morocco,0.2053,0.228,0.5667,0.179,0.2418,0.5792,31,14
1569870,2026-07-04 21:00,Paraguay,France,0.1335,0.1738,0.6927,0.0899,0.2018,0.7082,31,15
1568100,2026-07-05 20:00,Brazil,Norway,0.6182,0.2275,0.1544,0.6057,0.2369,0.1574,31,14
1570714,2026-07-06 00:00,Mexico,England,0.3216,0.2608,0.4177,0.2948,0.2594,0.4458,31,14
1576756,2026-07-06 19:00,Portugal,Spain,0.3237,0.2597,0.4166,0.3075,0.2765,0.4161,31,13
1570715,2026-07-07 00:00,USA,Belgium,0.1975,0.2158,0.5867,0.2185,0.263,0.5186,31,13
1576804,2026-07-07 16:00,Argentina,Egypt,0.7312,0.1728,0.096,0.7117,0.1869,0.1014,31,15
1576805,2026-07-07 20:00,Switzerland,Colombia,0.3294,0.2639,0.4067,0.3084,0.2736,0.4181,31,14
1578539,2026-07-09 20:00,France,Morocco,0.5431,0.2498,0.2071,0.4819,0.2731,0.245,31,14
1581821,2026-07-10 19:00,Spain,Belgium,0.5229,0.2507,0.2265,0.4828,0.2722,0.245,31,14
