player_id,player_name,goals,assists,goals_per90,pens_taken,pens_scored,pens_missed,yellows,reds,goal_involvement,set_piece_goals,sample_fixtures,data_quality,confidence,reason
153,O. Dembele,4,2,2.571,0,0,0,0,0,6,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
278,K. Mbappe,4,2,2.093,0,0,0,0,0,6,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
2218,I. Sarr,3,1,3.333,0,0,0,0,0,4,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
19617,M. Olise,0,4,0.0,0,0,0,0,0,4,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
762,Vinicius Junior,3,1,3.0,0,0,0,0,0,4,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
247,C. Gakpo,3,1,1.371,0,0,0,0,0,4,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
10135,Bruno Guimaraes,0,3,0.0,0,0,0,0,0,3,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
37724,C. Summerville,1,2,,1,0,1,0,0,3,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
305832,M. Galarza,2,1,,1,1,0,2,0,3,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
47323,M. Oyarzabal,2,1,2.368,0,0,0,0,0,3,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
35532,J. Quinones,2,1,2.25,0,0,0,0,0,3,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
72155,A. Ueda,2,1,1.154,0,0,0,0,0,3,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
161897,I. Saibari,3,0,2.25,1,1,0,0,0,3,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
38750,B. Brobbey,3,0,3.506,0,0,0,0,0,3,,3,media,baja,muestra pequeña (3 partidos con eventos) — orientativo
1100,E. Haaland,3,0,3.0,0,0,0,0,0,3,,2,media,baja,muestra pequeña (2 partidos con eventos) — orientativo
