fixture_id,kickoff_utc,team_id,team,player_id,player,is_xi,basis,p_goal,p_card,p_shot_on,p_assist,exp_shots,lam_goal,lam_card,lam_shot_on,lam_assist,logged_at_utc,act_goal,act_card,act_shots,act_shots_on,act_assist,act_minutes,settled,settled_at_utc
1489410,2026-06-25 20:00,2382,Ecuador,16367,W. Pacho,1,probable_by_squad_starts,0.013,0.1163,0.104,0.0094,0.33,0.0131,0.1236,0.1098,0.0094,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,16360,A. Franco,1,probable_by_squad_starts,0.014,0.1242,0.0994,0.0101,0.42,0.0141,0.1327,0.1047,0.0101,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,25414,J. Yeboah,1,probable_by_squad_starts,0.1408,0.1682,0.5186,0.1572,0.85,0.1518,0.1841,0.7311,0.1711,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,127817,P. Hincapié,1,probable_by_squad_starts,0.1123,0.1345,0.2897,0.011,0.46,0.1191,0.1445,0.3421,0.011,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,2583,A. Preciado,1,probable_by_squad_starts,0.0162,0.0507,0.1143,0.0117,0.49,0.0163,0.0521,0.1214,0.0118,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,116117,M. Caicedo,1,probable_by_squad_starts,0.0149,0.4552,0.1421,0.1228,0.31,0.015,0.6074,0.1532,0.131,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,35533,E. Valencia,1,probable_by_squad_starts,0.0888,0.2825,0.4877,0.0151,2.01,0.093,0.332,0.6689,0.0153,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,63964,F. Torres,1,probable_by_squad_starts,0.0184,0.0574,0.0,0.0132,0.64,0.0185,0.0591,0.0,0.0133,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,406303,K. Páez,1,probable_by_squad_starts,0.075,0.2431,0.3952,0.0808,1.11,0.078,0.2785,0.5028,0.0843,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,354027,J. Ordoñez,1,probable_by_squad_starts,0.0202,0.1749,0.0,0.0146,0.32,0.0204,0.1923,0.0,0.0147,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,2382,Ecuador,280695,A. Minda,1,probable_by_squad_starts,0.1087,0.0803,0.4159,0.0187,0.54,0.1151,0.0837,0.5376,0.0189,2026-06-25T15:44:55+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,502,J. Kimmich,1,probable_by_squad_starts,0.1201,0.0667,0.3944,0.1806,0.81,0.128,0.069,0.5016,0.1992,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,972,J. Tah,1,probable_by_squad_starts,0.0191,0.3278,0.1473,0.0144,0.24,0.0193,0.3971,0.1593,0.0145,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,203224,F. Wirtz,1,probable_by_squad_starts,0.2553,0.2262,0.5388,0.1336,1.41,0.2948,0.2565,0.7739,0.1434,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,2285,A. Rüdiger,1,probable_by_squad_starts,0.0243,0.3099,0.2018,0.0475,0.45,0.0246,0.371,0.2254,0.0487,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,181812,J. Musiala,1,probable_by_squad_starts,0.2575,0.0362,0.41,0.1436,0.99,0.2977,0.0369,0.5276,0.155,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,978,K. Havertz,1,probable_by_squad_starts,0.2888,0.0413,0.7069,0.0956,2.25,0.3408,0.0422,1.2272,0.1005,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,25158,D. Raum,1,probable_by_squad_starts,0.0815,0.2652,0.1783,0.1329,0.59,0.085,0.3081,0.1963,0.1426,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,702,O. Baumann,1,probable_by_squad_starts,0.0332,0.0445,0.0733,0.025,0.22,0.0337,0.0455,0.0761,0.0253,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,26243,N. Schlotterbeck,1,probable_by_squad_starts,0.0357,0.3622,0.1997,0.1104,0.67,0.0364,0.4498,0.2228,0.117,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,511,L. Goretzka,1,probable_by_squad_starts,0.0974,0.1466,0.484,0.0737,1.32,0.1024,0.1585,0.6616,0.0766,2026-06-25T15:44:58+00:00,,,,,,,0,
1489410,2026-06-25 20:00,25,Germany,644,L. Sané,1,probable_by_squad_starts,0.2164,0.0538,0.5566,0.1665,1.32,0.2438,0.0553,0.8133,0.1821,2026-06-25T15:44:58+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,309763,L. Comenencia,1,probable_by_squad_starts,0.0078,0.1221,0.0305,0.0056,0.25,0.0079,0.1302,0.031,0.0056,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,163220,J. Antonisse,1,probable_by_squad_starts,0.008,0.4484,0.3178,0.0186,1.24,0.008,0.5949,0.3824,0.0188,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,706,J. Brenet,1,probable_by_squad_starts,0.0235,0.0439,0.2896,0.0278,0.46,0.0237,0.0449,0.3419,0.0282,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,36857,J. Gaari,1,probable_by_squad_starts,0.0067,0.16,0.1369,0.0051,0.29,0.0068,0.1744,0.1472,0.0051,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,195067,J. Margaritha,1,probable_by_squad_starts,0.0802,0.0498,0.4502,0.0441,1.1,0.0836,0.051,0.5983,0.0451,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,19047,J. Bacuna,1,probable_by_squad_starts,0.1073,0.2733,0.6516,0.0349,1.58,0.1135,0.3192,1.0543,0.0356,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,41627,K. Gorré,1,probable_by_squad_starts,0.0092,0.0568,0.2298,0.0361,0.78,0.0093,0.0585,0.2611,0.0368,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,221,E. Room,1,probable_by_squad_starts,0.0096,0.059,0.0752,0.0072,0.22,0.0097,0.0608,0.0782,0.0073,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,36970,S. Floranus,1,probable_by_squad_starts,0.0098,0.2244,0.0767,0.0229,0.23,0.0099,0.2541,0.0798,0.0232,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,37066,R. van Eijma,1,probable_by_squad_starts,0.0096,0.1435,0.0,0.0072,0.42,0.0097,0.1549,0.0,0.0073,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,5530,Curaçao,18997,L. Bacuna,1,probable_by_squad_starts,0.0321,0.1454,0.1351,0.0228,0.73,0.0326,0.1571,0.1451,0.0231,2026-06-25T15:45:00+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,1807,E. Ndicka,1,probable_by_squad_starts,0.0257,0.2399,0.0,0.2193,0.41,0.0261,0.2744,0.0,0.2475,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,1642,F. Kessié,1,probable_by_squad_starts,0.2164,0.1261,0.4352,0.1518,1.37,0.2439,0.1348,0.5713,0.1646,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,354753,O. Diomande,1,probable_by_squad_starts,0.1084,0.1398,0.0,0.0262,0.46,0.1148,0.1506,0.0,0.0266,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,135068,E. Agbadou,1,probable_by_squad_starts,0.1272,0.1634,0.3086,0.031,0.92,0.136,0.1784,0.369,0.0315,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,22002,G. Konan,1,probable_by_squad_starts,0.0536,0.0548,0.0,0.2458,0.7,0.0551,0.0563,0.0,0.2821,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,334429,O. Diakité,1,probable_by_squad_starts,0.3738,0.3959,0.5727,0.2173,2.04,0.4681,0.5039,0.8503,0.245,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,64190,Y. Fofana,1,probable_by_squad_starts,0.0474,0.0485,0.1076,0.0353,0.33,0.0486,0.0497,0.1138,0.0359,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,30807,S. Fofana,1,probable_by_squad_starts,0.2672,0.0573,0.509,0.2557,1.42,0.3109,0.059,0.7113,0.2953,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,137303,E. Guessand,1,probable_by_squad_starts,0.1717,0.0585,0.4625,0.0426,2.69,0.1884,0.0603,0.6208,0.0436,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,161747,G. Doué,1,probable_by_squad_starts,0.2515,0.0535,0.4712,0.039,1.49,0.2897,0.055,0.6372,0.0397,2026-06-25T15:45:03+00:00,,,,,,,0,
1489409,2026-06-25 20:00,1501,Ivory Coast,22149,I. Sangaré,1,probable_by_squad_starts,0.0629,0.3798,0.2877,0.0469,1.02,0.0649,0.4778,0.3393,0.048,2026-06-25T15:45:03+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,304782,T. Hayakawa,1,probable_by_squad_starts,0.011,0.1534,0.0261,0.0082,0.08,0.0111,0.1665,0.0265,0.0082,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,33889,K. Sano,1,probable_by_squad_starts,0.0548,0.0557,0.5446,0.2706,0.79,0.0564,0.0573,0.7865,0.3155,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,199578,Z. Suzuki,1,probable_by_squad_starts,0.0583,0.0593,0.1339,0.0438,0.41,0.0601,0.0611,0.1438,0.0447,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,32858,T. Watanabe,1,probable_by_squad_starts,0.0583,0.3827,0.5678,0.0438,0.84,0.0601,0.4825,0.8389,0.0447,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,2598,R. Dōan,1,probable_by_squad_starts,0.3396,0.3643,0.7532,0.0411,2.8,0.4149,0.453,1.399,0.042,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,32862,T. Kubo,1,probable_by_squad_starts,0.0682,0.0693,0.5251,0.3267,1.49,0.0707,0.0718,0.7447,0.3955,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,33034,K. Osako,1,probable_by_squad_starts,0.0944,0.0958,0.2111,0.0711,0.68,0.0991,0.1008,0.2371,0.0738,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,33165,A. Seko,1,probable_by_squad_starts,0.0677,0.0688,0.0,0.0509,0.98,0.0701,0.0713,0.0,0.0522,2026-06-25T15:45:06+00:00,,,,,,,0,
1539011,2026-06-25 23:00,12,Japan,351014,J. Suzuki,1,probable_by_squad_starts,0.0677,0.0688,0.0,0.0509,0.98,0.0701,0.0713,0.0,0.0522,2026-06-25T15:45:06+00:00,,,,,,,0,
