fixture_id,kickoff_utc,home,away,sent_at_utc
1539011,2026-06-25 23:00,Japan,Sweden,2026-06-25T22:55:09+00:00
1489412,2026-06-25 23:00,Tunisia,Netherlands,2026-06-25T22:55:09+00:00
1539074,2026-06-26 19:00,Senegal,Iraq,2026-06-26T18:23:55+00:00
1489416,2026-06-26 19:00,Norway,France,2026-06-26T18:23:55+00:00
1489417,2026-06-27 00:00,Uruguay,Spain,2026-06-26T22:59:52+00:00
1489413,2026-06-27 00:00,Cape Verde Islands,Saudi Arabia,2026-06-26T22:59:52+00:00
1489420,2026-06-27 21:00,Croatia,Ghana,2026-06-27T20:37:36+00:00
1489422,2026-06-27 21:00,Panama,England,2026-06-27T20:37:36+00:00
1489419,2026-06-27 23:30,Colombia,Portugal,2026-06-27T22:56:24+00:00
1539013,2026-06-27 23:30,Congo DR,Uzbekistan,2026-06-27T22:56:24+00:00
1565177,2026-06-30 21:00,France,Sweden,2026-06-30T20:30:46+00:00
1567308,2026-07-01 20:00,Belgium,Senegal,2026-07-01T18:56:01+00:00
