team,corners_att,corners_conc,cards_att,cards_conc,shots_att,shots_conc
Belgium,0.3295,-0.0716,-0.146,0.1247,0.2411,0.0206
France,0.3598,-0.1125,-0.1261,-0.0196,0.4055,-0.0852
Croatia,0.1537,0.0169,-0.1445,-0.0927,0.2185,0.0367
Russia,0.1928,0.1247,0.0796,-0.2868,0.0783,0.0649
Sweden,0.0967,0.0983,-0.1037,0.0452,0.0949,0.1896
Brazil,0.2317,0.1231,0.0176,-0.1157,0.2869,0.12
Uruguay,0.1829,0.0765,-0.0168,0.086,0.1329,0.0457
Colombia,0.0168,0.1066,-0.0638,-0.0446,0.1675,0.075
Spain,0.3701,-0.1695,-0.0468,-0.0003,0.4264,-0.0457
England,0.3208,-0.2064,-0.203,0.0551,0.2615,-0.12
Panama,-0.0483,-0.1048,0.0391,-0.0014,0.0822,-0.0968
Japan,0.139,-0.1985,-0.3022,-0.2774,0.1141,-0.1202
Senegal,0.3182,0.1395,0.0182,-0.0858,0.1524,-0.0294
Serbia,0.0274,-0.0751,0.0085,-0.0181,-0.0437,0.0354
Switzerland,0.1692,0.1386,-0.0736,0.0417,0.1329,0.0106
Mexico,0.1013,-0.0517,0.1159,0.0413,0.1572,-0.1565
South Korea,0.2047,-0.1099,-0.1539,-0.0424,0.0323,-0.1358
Iceland,-0.1091,-0.0389,0.054,-0.0033,-0.0792,0.0251
Nigeria,0.0614,-0.0042,0.0278,-0.2576,-0.0649,-0.0645
Australia,-0.1156,0.1191,-0.1279,-0.1303,-0.1148,0.0808
Denmark,0.3856,0.1279,0.0441,0.0249,0.2476,0.0624
Iran,-0.0186,-0.031,0.0875,-0.0528,0.1106,0.0564
Saudi Arabia,-0.1227,-0.0635,0.0895,-0.024,-0.1608,-0.1443
Poland,0.1506,0.0255,0.0305,0.1202,0.1325,0.1207
Germany,0.3406,0.0711,-0.0343,-0.0192,0.3712,0.0472
Argentina,0.0907,-0.0368,-0.1378,0.0789,0.0891,-0.1031
Portugal,0.351,-0.0654,-0.0159,-0.0546,0.3173,0.0696
Tunisia,0.0302,0.0217,0.0085,0.0082,-0.0217,0.0216
Costa Rica,-0.0975,-0.0607,0.0989,0.0057,-0.1352,-0.0601
Peru,-0.0305,-0.0556,-0.0046,-0.1063,-0.0428,-0.0276
Morocco,0.1573,-0.2622,-0.1469,0.1145,0.2019,-0.2156
Egypt,-0.0597,0.1597,-0.0005,-0.0094,-0.025,0.0512
Wales,0.1492,0.0417,-0.0384,0.1512,0.0983,0.0417
Italy,0.1975,0.1572,-0.0051,0.0661,0.1506,0.1015
Hungary,0.0729,-0.032,0.0319,0.1145,0.1119,-0.0098
Czechia,0.1148,-0.1192,-0.0423,0.1923,0.0881,-0.0774
Northern Ireland,-0.0362,-0.0271,-0.0159,0.0362,-0.0229,-0.0271
Ukraine,0.064,-0.0884,-0.1154,0.0213,-0.0017,0.0476
Slovakia,0.0674,0.1139,-0.0878,0.1053,0.0526,0.0501
Romania,0.0137,0.0502,0.0635,0.158,0.032,-0.0105
Austria,-0.0159,-0.0386,0.0694,-0.0443,0.03,-0.0013
Rep. Of Ireland,-0.0583,0.0204,0.1317,0.1094,-0.1349,0.016
Türkiye,0.3394,-0.0695,0.1141,0.0804,0.2765,0.0032
Albania,0.0143,-0.0618,-0.0651,-0.0107,-0.005,-0.0162
Norway,0.1715,-0.1659,-0.2201,-0.2793,0.1443,0.0402
Slovenia,-0.0702,0.0775,-0.0073,-0.0327,0.0457,0.04
Latvia,0.0144,0.0281,0.052,0.0214,-0.0365,0.0348
Gibraltar,-0.3913,0.1313,-0.0923,-0.0582,-0.5299,0.0575
Armenia,-0.0489,-0.0641,-0.0544,-0.1696,-0.0489,0.0396
Kazakhstan,-0.0264,0.1122,0.1188,-0.1643,-0.062,0.0964
Azerbaijan,-0.1968,0.0387,0.061,-0.0342,-0.1932,0.0432
