fixture_id,date,season,league_tag,neutral,team,team_id,opp,opp_id,is_home,corners,yellow,red,shots,sot,fouls,possession
1489378,2026-06-16,2026,WC,1,Iran,22,New Zealand,4673,1,4.0,1.0,,17.0,4.0,10.0,49.0
1489378,2026-06-16,2026,WC,1,New Zealand,4673,Iran,22,0,1.0,0.0,,14.0,8.0,8.0,51.0
1489379,2026-06-15,2026,WC,1,Saudi Arabia,23,Uruguay,7,1,4.0,1.0,,7.0,3.0,11.0,33.0
1489379,2026-06-15,2026,WC,1,Uruguay,7,Saudi Arabia,23,0,14.0,0.0,,27.0,10.0,6.0,67.0
1489377,2026-06-15,2026,WC,1,Belgium,1,Egypt,32,1,2.0,2.0,,15.0,3.0,15.0,54.0
1489377,2026-06-15,2026,WC,1,Egypt,32,Belgium,1,0,7.0,2.0,,14.0,3.0,15.0,46.0
1489380,2026-06-15,2026,WC,1,Spain,9,Cape Verde Islands,1533,1,11.0,1.0,,27.0,7.0,10.0,74.0
1489380,2026-06-15,2026,WC,1,Cape Verde Islands,1533,Spain,9,0,1.0,1.0,,6.0,1.0,1.0,26.0
1539002,2026-06-15,2026,WC,1,Sweden,5,Tunisia,28,1,4.0,0.0,,13.0,7.0,10.0,49.0
1539002,2026-06-15,2026,WC,1,Tunisia,28,Sweden,5,0,2.0,1.0,,6.0,2.0,8.0,51.0
1489375,2026-06-14,2026,WC,1,Ivory Coast,1501,Ecuador,2382,1,3.0,3.0,,15.0,4.0,10.0,48.0
1489375,2026-06-14,2026,WC,1,Ecuador,2382,Ivory Coast,1501,0,5.0,1.0,,12.0,1.0,13.0,52.0
1489376,2026-06-14,2026,WC,1,Netherlands,1118,Japan,12,1,5.0,3.0,,10.0,6.0,7.0,60.0
1489376,2026-06-14,2026,WC,1,Japan,12,Netherlands,1118,0,4.0,0.0,,10.0,3.0,7.0,40.0
1489374,2026-06-14,2026,WC,1,Germany,25,Curaçao,5530,1,8.0,,,26.0,12.0,18.0,65.0
1489374,2026-06-14,2026,WC,1,Curaçao,5530,Germany,25,0,1.0,,,8.0,2.0,11.0,35.0
1539001,2026-06-14,2026,WC,1,Australia,20,Türkiye,777,1,5.0,0.0,,9.0,4.0,12.0,28.0
1539001,2026-06-14,2026,WC,1,Türkiye,777,Australia,20,0,8.0,1.0,,30.0,8.0,4.0,72.0
1489372,2026-06-14,2026,WC,1,Haiti,2386,Scotland,1108,1,4.0,1.0,,15.0,2.0,23.0,54.0
1489372,2026-06-14,2026,WC,1,Scotland,1108,Haiti,2386,0,3.0,3.0,,9.0,2.0,21.0,46.0
1489371,2026-06-13,2026,WC,1,Brazil,6,Morocco,31,1,6.0,2.0,,12.0,5.0,16.0,51.0
1489371,2026-06-13,2026,WC,1,Morocco,31,Brazil,6,0,2.0,0.0,,14.0,3.0,14.0,49.0
1489373,2026-06-13,2026,WC,1,Qatar,1569,Switzerland,15,1,3.0,2.0,,6.0,3.0,12.0,32.0
1489373,2026-06-13,2026,WC,1,Switzerland,15,Qatar,1569,0,10.0,1.0,,26.0,7.0,11.0,68.0
1489370,2026-06-13,2026,WC,1,USA,2384,Paraguay,2380,1,3.0,1.0,,16.0,6.0,13.0,65.0
1489370,2026-06-13,2026,WC,1,Paraguay,2380,USA,2384,0,1.0,5.0,,9.0,1.0,17.0,35.0
1539000,2026-06-12,2026,WC,1,Canada,5529,Bosnia & Herzegovina,1113,1,9.0,2.0,,13.0,4.0,10.0,61.0
1539000,2026-06-12,2026,WC,1,Bosnia & Herzegovina,1113,Canada,5529,0,4.0,3.0,,8.0,3.0,20.0,39.0
1538999,2026-06-12,2026,WC,1,South Korea,17,Czechia,770,1,4.0,1.0,,15.0,6.0,9.0,62.0
1538999,2026-06-12,2026,WC,1,Czechia,770,South Korea,17,0,5.0,0.0,,7.0,4.0,16.0,38.0
1489369,2026-06-11,2026,WC,1,Mexico,16,South Africa,1531,1,3.0,1.0,1.0,16.0,4.0,12.0,61.0
1489369,2026-06-11,2026,WC,1,South Africa,1531,Mexico,16,0,1.0,2.0,2.0,3.0,2.0,11.0,39.0
1525494,2026-06-10,2026,Friendlies,0,England,10,Costa Rica,29,1,11.0,0.0,,28.0,8.0,7.0,81.0
1525494,2026-06-10,2026,Friendlies,0,Costa Rica,29,England,10,0,1.0,4.0,,1.0,0.0,24.0,19.0
1540358,2026-06-10,2026,Friendlies,0,Portugal,27,Nigeria,19,1,3.0,2.0,,13.0,6.0,11.0,61.0
1540358,2026-06-10,2026,Friendlies,0,Nigeria,19,Portugal,27,0,2.0,2.0,,5.0,2.0,19.0,39.0
1540357,2026-06-10,2026,Friendlies,0,Argentina,26,Iceland,18,1,2.0,2.0,,15.0,7.0,13.0,63.0
1540357,2026-06-10,2026,Friendlies,0,Iceland,18,Argentina,26,0,2.0,6.0,,6.0,1.0,21.0,37.0
1544367,2026-06-09,2026,Friendlies,0,Congo DR,1508,Chile,2383,1,7.0,1.0,,10.0,4.0,16.0,50.0
1544367,2026-06-09,2026,Friendlies,0,Chile,2383,Congo DR,1508,0,2.0,3.0,,7.0,3.0,16.0,50.0
1542183,2026-06-08,2026,Friendlies,0,France,2,Northern Ireland,771,1,5.0,,,27.0,5.0,6.0,73.0
1542183,2026-06-08,2026,Friendlies,0,Northern Ireland,771,France,2,0,1.0,,,4.0,2.0,7.0,27.0
1544812,2026-06-08,2026,Friendlies,0,Netherlands,1118,Uzbekistan,1568,1,3.0,1.0,1.0,15.0,4.0,13.0,65.0
1544812,2026-06-08,2026,Friendlies,0,Uzbekistan,1568,Netherlands,1118,0,3.0,1.0,0.0,8.0,1.0,14.0,35.0
1528288,2026-06-07,2026,Friendlies,0,Colombia,8,Jordan,1548,1,1.0,,,4.0,3.0,4.0,67.0
1528288,2026-06-07,2026,Friendlies,0,Jordan,1548,Colombia,8,0,1.0,,,4.0,0.0,6.0,33.0
1542182,2026-06-07,2026,Friendlies,0,Ecuador,2382,Guatemala,5161,1,6.0,3.0,,18.0,6.0,11.0,66.0
1542182,2026-06-07,2026,Friendlies,0,Guatemala,5161,Ecuador,2382,0,0.0,1.0,,3.0,0.0,3.0,34.0
