fixture_id,kickoff_utc,team_id,team_name,opponent_id,opponent_name,side,predicted_sot,actual_sot,error,abs_error,source_predicted,source_actual,data_quality,confidence,reason
1489402,,10,England,1504,Ghana,home,,3.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489402,,1504,Ghana,10,England,away,,1.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489403,,3,Croatia,11,Panama,away,,2.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489403,,11,Panama,3,Croatia,home,,1.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489409,2026-06-25 20:00,1501,Ivory Coast,5530,Curaçao,away,4.213,0.0,4.213,4.213,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489409,2026-06-25 20:00,5530,Curaçao,1501,Ivory Coast,home,3.119,0.0,3.1193,3.1193,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489410,2026-06-25 20:00,25,Germany,2382,Ecuador,away,5.385,3.0,2.3851,2.3851,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489410,2026-06-25 20:00,2382,Ecuador,25,Germany,home,3.272,1.0,2.2716,2.2716,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489411,2026-06-26 02:00,20,Australia,2380,Paraguay,away,3.219,2.0,1.219,1.219,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489411,2026-06-26 02:00,2380,Paraguay,20,Australia,home,4.233,0.0,4.2326,4.2326,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489412,2026-06-25 23:00,28,Tunisia,1118,Netherlands,home,2.426,4.0,-1.5741,1.5741,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489412,2026-06-25 23:00,1118,Netherlands,28,Tunisia,away,6.235,7.0,-0.7649,0.7649,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489413,2026-06-27 00:00,23,Saudi Arabia,1533,Cape Verde Islands,away,3.995,1.0,2.9951,2.9951,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489413,2026-06-27 00:00,1533,Cape Verde Islands,23,Saudi Arabia,home,4.517,1.0,3.5171,3.5171,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489414,2026-06-27 03:00,22,Iran,32,Egypt,away,4.027,2.0,2.0273,2.0273,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489414,2026-06-27 03:00,32,Egypt,22,Iran,home,4.47,2.0,2.4695,2.4695,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489415,2026-06-27 03:00,1,Belgium,4673,New Zealand,away,8.046,6.0,2.0459,2.0459,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489415,2026-06-27 03:00,4673,New Zealand,1,Belgium,home,3.952,2.0,1.9516,1.9516,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489416,2026-06-26 19:00,2,France,1090,Norway,away,4.908,9.0,-4.0918,4.0918,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489416,2026-06-26 19:00,1090,Norway,2,France,home,3.318,4.0,-0.6821,0.6821,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
