date,status,baseline_rows,baseline_wins,baseline_losses,baseline_profit,candidate_v2_rows,candidate_v2_wins,candidate_v2_losses,candidate_v2_profit,candidate_v7_rows,candidate_v7_wins,candidate_v7_losses,candidate_v7_profit,price_guard_input_rows,price_guard_accepted_rows,price_guard_rejected_rows,price_ok_rows,price_thin_secondary_rows,price_prelock_required_rows,price_drift_penalized_rows
2026-04-23,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-24,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-25,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-26,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-27,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-28,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-29,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-04-30,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-05-01,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-05-02,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-05-03,MISSING_INPUT,,,,,,,,,,,,,,,,,,,
2026-05-04,OK,2.0,1.0,1.0,-0.5,2.0,1.0,1.0,-0.5,1.0,1.0,0.0,0.5,4.0,2.0,2.0,2.0,1.0,1.0,0.0
2026-05-05,OK,1.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,1.0,1.0,0.0
2026-05-06,OK,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0
2026-05-07,OK,2.0,2.0,0.0,1.37,2.0,2.0,0.0,1.37,1.0,1.0,0.0,0.92,4.0,2.0,2.0,2.0,0.0,1.0,0.0
2026-05-08,OK,3.0,3.0,0.0,1.83,3.0,3.0,0.0,1.8,1.0,1.0,0.0,1.0,5.0,3.0,2.0,3.0,0.0,2.0,0.0
