evaluation_date,historical_batch_date,execution_rank,execution_shortlist_source,final_execution_bucket,final_recommendation,execution_score,fixture_id,league,home_team,away_team,market_primary,selection_score,primary_model_prob,primary_odds_used,primary_edge,accuracy_mode_eligible_flag,accuracy_confidence_score,accuracy_mode_reason,accuracy_primary_risk,accuracy_mode_bucket,accuracy_mode_rank,competition_raw_prob,competition_calibrated_prob,competition_prob_calibration_bucket,competition_prob_calibration_reason,competition_prob_shrinkage_applied_flag,result_status,actionable_result,primary_result,profit_units,stake_units,pick_mode,score_fulltime_home,score_fulltime_away,goals_home,goals_away,status,date,home_team_result,away_team_result,league_result,comparison_mode,competition_pick_rank,resolved_home_goals,resolved_away_goals,ledger_result_status,actionable_profit_units,primary_profit_units,market_alt,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,likely_scoreline,over25_low_conversion_firewall_flag,over25_low_conversion_firewall_decision,over25_low_conversion_firewall_reason,over25_low_conversion_confirmation_score,over25_low_conversion_recommended_market,over25_low_conversion_original_market,over25_low_conversion_action,home_player_impact_coverage_flag,away_player_impact_coverage_flag,player_impact_quality_flag,home_goalkeeper_confidence_flag,away_goalkeeper_confidence_flag,home_attacking_core_available_score,away_attacking_core_available_score,home_defensive_core_available_score,away_defensive_core_available_score,player_impact_uncertainty_penalty,player_impact_market_translation_hint,player_impact_adjustment_action,player_impact_adjustment_reason,player_impact_original_market,player_impact_recommended_market,player_impact_confidence_delta,player_impact_probability_delta,api_prediction_available_flag,api_prediction_quality_flag,api_prediction_winner,api_prediction_advice,api_prediction_home_prob,api_prediction_draw_prob,api_prediction_away_prob,api_prediction_over_under_hint,api_prediction_goal_hint,api_prediction_btts_hint,api_prediction_alignment_flag,api_prediction_disagreement_flag,api_prediction_confidence_adjustment,api_prediction_benchmark_reason,api_prediction_original_accuracy_eligible_flag,api_prediction_original_confidence_score,api_prediction_original_market,api_prediction_benchmark_action,api_prediction_benchmark_changed_inclusion_flag,api_prediction_recommended_status
2026-05-04,2026-05-04,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,140.47333333333336,1392179,Segunda División,Almeria,Mirandes,OVER_2_5,104.7,0.8344,1.5,0.1677333333333334,1,138.3,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8344,0.851525,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_RELIABILITY_UPLIFT,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0,COMPETITION_ACCURACY_MODE,4.0,2.0,4.0,2.0,FT,2026-05-04,Almeria,Mirandes,Segunda División,BASELINE_OFFICIAL,1,4.0,2.0,RESULT_AVAILABLE,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,2,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,119.40623188405796,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,95.93,0.9094,1.38,0.1847623188405796,1,123.168,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.9094,0.8294,MARKET:OVER_1_5,CALIBRATED_MARKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0,COMPETITION_ACCURACY_MODE,1.0,0.0,1.0,0.0,FT,2026-05-04,Sevilla,Real Sociedad,La Liga,BASELINE_OFFICIAL,2,1.0,0.0,RESULT_AVAILABLE,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,139.06333333333333,1392179,Segunda División,Almeria,Mirandes,OVER_2_5,104.49,0.8224,1.5,0.1557333333333334,1,140.8,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8224,0.811517,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_SHRINKAGE,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0,COMPETITION_ACCURACY_MODE,4.0,2.0,4.0,2.0,FT,2026-05-04,Almeria,Mirandes,Segunda División,SHADOW_CANDIDATE_V2,1,4.0,2.0,RESULT_AVAILABLE,0.5,0.5,BTTS_YES,0.7528,1.64,0.6097560975609756,0.1430439024390244,2.88,1.6,4.48,2-1 / 3-1 / 2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,4,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,114.93623188405796,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,93.0,0.894,1.38,0.1693623188405796,1,124.125,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.894,0.814,MARKET_BUCKET:OVER_1_5|ACCURACY_EXTENDED_STRONG,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0,COMPETITION_ACCURACY_MODE,1.0,0.0,1.0,0.0,FT,2026-05-04,Sevilla,Real Sociedad,La Liga,SHADOW_CANDIDATE_V2,2,1.0,0.0,RESULT_AVAILABLE,-1.0,-1.0,OVER_2_5,0.7335,2.16,0.4629629629629629,0.2705370370370371,1.45,2.37,3.82,1-2 / 1-3 / 2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,4,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,114.93623188405796,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,93.0,0.894,1.38,0.1693623188405796,1,124.125,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,1,0.894,0.814,MARKET_BUCKET:OVER_1_5|ACCURACY_EXTENDED_STRONG,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0,SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,1.0,0.0,1.0,0.0,FT,2026-05-04,Sevilla,Real Sociedad,La Liga,SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,1,1.0,0.0,RESULT_AVAILABLE,-1.0,-1.0,OVER_2_5,0.7335,2.16,0.4629629629629629,0.2705370370370371,1.45,2.37,3.82,1-2 / 1-3 / 2-2,0.0,NOT_APPLIED,Firewall applies only to OVER_2_5 with LOW_CONVERSION primary risk.,0.0,OVER_1_5,OVER_1_5,NO_ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,139.06333333333333,1392179,Segunda División,Almeria,Mirandes,OVER_2_5,104.49,0.8224,1.5,0.1557333333333334,1,140.8,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8224,0.811517,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_SHRINKAGE,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0,SHADOW_CANDIDATE_V5_PLAYER_IMPACT,4.0,2.0,4.0,2.0,FT,2026-05-04,Almeria,Mirandes,Segunda División,SHADOW_CANDIDATE_V5_PLAYER_IMPACT,1,4.0,2.0,RESULT_AVAILABLE,0.5,0.5,BTTS_YES,0.7528,1.64,0.6097560975609756,0.1430439024390244,2.88,1.6,4.48,2-1 / 3-1 / 2-2,,,,,,,,NONE,NONE,NONE,UNKNOWN_COVERAGE,UNKNOWN_COVERAGE,0.0,0.0,0.0,0.0,0.0,PLAYER_IMPACT_NEUTRAL_NO_RELIABLE_COVERAGE,NOT_APPLIED,Player-impact coverage missing or neutral; no market movement.,OVER_2_5,OVER_2_5,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,4,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,114.93623188405796,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,93.0,0.894,1.38,0.1693623188405796,1,124.125,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.894,0.814,MARKET_BUCKET:OVER_1_5|ACCURACY_EXTENDED_STRONG,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0,SHADOW_CANDIDATE_V5_PLAYER_IMPACT,1.0,0.0,1.0,0.0,FT,2026-05-04,Sevilla,Real Sociedad,La Liga,SHADOW_CANDIDATE_V5_PLAYER_IMPACT,2,1.0,0.0,RESULT_AVAILABLE,-1.0,-1.0,OVER_2_5,0.7335,2.16,0.4629629629629629,0.2705370370370371,1.45,2.37,3.82,1-2 / 1-3 / 2-2,,,,,,,,NONE,NONE,NONE,UNKNOWN_COVERAGE,UNKNOWN_COVERAGE,0.0,0.0,0.0,0.0,0.0,PLAYER_IMPACT_NEUTRAL_NO_RELIABLE_COVERAGE,NOT_APPLIED,Player-impact coverage missing or neutral; no market movement.,OVER_1_5,OVER_1_5,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04,4,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,114.93623188405796,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,93.0,0.894,1.38,0.1693623188405796,1,124.125,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,1,0.894,0.814,MARKET_BUCKET:OVER_1_5|ACCURACY_EXTENDED_STRONG,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0,SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,1.0,0.0,1.0,0.0,FT,2026-05-04,Sevilla,Real Sociedad,La Liga,SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,1,1.0,0.0,RESULT_AVAILABLE,-1.0,-1.0,OVER_2_5,0.7335,2.16,0.4629629629629629,0.2705370370370371,1.45,2.37,3.82,1-2 / 1-3 / 2-2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,FULL,AWAY,Double chance : draw or Real Sociedad,0.1,0.45,0.45,UNKNOWN,LOW_GOALS,UNKNOWN,NEUTRAL,0.0,0.0,API benchmark compared mild goals support against vSIGMA OVER_1_5.,1.0,124.125,OVER_1_5,NOT_APPLIED,0.0,KEEP
2026-05-05,2026-05-05,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,124.19203007518796,1535295,CONMEBOL Libertadores,Sporting Cristal,Palmeiras,OVER_1_5,94.86,0.8552,1.33,0.1033203007518797,1,146.363,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8552,0.78756,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.33,1.0,COMPETITION_ACCURACY_MODE,0.0,2.0,0.0,2.0,FT,2026-05-05,Sporting Cristal,Palmeiras,CONMEBOL Libertadores,BASELINE_OFFICIAL,1,0.0,2.0,RESULT_AVAILABLE,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,2026-05-06,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,141.830522875817,1535283,CONMEBOL Libertadores,Barcelona SC,Boca Juniors,OVER_1_5,102.04,0.8615,1.53,0.2079052287581699,1,154.276,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8615,0.79386,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0,COMPETITION_ACCURACY_MODE,1.0,0.0,1.0,0.0,FT,2026-05-06,Barcelona SC,Boca Juniors,CONMEBOL Libertadores,BASELINE_OFFICIAL,1,1.0,0.0,RESULT_AVAILABLE,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
