mode,failure_mode,rows,settled_rows,wins,losses,profit_units,roi_percent,hit_rate
BASELINE_OFFICIAL,FAILURE_MODE_DRAW_LIVE,1,1,1,0,1.0,100.0,100.0
BASELINE_OFFICIAL,FAILURE_MODE_LOW_CONVERSION,8,8,6,2,1.03,12.875,75.0
SHADOW_CANDIDATE_V2,FAILURE_MODE_DRAW_LIVE,1,1,1,0,1.0,100.0,100.0
SHADOW_CANDIDATE_V2,FAILURE_MODE_LOW_CONVERSION,7,7,5,2,0.67,9.571429,71.428571
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,FAILURE_MODE_DRAW_LIVE,1,1,1,0,1.0,100.0,100.0
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,FAILURE_MODE_LOW_CONVERSION,5,5,3,2,-0.75,-15.0,60.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,FAILURE_MODE_DRAW_LIVE,1,1,1,0,1.0,100.0,100.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,FAILURE_MODE_LOW_CONVERSION,7,7,5,2,0.67,9.571429,71.428571
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,FAILURE_MODE_DRAW_LIVE,1,1,1,0,1.0,100.0,100.0
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,FAILURE_MODE_LOW_CONVERSION,5,5,3,2,-0.75,-15.0,60.0
