target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-17,2026-06-17T17:50:55+01:00,1524944,Vermont Green,Seacoast United Phantoms,USL League Two,USA,2026-06-16T23:00:00+00:00,FT,10,WEAK_SIGNAL,,COVERAGE_ONLY_NO_PROMOTION,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1525406,Eagle FC,Lehigh Valley United,USL League Two,USA,2026-06-16T23:00:00+00:00,FT,10,WEAK_SIGNAL,,COVERAGE_ONLY_NO_PROMOTION,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1524942,Houston Sur,GFI,USL League Two,USA,2026-06-17T00:00:00+00:00,FT,10,WEAK_SIGNAL,,COVERAGE_ONLY_NO_PROMOTION,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1547745,La Fama,Britannia,Division di Honor,Aruba,2026-06-17T00:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Britannia | pred_total_home_away=32.7/67.3,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1542413,Central Stallions,Ulaanbaatar,Premier League,Mongolia,2026-06-17T07:00:00+00:00,FT,97,HIGH_SIGNAL_REVIEW,prediction_winner=Ulaanbaatar | pred_total_home_away=36.0/64.0 | 1x2=5.00/4.50/1.42 | ou2.5=1.44/2.62,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1542414,Khoromkhon,Ulaangom City,Premier League,Mongolia,2026-06-17T10:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Khoromkhon | pred_total_home_away=70.2/29.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1546785,Simba,Vita Club,Ligue 1,Congo-DR,2026-06-17T11:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Vita Club | pred_total_home_away=24.2/75.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1550470,Arsenal Tula,Volga Ulyanovsk,Friendlies Clubs,World,2026-06-17T13:00:00+00:00,FT,10,WEAK_SIGNAL,,COVERAGE_ONLY_NO_PROMOTION,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1477249,Singida Black Stars,Dodoma Jiji,Ligi kuu Bara,Tanzania,2026-06-17T13:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Singida Black Stars | pred_total_home_away=69.3/31.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T17:50:55+01:00,1507180,Gareji,Shturmi,Erovnuli Liga 2,Georgia,2026-06-17T13:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Gareji | pred_total_home_away=65.7/34.3 | 1x2=2.15/2.90/3.20 | ou2.5=7.50/1.07,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
