target_date,generated_at,fixture_id,home_team,away_team,league,country,api_league_id,api_season,fixture_date_utc,fixture_status,venue_name,home_team_id,away_team_id,downstream_use,executor_status,scoring_eligibility_after_execution,fixture_detail_available,predictions_available,odds_available,events_available,statistics_available,lineups_available,prediction_winner_name,prediction_advice,pred_home_total_pct,pred_away_total_pct,pred_home_form_pct,pred_away_form_pct,pred_home_att_pct,pred_away_att_pct,pred_home_def_pct,pred_away_def_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_1_5_odd,under_1_5_odd,over_2_5_odd,under_2_5_odd,over_3_5_odd,under_3_5_odd,market_signal_summary,scored_candidate_status,normal_gate_requirement,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-20,2026-06-20T16:31:00+01:00,1529749,Atmosfera,Minija,1 Lyga,Lithuania,361,2026,2026-06-20T12:00:00+00:00,FT,,3856,3864,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,NO,Minija,Double chance : draw or Minija,40.7,59.3,47,53,56,44,50,50,4.60,3.65,1.60,2.35,1.44,1.65,2.00,,,prediction_winner=Minija | pred_total_home_away=40.7/59.3 | 1x2=4.60/3.65/1.60 | ou2.5=1.65/2.00,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1529750,BFA,Hegelmann II,1 Lyga,Lithuania,361,2026,2026-06-20T16:00:00+00:00,NS,Sirvintu stadionas,3857,23156,DIAGNOSTIC_ONLY_NO_SCORING,EXECUTED_WITH_DATA,NO_DIAGNOSTIC_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,DIAGNOSTIC_ONLY_NO_SCORING,Diagnostic-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1529748,Tauras,Ekranas,1 Lyga,Lithuania,361,2026,2026-06-20T11:00:00+00:00,FT,Dirbtines Dangos Stadionas,11885,10696,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,NO,Tauras,Double chance : Tauras or draw,69.3,30.7,50,50,58,42,50,50,1.22,4.80,9.75,2.05,1.57,,,2.15,1.55,prediction_winner=Tauras | pred_total_home_away=69.3/30.7 | 1x2=1.22/4.80/9.75,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1506624,B36 II,B71,1. Deild,Faroe-Islands,366,2026,2026-06-20T13:00:00+00:00,FT,Gundadalur,4185,4176,DIAGNOSTIC_ONLY_NO_SCORING,EXECUTED_WITH_DATA,NO_DIAGNOSTIC_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,DIAGNOSTIC_ONLY_NO_SCORING,Diagnostic-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1506625,HB II,Hoyvík,1. Deild,Faroe-Islands,366,2026,2026-06-20T16:00:00+00:00,NS,,4179,10076,DIAGNOSTIC_ONLY_NO_SCORING,EXECUTED_WITH_DATA,NO_DIAGNOSTIC_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,DIAGNOSTIC_ONLY_NO_SCORING,Diagnostic-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1534338,Bumprom,Smorgon,1. Division,Belarus,117,2026,2026-06-20T10:00:00+00:00,FT,SDYuShOR-6 Stadium,7802,3393,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,NO,YES,NO,NO,Bumprom,Double chance : Bumprom or draw,58.5,41.5,59,41,58,42,62,38,,,,,,,,,,prediction_winner=Bumprom | pred_total_home_away=58.5/41.5,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1534343,Osipovichy,Orsha,1. Division,Belarus,117,2026,2026-06-20T12:00:00+00:00,FT,Yunost Stadium,4273,3390,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,NO,YES,NO,NO,Orsha,Double chance : draw or Orsha,31.2,68.8,0,100,29,71,32,68,,,,,,,,,,prediction_winner=Orsha | pred_total_home_away=31.2/68.8,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1534533,Shakhter Soligorsk,Ostrovets FC,1. Division,Belarus,117,2026,2026-06-20T14:00:00+00:00,2H,,392,13149,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,NO,YES,NO,NO,Shakhter Soligorsk,Double chance : Shakhter Soligorsk or draw,66.2,34.0,63,38,68,32,40,60,,,,,,,,,,prediction_winner=Shakhter Soligorsk | pred_total_home_away=66.2/34.0,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1543407,Fjardabyggd / Leiknir,Kormákur / Hvöt,2. Deild,Iceland,166,2026,2026-06-20T14:00:00+00:00,NS,,18366,6093,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,NO,NO,NO,Fjardabyggd / Leiknir,Combo Double chance : Fjardabyggd / Leiknir or draw and +1.5 goals,54.7,45.3,43,57,50,50,42,58,1.91,4.10,2.85,1.57,2.05,,,1.55,2.15,prediction_winner=Fjardabyggd / Leiknir | pred_total_home_away=54.7/45.3 | 1x2=1.91/4.10/2.85,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T16:31:00+01:00,1543406,Haukar,Vikingur Olafsiik,2. Deild,Iceland,166,2026,2026-06-20T16:00:00+00:00,NS,,2118,828,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,NO,NO,NO,Haukar,Combo Winner : Haukar and +1.5 goals,52.7,47.3,59,41,52,48,65,35,1.48,4.50,4.50,1.65,1.95,,,1.55,2.15,prediction_winner=Haukar | pred_total_home_away=52.7/47.3 | 1x2=1.48/4.50/4.50,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
