target_date,generated_at,fixture_id,home_team,away_team,league,queue_priority,risk_label,estimated_call_units,quota_policy_decision,planned_mode,quota_units_reserved,full_enrichment_allowed,coverage_probe_allowed,api_calls_allowed,api_calls_executed,policy_reason,auto_apply,production_change
2026-06-05,2026-06-08T20:08:03+01:00,1548053,Las Palmas,Malaga,Segunda División,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1548052,Castellón,Almeria,Segunda División,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1514196,HK Kopavogur,Afturelding,1. Deild,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1514197,Njardvik,IR Reykjavik,1. Deild,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1514195,Ægir,Leiknir R.,1. Deild,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1543386,Hvíti riddarinn,Haukar,2. Deild,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1543385,Kormákur / Hvöt,Magni,2. Deild,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1513482,JS Kabylie,CR Belouizdad,Ligue 1,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1513489,JS Saoura,CS Constantine,Ligue 1,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
2026-06-05,2026-06-08T20:08:03+01:00,1513484,MC Alger,ASO Chlef,Ligue 1,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,5,YES,NO,YES_LIMITED,NO,P1 trusted fixture is within quota-aware run limit; normal downstream gates still required.,NO,NO
