rule_signature,first_seen_date,first_seen_at,rule_id,rule_group_type,rule_group_value,rule_market,rule_decision,rule_bucket,future_rule_candidate,paper_trade_permission,activation_permission,pick_permission,stake_permission
ALL|ALL|API_DNB|FUTURE_RULE_REVIEW_ONLY|RULE_CANDIDATE_PROTECTED_MARKET,2026-06-19,2026-06-19T17:23:07+01:00,API_CAL_RULE_0002,ALL,ALL,API_DNB,FUTURE_RULE_REVIEW_ONLY,RULE_CANDIDATE_PROTECTED_MARKET,YES_REVIEW_ONLY,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
ALL|ALL|API_DNB|WATCH_ONLY_COLLECT_TO_50_SAMPLE|RULE_CANDIDATE_PROTECTED_MARKET_EARLY_SAMPLE,2026-06-08,2026-06-09T22:06:03+01:00,API_CAL_RULE_0002,ALL,ALL,API_DNB,WATCH_ONLY_COLLECT_TO_50_SAMPLE,RULE_CANDIDATE_PROTECTED_MARKET_EARLY_SAMPLE,YES_REVIEW_ONLY_AFTER_SAMPLE_GROWS,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
ALL|ALL|API_DOUBLE_CHANCE|FUTURE_RULE_REVIEW_ONLY|RULE_CANDIDATE_PROTECTED_MARKET,2026-06-19,2026-06-19T17:23:07+01:00,API_CAL_RULE_0003,ALL,ALL,API_DOUBLE_CHANCE,FUTURE_RULE_REVIEW_ONLY,RULE_CANDIDATE_PROTECTED_MARKET,YES_REVIEW_ONLY,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
ALL|ALL|API_DOUBLE_CHANCE|WATCH_ONLY_COLLECT_TO_50_SAMPLE|RULE_CANDIDATE_PROTECTED_MARKET_EARLY_SAMPLE,2026-06-08,2026-06-09T22:06:03+01:00,API_CAL_RULE_0003,ALL,ALL,API_DOUBLE_CHANCE,WATCH_ONLY_COLLECT_TO_50_SAMPLE,RULE_CANDIDATE_PROTECTED_MARKET_EARLY_SAMPLE,YES_REVIEW_ONLY_AFTER_SAMPLE_GROWS,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
ALL|ALL|OVER_1_5|FUTURE_RULE_REVIEW_ONLY|RULE_CANDIDATE_TOTAL_MARKET,2026-06-10,2026-06-11T19:41:13+01:00,API_CAL_RULE_0005,ALL,ALL,OVER_1_5,FUTURE_RULE_REVIEW_ONLY,RULE_CANDIDATE_TOTAL_MARKET,YES_REVIEW_ONLY,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
ALL|ALL|OVER_1_5|WATCH_ONLY_COLLECT_TO_50_SAMPLE|RULE_CANDIDATE_TOTAL_MARKET_EARLY_SAMPLE,2026-06-08,2026-06-09T22:06:03+01:00,API_CAL_RULE_0005,ALL,ALL,OVER_1_5,WATCH_ONLY_COLLECT_TO_50_SAMPLE,RULE_CANDIDATE_TOTAL_MARKET_EARLY_SAMPLE,YES_REVIEW_ONLY_AFTER_SAMPLE_GROWS,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
ALL|ALL|UNDER_3_5|WATCH_ONLY_COLLECT_TO_50_SAMPLE|RULE_CANDIDATE_TOTAL_MARKET_EARLY_SAMPLE,2026-06-08,2026-06-09T22:06:03+01:00,API_CAL_RULE_0007,ALL,ALL,UNDER_3_5,WATCH_ONLY_COLLECT_TO_50_SAMPLE,RULE_CANDIDATE_TOTAL_MARKET_EARLY_SAMPLE,YES_REVIEW_ONLY_AFTER_SAMPLE_GROWS,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
PREDICTED_SIDE|AWAY|API_DNB|FUTURE_RULE_REVIEW_ONLY|RULE_CANDIDATE_PROTECTED_MARKET,2026-06-18,2026-06-18T12:40:33+01:00,API_CAL_RULE_0009,PREDICTED_SIDE,AWAY,API_DNB,FUTURE_RULE_REVIEW_ONLY,RULE_CANDIDATE_PROTECTED_MARKET,YES_REVIEW_ONLY,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
PREDICTED_SIDE|AWAY|API_DNB|WATCH_ONLY_COLLECT_TO_50_SAMPLE|RULE_CANDIDATE_PROTECTED_MARKET_EARLY_SAMPLE,2026-06-16,2026-06-16T13:29:01+01:00,API_CAL_RULE_0009,PREDICTED_SIDE,AWAY,API_DNB,WATCH_ONLY_COLLECT_TO_50_SAMPLE,RULE_CANDIDATE_PROTECTED_MARKET_EARLY_SAMPLE,YES_REVIEW_ONLY_AFTER_SAMPLE_GROWS,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
PREDICTED_SIDE|AWAY|API_DOUBLE_CHANCE|FUTURE_RULE_REVIEW_ONLY|RULE_CANDIDATE_PROTECTED_MARKET,2026-06-18,2026-06-18T12:40:33+01:00,API_CAL_RULE_0010,PREDICTED_SIDE,AWAY,API_DOUBLE_CHANCE,FUTURE_RULE_REVIEW_ONLY,RULE_CANDIDATE_PROTECTED_MARKET,YES_REVIEW_ONLY,SHADOW_ONLY,NO_RULE_ACTIVATION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION
