target_date,generated_at,fixture_id,home_team,away_team,status,goals,stats_status,updated_fields,source_guard
2026-06-19,2026-06-19T12:02:57+01:00,1524988,Texoma,West Texas,FT,1-0,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:02:58+01:00,1532234,AHFC Royals W,Challenge W,FT,1-3,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:02:58+01:00,1489388,Mexico,South Korea,FT,1-0,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at;actual_home_sot;actual_away_sot;actual_total_sot;actual_home_shots;actual_away_shots;actual_total_shots;actual_home_corners;actual_away_corners;actual_total_corners;actual_home_fouls;actual_away_fouls;actual_total_fouls,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:02:59+01:00,1524989,Flatirons Rush,Albion Colorado,FT,0-3,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:02:59+01:00,1524990,Utah United,Unión Villa Krause,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:02:59+01:00,1532235,Bigfoot W,Olympia W,FT,1-1,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:02:59+01:00,1524984,Ballard,Bigfoot,FT,6-1,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:00+01:00,1524987,Sportivo San Juan,San Francisco City,FT,2-6,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:00+01:00,1532236,Pleasanton Rage W,Stockton Cargo W,FT,2-1,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1545488,Dalian Kewei,Shenyang Urban,FT,1-0,STATS_FETCHED,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;score_fulltime_home;score_fulltime_away;results_last_refresh_at,DATED_INPUT_ONLY
