target_date,generated_at,competition_key,country,league,sample_rows_total,sample_rows_real,diagnostic_rows,pending_rows,no_pick_rows,green_rows,red_rows,void_rows,no_bet_rows,no_bet_protection_candidate_rows,no_bet_too_conservative_candidate_rows,high_event_rows,low_event_rows,manual_review_rows,market_family_counts,top_market_family,observed_green_rate,red_rate_real_sample,sample_gate,data_coverage_status,volatility_status,competition_learning_status,recommended_downstream_use,recommended_action,source_window,source_guard,auto_apply,production_change
2026-06-04,2026-06-05T13:03:08+01:00,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,DIAGNOSTIC,DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,1,0,0,0,0,0,NO_MARKET=1,NO_MARKET,,,INSUFFICIENT_SAMPLE,DIAGNOSTIC_ONLY,UNKNOWN_VOLATILITY,DIAGNOSTIC_ONLY_NO_REAL_SAMPLE,DIAGNOSTIC_ONLY_NO_SCORING,No real audited sample for this competition; keep diagnostic/collection only.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,DIAGNOSTIC,DIAGNOSTIC_NO_COMPETITION,2,0,2,0,2,0,0,0,2,0,0,0,0,0,NO_MARKET=2,NO_MARKET,,,INSUFFICIENT_SAMPLE,DIAGNOSTIC_ONLY,UNKNOWN_VOLATILITY,DIAGNOSTIC_ONLY_NO_REAL_SAMPLE,DIAGNOSTIC_ONLY_NO_SCORING,No real audited sample for this competition; keep diagnostic/collection only.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,DIAGNOSTIC,DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,1,0,0,0,0,0,NO_MARKET=1,NO_MARKET,,,INSUFFICIENT_SAMPLE,DIAGNOSTIC_ONLY,UNKNOWN_VOLATILITY,DIAGNOSTIC_ONLY_NO_REAL_SAMPLE,DIAGNOSTIC_ONLY_NO_SCORING,No real audited sample for this competition; keep diagnostic/collection only.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,UNKNOWN_COUNTRY|UNKNOWN_LEAGUE,UNKNOWN_COUNTRY,UNKNOWN_LEAGUE,1,0,0,1,0,0,0,0,1,0,0,0,0,0,UNKNOWN_FAMILY=1,UNKNOWN_FAMILY,,,INSUFFICIENT_SAMPLE,NO_REAL_SAMPLE,UNKNOWN_VOLATILITY,HOLD_NO_REAL_SAMPLE,COVERAGE_GATE_ONLY,No real green/red/void sample; collect more before scoring confidence.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,DIAGNOSTIC,DIAGNOSTIC_NO_COMPETITION,2,0,2,0,2,0,0,0,2,0,0,0,0,0,NO_MARKET=2,NO_MARKET,,,INSUFFICIENT_SAMPLE,DIAGNOSTIC_ONLY,UNKNOWN_VOLATILITY,DIAGNOSTIC_ONLY_NO_REAL_SAMPLE,DIAGNOSTIC_ONLY_NO_SCORING,No real audited sample for this competition; keep diagnostic/collection only.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,UNKNOWN_COUNTRY|UNKNOWN_LEAGUE,UNKNOWN_COUNTRY,UNKNOWN_LEAGUE,1,0,0,0,1,0,0,0,1,0,0,0,0,0,UNKNOWN_FAMILY=1,UNKNOWN_FAMILY,,,INSUFFICIENT_SAMPLE,NO_REAL_SAMPLE,UNKNOWN_VOLATILITY,HOLD_NO_REAL_SAMPLE,COVERAGE_GATE_ONLY,No real green/red/void sample; collect more before scoring confidence.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:40+01:00,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,DIAGNOSTIC,DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,1,0,0,0,0,0,NO_MARKET=1,NO_MARKET,,,INSUFFICIENT_SAMPLE,DIAGNOSTIC_ONLY,UNKNOWN_VOLATILITY,DIAGNOSTIC_ONLY_NO_REAL_SAMPLE,DIAGNOSTIC_ONLY_NO_SCORING,No real audited sample for this competition; keep diagnostic/collection only.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:40+01:00,UNKNOWN_COUNTRY|UNKNOWN_LEAGUE,UNKNOWN_COUNTRY,UNKNOWN_LEAGUE,7,0,0,1,6,0,0,0,6,0,1,0,1,1,UNKNOWN_FAMILY=6; TOTAL_GOALS=1,UNKNOWN_FAMILY,,,INSUFFICIENT_SAMPLE,NO_REAL_SAMPLE,UNKNOWN_VOLATILITY,HOLD_NO_REAL_SAMPLE,COVERAGE_GATE_ONLY,No real green/red/void sample; collect more before scoring confidence.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-14,2026-06-14T11:02:03+01:00,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,DIAGNOSTIC,DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,1,0,0,0,0,0,NO_MARKET=1,NO_MARKET,,,INSUFFICIENT_SAMPLE,DIAGNOSTIC_ONLY,UNKNOWN_VOLATILITY,DIAGNOSTIC_ONLY_NO_REAL_SAMPLE,DIAGNOSTIC_ONLY_NO_SCORING,No real audited sample for this competition; keep diagnostic/collection only.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-14,2026-06-14T11:02:03+01:00,UNKNOWN_COUNTRY|UNKNOWN_LEAGUE,UNKNOWN_COUNTRY,UNKNOWN_LEAGUE,6,0,0,1,5,0,0,0,5,0,0,0,0,0,UNKNOWN_FAMILY=5; TOTAL_GOALS=1,UNKNOWN_FAMILY,,,INSUFFICIENT_SAMPLE,NO_REAL_SAMPLE,UNKNOWN_VOLATILITY,HOLD_NO_REAL_SAMPLE,COVERAGE_GATE_ONLY,No real green/red/void sample; collect more before scoring confidence.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,LEAGUE_COMPETITION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
