target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,official_action,executable_now,final_block_reason,execution_family_status,is_actionable,is_non_actionable,is_expired,result_status,decision_quality_label,quality_bucket,improvement_signal,recommended_followup,accuracy_primary_risk,competition_calibrated_prob,learning_family,learning_status,sample_key,learning_priority,learning_note
2026-05-22,2026-05-22T17:59:59+01:00,1544652.0,Serie B,Sudtirol,Bari,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,UNRESOLVED,,,,,FAILURE_MODE_LOW_CONVERSION,0.78766,DATA_BLOCKED,DATA_REVIEW,DATA_BLOCKED::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::NO_SIGNAL,P1,Provider/odds/lineup/data coverage blocked execution; improve data path before changing model.
2026-05-22,2026-05-22T17:59:59+01:00,1494177.0,Allsvenskan,Djurgardens IF,IF Brommapojkarna,OVER_2_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,UNRESOLVED,,,,,FAILURE_MODE_LOW_CONVERSION,0.804225,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-22,2026-05-22T17:59:59+01:00,1544652,Serie B,Sudtirol,Bari,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,UNRESOLVED,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.78766,DATA_BLOCKED,DATA_REVIEW,DATA_BLOCKED::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,Provider/odds/lineup/data coverage blocked execution; improve data path before changing model.
2026-05-22,2026-05-22T17:59:59+01:00,1494177,Allsvenskan,Djurgardens IF,IF Brommapojkarna,OVER_2_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,UNRESOLVED,ACTIONABLE_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.804225,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-22,2026-05-22T17:59:59+01:00,1544652,Serie B,Sudtirol,Bari,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,UNRESOLVED,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.78766,DATA_BLOCKED,DATA_REVIEW,DATA_BLOCKED::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,Provider/odds/lineup/data coverage blocked execution; improve data path before changing model.
2026-05-22,2026-05-22T17:59:59+01:00,1494177,Allsvenskan,Djurgardens IF,IF Brommapojkarna,OVER_2_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,UNRESOLVED,ACTIONABLE_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.804225,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-22,2026-05-22T17:59:59+01:00,1544652,Serie B,Sudtirol,Bari,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,UNRESOLVED,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.78766,DATA_BLOCKED,DATA_REVIEW,DATA_BLOCKED::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,Provider/odds/lineup/data coverage blocked execution; improve data path before changing model.
2026-05-22,2026-05-22T17:59:59+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-22,2026-05-22T17:59:59+01:00,1544652,Serie B,Sudtirol,Bari,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,UNRESOLVED,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.78766,DATA_BLOCKED,DATA_REVIEW,DATA_BLOCKED::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,Provider/odds/lineup/data coverage blocked execution; improve data path before changing model.
2026-05-22,2026-05-22T17:59:59+01:00,1544652,Serie B,Sudtirol,Bari,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,UNRESOLVED,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.78766,DATA_BLOCKED,DATA_REVIEW,DATA_BLOCKED::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,Provider/odds/lineup/data coverage blocked execution; improve data path before changing model.
