target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,official_action,executable_now,final_block_reason,execution_family_status,is_actionable,is_non_actionable,is_expired,result_status,decision_quality_label,quality_bucket,improvement_signal,recommended_followup,accuracy_primary_risk,competition_calibrated_prob,learning_family,learning_status,sample_key,learning_priority,learning_note,source_dates_seen,backfill_scope
2026-05-14,2026-05-20T18:30:28+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-14,2026-05-20T18:30:28+01:00,1391177,La Liga,Valencia,Rayo Vallecano,OVER_1_5,,,,,,,,RESULT_AVAILABLE,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-14,2026-05-20T18:30:28+01:00,1544064,League One,Bradford,Bolton,OVER_1_5,,,,,,,,RESULT_AVAILABLE,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-15,2026-05-20T18:30:28+01:00,1544651,Serie B,Bari,Sudtirol,OVER_1_5,,,,,,,,PENDING,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-15,2026-05-20T18:30:28+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-16,2026-05-20T18:30:28+01:00,1392194,Segunda División,Granada CF,Burgos,OVER_1_5,,,,,,,,RESULT_AVAILABLE,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-16,2026-05-20T18:30:28+01:00,1544949,Serie B,Juve Stabia,Monza,OVER_1_5,,,,,,,,RESULT_AVAILABLE,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-16,2026-05-20T18:30:28+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-16,2026-05-20T18:30:28+01:00,1388609,Bundesliga,SC Freiburg,RB Leipzig,OVER_2_5,,,,,,,,RESULT_AVAILABLE,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-17,2026-05-20T18:30:28+01:00,1544950,Serie B,Catanzaro,Palermo,OVER_1_5,,,,,,,,PENDING,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-17,2026-05-20T18:30:28+01:00,1492260,Serie A,Atletico Paranaense,Flamengo,OVER_1_5,,,,,,,,PENDING,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-17,2026-05-20T18:30:28+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-18,2026-05-20T18:30:28+01:00,1392197,Segunda División,Leganes,Huesca,OVER_1_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,UNRESOLVED,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.81596,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,Execution timing/prelock state must be reviewed; not a predictive model change.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-18,2026-05-20T18:30:28+01:00,1494170,Allsvenskan,Djurgardens IF,Sirius,OVER_2_5,,,,,,,,PENDING,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-18,2026-05-20T18:30:28+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-19,2026-05-20T18:30:28+01:00,1544951,Serie B,Monza,Juve Stabia,OVER_1_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.77956,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-19,2026-05-20T18:30:28+01:00,1535300,CONMEBOL Libertadores,Coquimbo Unido,Deportes Tolima,OVER_1_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.784,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-19,2026-05-20T18:30:28+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-20,2026-05-20T18:30:28+01:00,1535312,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,WIN,ACTIONABLE_WIN,GOOD_DECISION,MONITOR_DECISION_QUALITY,Monitor in daily decision quality sample.,FAILURE_MODE_LOW_CONVERSION,0.80046,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::MONITOR_DECISION_QUALITY,P3,Resolved actionable result logged for sample accumulation.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
2026-05-20,2026-05-20T18:30:28+01:00,1494229,Allsvenskan,Gais,Hammarby FF,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.800225,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.,2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18;2026-05-19;2026-05-20,HISTORICAL_ALL_AVAILABLE
