target_date,generated_at,fixture_id,home_team,away_team,league,forecast_confidence,metric,actual_value,pred_low,pred_mid,pred_high,range_hit,abs_error_mid,direction_error,forecast_warning,source_guard,auto_apply,production_change
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,Allsvenskan,MEDIUM,total_goals,2.00,2.35,3.12,3.90,MISS,1.12,OVER_ESTIMATE,AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,Allsvenskan,MEDIUM,total_sot,9.00,6.00,8.00,11.00,HIT,1.00,ON_RANGE,AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,Allsvenskan,MEDIUM,total_shots,24.00,20.00,26.00,31.00,HIT,2.00,ON_RANGE,AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,Allsvenskan,MEDIUM,total_corners,7.00,8.00,11.00,13.00,MISS,4.00,OVER_ESTIMATE,AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,Allsvenskan,MEDIUM,total_cards,4.00,3.00,5.00,7.00,HIT,1.00,ON_RANGE,AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494178,IF Elfsborg,BK Hacken,Allsvenskan,MEDIUM,total_fouls,20.00,19.00,24.00,29.00,HIT,4.00,ON_RANGE,AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,Allsvenskan,MEDIUM,total_goals,2.00,2.40,3.19,3.98,MISS,1.19,OVER_ESTIMATE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,Allsvenskan,MEDIUM,total_sot,13.00,8.00,11.00,14.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,Allsvenskan,MEDIUM,total_shots,33.00,25.00,31.00,38.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,Allsvenskan,MEDIUM,total_corners,5.00,8.00,12.00,15.00,MISS,7.00,OVER_ESTIMATE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,Allsvenskan,MEDIUM,total_cards,10.00,2.00,3.00,5.00,MISS,7.00,UNDER_ESTIMATE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494179,IFK Goteborg,Mjallby AIF,Allsvenskan,MEDIUM,total_fouls,26.00,18.00,23.00,27.00,HIT,3.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,Eliteserien,MEDIUM,total_goals,2.00,2.10,2.81,3.52,MISS,0.81,OVER_ESTIMATE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,Eliteserien,MEDIUM,total_sot,9.00,6.00,9.00,12.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,Eliteserien,MEDIUM,total_shots,27.00,25.00,31.00,37.00,HIT,4.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,Eliteserien,MEDIUM,total_corners,11.00,10.00,13.00,16.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,Eliteserien,MEDIUM,total_cards,5.00,2.00,3.00,5.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:49:45+01:00,1494672,Sandefjord,Fredrikstad,Eliteserien,MEDIUM,total_fouls,24.00,20.00,26.00,31.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE; AVAILABILITY_RISK,DATED_INPUT_ONLY,NO,NO
