target_date,generated_at,fixture_id,home_team,away_team,league,country,max_coverage_decision,enrichment_mode,downstream_use,external_calls_allowed,executor_mode,planned_endpoints,executed_endpoints,successful_endpoints,failed_endpoints,fixture_detail_status,statistics_status,events_status,lineups_status,predictions_status,odds_status,executor_status,scoring_eligibility_after_execution,raw_output_dir,error_summary,auto_apply,production_change
2026-06-15,2026-06-15T19:10:02+01:00,1493865,Westchester SC,Greenville Triumph,USL League One,,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;events;lineups;predictions;odds,statistics,OK,FAILED_OR_EMPTY,OK,OK,OK,OK,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,data/processed/today/2026-06-15/api_enrichment/1493865,statistics:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1524931,Bigfoot,Oly Town,USL League Two,,COVERAGE_PROBE_ALLOWED_LOW_COVERAGE,COVERAGE_PROBE_ONLY,COVERAGE_GATE_ONLY,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events,fixture_detail;statistics;events,fixture_detail,statistics;events,OK,FAILED_OR_EMPTY,FAILED_OR_EMPTY,NOT_PLANNED,NOT_PLANNED,NOT_PLANNED,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,data/processed/today/2026-06-15/api_enrichment/1524931,statistics:EMPTY_RESPONSE | events:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1524932,City SC,Ventura County Fusion,USL League Two,,COVERAGE_PROBE_ALLOWED_LOW_COVERAGE,COVERAGE_PROBE_ONLY,COVERAGE_GATE_ONLY,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events,fixture_detail;statistics;events,fixture_detail,statistics;events,OK,FAILED_OR_EMPTY,FAILED_OR_EMPTY,NOT_PLANNED,NOT_PLANNED,NOT_PLANNED,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,data/processed/today/2026-06-15/api_enrichment/1524932,statistics:EMPTY_RESPONSE | events:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1524938,Brazos Valley,Hill Country Lobos,USL League Two,,COVERAGE_PROBE_ALLOWED_LOW_COVERAGE,COVERAGE_PROBE_ONLY,COVERAGE_GATE_ONLY,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events,fixture_detail;statistics;events,fixture_detail,statistics;events,OK,FAILED_OR_EMPTY,FAILED_OR_EMPTY,NOT_PLANNED,NOT_PLANNED,NOT_PLANNED,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,data/processed/today/2026-06-15/api_enrichment/1524938,statistics:EMPTY_RESPONSE | events:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1524934,Snohomish United,West Seattle Junction,USL League Two,,COVERAGE_PROBE_ALLOWED_LOW_COVERAGE,COVERAGE_PROBE_ONLY,COVERAGE_GATE_ONLY,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events,fixture_detail;statistics;events,fixture_detail,statistics;events,OK,FAILED_OR_EMPTY,FAILED_OR_EMPTY,NOT_PLANNED,NOT_PLANNED,NOT_PLANNED,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,data/processed/today/2026-06-15/api_enrichment/1524934,statistics:EMPTY_RESPONSE | events:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1524937,Sportivo San Juan,Almaden,USL League Two,,COVERAGE_PROBE_ALLOWED_LOW_COVERAGE,COVERAGE_PROBE_ONLY,COVERAGE_GATE_ONLY,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events,fixture_detail;statistics;events,fixture_detail,statistics;events,OK,FAILED_OR_EMPTY,FAILED_OR_EMPTY,NOT_PLANNED,NOT_PLANNED,NOT_PLANNED,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,data/processed/today/2026-06-15/api_enrichment/1524937,statistics:EMPTY_RESPONSE | events:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1507384,Varketili,Betlemi,Liga 3,,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;events;predictions,statistics;lineups;odds,OK,FAILED_OR_EMPTY,OK,FAILED_OR_EMPTY,OK,FAILED_OR_EMPTY,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,data/processed/today/2026-06-15/api_enrichment/1507384,statistics:EMPTY_RESPONSE | lineups:EMPTY_RESPONSE | odds:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1541088,Negelle Arsi,Awassa Kenema,Premier League,,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;events;predictions;odds,statistics;lineups,OK,FAILED_OR_EMPTY,OK,FAILED_OR_EMPTY,OK,OK,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,data/processed/today/2026-06-15/api_enrichment/1541088,statistics:EMPTY_RESPONSE | lineups:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1477243,KMC,Coastal Union,Ligi kuu Bara,,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;predictions;odds,lineups,OK,OK,OK,FAILED_OR_EMPTY,OK,OK,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,data/processed/today/2026-06-15/api_enrichment/1477243,lineups:EMPTY_RESPONSE,NO,NO
2026-06-15,2026-06-15T19:10:02+01:00,1507379,Gonio,Margveti 2006,Liga 3,,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,EXECUTE_API_CALLS,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;lineups;predictions;odds,fixture_detail;statistics;events;predictions,lineups;odds,OK,OK,OK,FAILED_OR_EMPTY,OK,FAILED_OR_EMPTY,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,data/processed/today/2026-06-15/api_enrichment/1507379,lineups:EMPTY_RESPONSE | odds:EMPTY_RESPONSE,NO,NO
