target_date,generated_at,fixture_id,home_team,away_team,league,country,queue_priority,risk_label,estimated_call_units,max_coverage_decision,enrichment_mode,downstream_use,external_calls_allowed,external_calls_executed,policy_reason,auto_apply,production_change
2026-06-10,2026-06-14T11:37:45+01:00,1548055,Malaga,Las Palmas,,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1546281,Cape Town City,Magesi,,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1530591,Neptūną Klaipėda,Transinvest 2,1 Lyga,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1543393,Fjardabyggd / Leiknir,Fjolnir,2. Deild,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1543391,Haukar,Kormákur / Hvöt,2. Deild,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1543396,Thróttur Vogar,Vikingur Olafsiik,2. Deild,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1542167,Damash Gilanian,Mes Shahr-e Babak,Azadegan League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1542173,Naft Bandar Abbas,Shahrdari Noshahr,Azadegan League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1542025,Blumenau,Jaraguá,Catarinense - 2,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1550653,Dikaki,Cercle Mbéri,Championnat D1,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1550655,Mangasport,Bouenguidi,Championnat D1,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1550657,Stade Mandji,Lozo,Championnat D1,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1544586,Brasil DE Pelotas,Farroupilha,Copa Gaúcha,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1512951,Aigle Royal de Moungo,PWD Bamenda,Elite One,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1512955,Colombe,Jeunes Fauves,Elite One,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1512956,Fortuna Mfou,Stade Renard,Elite One,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1512957,Gazelle,Cotonsport,Elite One,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1526555,Gualaceo SC,Cumbayá,Liga Pro Serie B,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1526556,Ind. Juniors,Deportivo Cuenca Juniors,Liga Pro Serie B,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1544783,Tupan,São José MA,Maranhense - 2,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1550040,Amawele,Madlenya,Premier League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1550041,Viva Stumbo,Magwanyana,Premier League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1495293,Dynamos,Hunters,Premier Soccer League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1495299,Kariba,Herentals,Premier Soccer League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
2026-06-10,2026-06-14T11:37:45+01:00,1495296,Platinum,Hardrock,Premier Soccer League,,P1_TRUSTED_MISSING_SCORING,MEDIUM,5,FULL_ENRICHMENT_ALLOWED_FOR_SCORING,FULL_ENRICHMENT_WITH_NORMAL_GATES,SCORING_ALLOWED_WITH_NORMAL_GATES,YES_MAX_COVERAGE_POLICY,NO,P1 trusted fixture with medium risk; API enrichment may feed scoring only after all normal gates pass.,NO,NO
