target_date,generated_at,ledger_key,fixture_id,home_team,away_team,primary_market,decision_bucket,translation_audit_status,translation_quality_label,market_family,result_source_status,actual_home_goals,actual_away_goals,actual_total_goals,actual_total_xg,actual_total_sot,actual_total_big,no_bet_audit_status,no_bet_quality_label,no_bet_evidence_profile,missed_opportunity_risk,protection_value_signal,learning_action,manual_review_required,audit_note,source_guard,auto_apply,production_change
2026-06-04,2026-06-04T21:00:12+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,DIAGNOSTIC_ONLY,TRANSLATION_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NO_MARKET_LEARNING,NO_MARKET,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NOT_REAL_FIXTURE_NO_BET,NO_POSTMATCH_PRESSURE_METRICS,NOT_APPLICABLE,NOT_APPLICABLE,NO_MODEL_CHANGE,NO,Diagnostic row; no fixture-level No Bet correctness can be evaluated.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,2026-06-05|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,DIAGNOSTIC_ONLY,TRANSLATION_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NO_MARKET_LEARNING,NO_MARKET,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NOT_REAL_FIXTURE_NO_BET,NO_POSTMATCH_PRESSURE_METRICS,NOT_APPLICABLE,NOT_APPLICABLE,NO_MODEL_CHANGE,NO,Diagnostic row; no fixture-level No Bet correctness can be evaluated.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:12+01:00,2026-06-05|1548052|NO_CLEAR_STAT_MARKET,1548052,Castellón,Almeria,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,2026-06-08|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,DIAGNOSTIC_ONLY,TRANSLATION_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NO_MARKET_LEARNING,NO_MARKET,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NOT_REAL_FIXTURE_NO_BET,NO_POSTMATCH_PRESSURE_METRICS,NOT_APPLICABLE,NOT_APPLICABLE,NO_MODEL_CHANGE,NO,Diagnostic row; no fixture-level No Bet correctness can be evaluated.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:40+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,LIVE_ONLY,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,TOTAL_GOALS,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_NOT_APPLICABLE,NOT_A_NO_BET_ROW,NO_POSTMATCH_PRESSURE_METRICS,NOT_APPLICABLE,NOT_APPLICABLE,NO_MODEL_CHANGE,NO,Row is not a No Bet decision; handled by pick quality/market translation audits.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:40+01:00,2026-06-10|1546281|NO_CLEAR_STAT_MARKET,1546281,Cape Town City,Magesi,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET_TRANSLATION_REVIEW_REQUIRED,NO_BET_MARKET_OPPORTUNITY_REVIEW,UNKNOWN_FAMILY,FINAL_ACTUALS_FOUND,1,1,2,0,,0,NO_BET_CAUSAL_REVIEW_READY,NO_BET_TOO_CONSERVATIVE_CANDIDATE,LOW_EVENT_MATCH,MEDIUM_TO_HIGH_PENDING_MARKET_REVIEW,LOW,REVIEW_FOR_MISSED_SAFE_MARKET,YES,Final match looked low-event; review if a safe market was missed or if pre-match data correctly blocked it.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-14,2026-06-14T11:02:03+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,TOTAL_GOALS,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,TOTAL_GOALS,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T12:40:52+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
