target_date,generated_at,fixture_id,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_total_goals,actual_home_sot,actual_away_sot,actual_total_sot,actual_home_shots,actual_away_shots,actual_total_shots,actual_home_corners,actual_away_corners,actual_total_corners,actual_home_cards,actual_away_cards,actual_total_cards,actual_home_fouls,actual_away_fouls,actual_total_fouls,actual_home_xg,actual_away_xg,actual_total_xg,actual_home_big,actual_away_big,actual_total_big,available_metrics,actuals_verdict,source_guard,auto_apply,production_change
2026-06-19,2026-06-19T12:03:01+01:00,1524988,Texoma,West Texas,FT,1,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1532234,AHFC Royals W,Challenge W,FT,1,3,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1489388,Mexico,South Korea,FT,1,0,1,4,2,6,8,9,17,0,2,2,,,,9,7,16,0,0,0,0,0,0,goals; sot; shots; corners; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1524989,Flatirons Rush,Albion Colorado,FT,0,3,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1532235,Bigfoot W,Olympia W,FT,1,1,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1524984,Ballard,Bigfoot,FT,6,1,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1524987,Sportivo San Juan,San Francisco City,FT,2,6,8,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1532236,Pleasanton Rage W,Stockton Cargo W,FT,2,1,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1545488,Dalian Kewei,Shenyang Urban,FT,1,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1545497,Shanghai Second,SHANGHAI SIPG,FT,1,2,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T12:03:01+01:00,1545499,Xi'an Ronghai,Qingdao Youth Island,PEN,1,1,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
