target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,trust_reason,allowed_downstream_use,auto_apply,production_change
2026-06-30,2026-06-30T20:14:29+01:00,1526872,Serie C,Brazil,Caxias,Anápolis,2026-06-30T23:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1550764,Carioca C,Brazil,Campos AA,Uni Souza,2026-06-30T18:45:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567315,Championnat D1,Gabon,Bitam,Bouenguidi,2026-06-30T15:30:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567317,Championnat D1,Gabon,Cercle Mbéri,Ogooue FC,2026-06-30T15:30:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567313,Championnat D1,Gabon,Dikaki,Pélican,2026-06-30T14:00:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567316,Championnat D1,Gabon,FC 105,US Oyem,2026-06-30T15:30:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567318,Championnat D1,Gabon,Mangasport,Vautour Club,2026-06-30T16:00:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567314,Championnat D1,Gabon,Oyem AC,Lozo,2026-06-30T14:00:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1567319,Championnat D1,Gabon,Stade Migoveen,Stade Mandji,2026-06-30T16:00:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1544430,Copa Chile,Chile,A. Italiano,Palestino,2026-06-30T23:00:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
2026-06-30,2026-06-30T20:14:29+01:00,1551262,Cup,Estonia,Järva-Jaani,Elva,2026-06-30T17:30:00+01:00,data/processed/matches_league_rejected.csv,REJECTED_SOURCE_BLOCK,source path indicates the fixture came from rejected league/filter output,DIAGNOSTIC_ONLY_NO_SCORING,NO,NO
