market_family,failure_mode,experiment_id,drift_status,clv_direction,league,bucket,rows,settled_rows,wins,losses,hit_rate,profit_units,roi_percent,avg_edge,avg_calibrated_probability,avg_clv_delta,sample_status,threshold_recommendation,threshold_reason,clv_rows
OVER_1_5,LOW_CONVERSION,CANDIDATE_V4_O25_FIREWALL,WATCH_PATTERN,,ALL,ALL,16,6,4,2,66.666667,-0.45,-7.5,0.172493,0.807981,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 6 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,LOW_CONVERSION,CANDIDATE_V5_PLAYER_IMPACT,WATCH_PATTERN,,ALL,ALL,16,6,4,2,66.666667,-0.45,-7.5,0.172493,0.804592,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 6 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,LOW_CONVERSION,CANDIDATE_V2_SCHEDULE_ANOMALY,WATCH_PATTERN,,ALL,ALL,15,5,3,2,60.0,-0.7,-14.0,0.175832,0.804863,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 5 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,LOW_CONVERSION,CANDIDATE_V6_API_PREDICTIONS,WATCH_PATTERN,,ALL,ALL,15,5,3,2,60.0,-0.7,-14.0,0.175832,0.804863,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 5 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,LOW_CONVERSION,OFFICIAL_BASELINE,WATCH_PATTERN,,ALL,ALL,15,5,3,2,60.0,-0.7,-14.0,0.177552,0.805759,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 5 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,LOW_CONVERSION,OFFICIAL_BASELINE,NO_DRIFT,,ALL,ALL,3,2,1,1,50.0,-0.48,-24.0,0.210116,0.831325,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 2 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,LOW_CONVERSION,CANDIDATE_V2_SCHEDULE_ANOMALY,NO_DRIFT,,ALL,ALL,2,1,0,1,0.0,-1.0,-100.0,0.240371,0.834675,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 1 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,LOW_CONVERSION,CANDIDATE_V7_PRICE_DISCIPLINE,NO_DRIFT,,ALL,ALL,2,1,0,1,0.0,-1.0,-100.0,0.240371,0.834675,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 1 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,LOW_CONVERSION,CANDIDATE_V7_PRICE_DISCIPLINE,WATCH_PATTERN,,ALL,ALL,10,0,0,0,,0.0,,0.185683,0.80332,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,UNSPECIFIED,CANDIDATE_V2_SCHEDULE_ANOMALY,UNKNOWN,,ALL,ALL,7,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,UNSPECIFIED,CANDIDATE_V4_O25_FIREWALL,UNKNOWN,,ALL,ALL,8,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,UNSPECIFIED,CANDIDATE_V5_PLAYER_IMPACT,UNKNOWN,,ALL,ALL,7,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_1_5,UNSPECIFIED,CANDIDATE_V6_API_PREDICTIONS,UNKNOWN,,ALL,ALL,7,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,LOW_CONVERSION,CANDIDATE_V5_PLAYER_IMPACT,NO_DRIFT,,ALL,ALL,1,0,0,0,,0.0,,0.245898,0.861825,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,LOW_CONVERSION,CANDIDATE_V6_API_PREDICTIONS,NO_DRIFT,,ALL,ALL,1,0,0,0,,0.0,,0.245898,0.867825,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,UNSPECIFIED,CANDIDATE_V2_SCHEDULE_ANOMALY,UNKNOWN,,ALL,ALL,1,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,UNSPECIFIED,CANDIDATE_V5_PLAYER_IMPACT,UNKNOWN,,ALL,ALL,1,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
OVER_2_5,UNSPECIFIED,CANDIDATE_V7_PRICE_DISCIPLINE,NO_DRIFT,,ALL,ALL,1,0,0,0,,0.0,,,,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
UNDER_3_5,AVALANCHE_RISK,OFFICIAL_BASELINE,UNKNOWN,,ALL,ALL,1,0,0,0,,0.0,,0.116457,0.770525,,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL,Only 0 settled rows; minimum threshold-review sample is 10.,0
