target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,promotion_status,promotion_reason,source_path,allowed_downstream_use,auto_apply,production_change
2026-06-10,2026-06-12T23:55:22+01:00,1548055,,,Malaga,Las Palmas,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_candidate_provenance_ceiling.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1546281,,,Cape Town City,Magesi,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_dated_post_match_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1530591,1 Lyga,Lithuania,Neptūną Klaipėda,Transinvest 2,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543393,2. Deild,Iceland,Fjardabyggd / Leiknir,Fjolnir,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543391,2. Deild,Iceland,Haukar,Kormákur / Hvöt,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543396,2. Deild,Iceland,Thróttur Vogar,Vikingur Olafsiik,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1542167,Azadegan League,Iran,Damash Gilanian,Mes Shahr-e Babak,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1542173,Azadegan League,Iran,Naft Bandar Abbas,Shahrdari Noshahr,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1542025,Catarinense - 2,Brazil,Blumenau,Jaraguá,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550653,Championnat D1,Gabon,Dikaki,Cercle Mbéri,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
