target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,trust_reason,allowed_downstream_use,auto_apply,production_change
2026-07-19,2026-07-19T19:13:32+01:00,1554428,UEFA Europa Conference League,World,Malisheva,Vllaznia Shkodër,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1554375,UEFA Champions League,World,Atert Bissen,KI Klaksvik,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1554388,UEFA Champions League,World,Universitatea Craiova,ML Vitebsk,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1494212,Allsvenskan,Sweden,Halmstad,BK Hacken,2026-07-19T15:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1494213,Allsvenskan,Sweden,Hammarby FF,Degerfors IF,2026-07-19T15:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1494210,Allsvenskan,Sweden,IF Elfsborg,Sirius,2026-07-19T15:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1507003,K League 1,South-Korea,Bucheon FC 1995,FC Seoul,2026-07-19T11:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1507002,K League 1,South-Korea,FC Anyang,Gwangju FC,2026-07-19T11:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1547591,A Lyga,Lithuania,Džiugas Telšiai,Banga,2026-07-19T16:45:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1547592,A Lyga,Lithuania,FK Zalgiris Vilnius,TransINVEST Vilnius,2026-07-19T17:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-19,2026-07-19T19:13:32+01:00,1495736,Veikkausliiga,Finland,FF Jaro,Inter Turku,2026-07-19T16:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
