target_date,mode,generated_at,global_health_status,check_name,status,detail,recovery_command,evidence_path
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,project_root_exists,HEALTHY,project root present,,C:\vsigma
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,venv_python_exists,HEALTHY,.venv Python present,"Create or repair .venv, then install project requirements.",C:\vsigma\.venv\Scripts\python.exe
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,data_raw_exists,HEALTHY,data/raw present,Create data\raw or run the raw data fetch pipeline.,C:\vsigma\data\raw
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,data_processed_exists,HEALTHY,data/processed present,Create data\processed or run the PRE pipeline.,C:\vsigma\data\processed
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/run_daily_competition_controller.py,HEALTHY,present,,C:\vsigma\scripts\run_daily_competition_controller.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/run_daily_competition_supervisor.py,HEALTHY,present,,C:\vsigma\scripts\run_daily_competition_supervisor.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/run_today_prelock_orchestrator.py,HEALTHY,present,,C:\vsigma\scripts\run_today_prelock_orchestrator.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/run_today_post_results_pipeline.py,HEALTHY,present,,C:\vsigma\scripts\run_today_post_results_pipeline.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/update_immutable_daily_ledger.py,HEALTHY,present,,C:\vsigma\scripts\update_immutable_daily_ledger.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/build_daily_competition_master_report.py,HEALTHY,present,,C:\vsigma\scripts\build_daily_competition_master_report.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/build_promotion_threshold_governance.py,HEALTHY,present,,C:\vsigma\scripts\build_promotion_threshold_governance.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/validate_daily_output_freshness.py,HEALTHY,present,,C:\vsigma\scripts\validate_daily_output_freshness.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/validate_candidate_isolation.py,HEALTHY,present,,C:\vsigma\scripts\validate_candidate_isolation.py
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/register_vsigma_windows_tasks.ps1,HEALTHY,present,,C:\vsigma\scripts\register_vsigma_windows_tasks.ps1
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,required_script:scripts/unregister_vsigma_windows_tasks.ps1,HEALTHY,present,,C:\vsigma\scripts\unregister_vsigma_windows_tasks.ps1
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,api_config_available,HEALTHY,API configuration detected without exposing secrets,"Set API_FOOTBALL_KEY, APISPORTS_KEY, RAPIDAPI_KEY, or X_RAPIDAPI_KEY in .env/environment.",C:\vsigma\.env
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,today_snapshot_folder,HEALTHY,today snapshot folder present,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-15 --timezone Atlantic/Canary --mode pre,C:\vsigma\data\processed\today\2026-05-15
2026-05-15,full,2026-05-15T15:14:02.442494+01:00,WARNING,official_baseline_output,HEALTHY,present with 1 row(s),,C:\vsigma\data\processed\today\2026-05-15\vsigma_today_competition_top.csv
