summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,79,0,0,0,0,89.2697,,15.2278,5.4051,0.0,9.8228
by_final_execution_bucket,WATCH,,,,,79,0,0,0,0,89.2697,,15.2278,5.4051,0.0,9.8228
by_bucket_and_governance_status,WATCH,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,,,,78,0,0,0,0,89.5358,,15.4231,5.4744,0.0,9.9487
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,68.52,,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,79,0,0,0,0,89.2697,,15.2278,5.4051,0.0,9.8228
by_bucket_and_execution_verdict,WATCH,,,CORE_SHORTLIST,,3,0,0,0,0,101.9733,,17.0,7.0,0.0,10.0
by_bucket_and_execution_verdict,WATCH,,,TOP_CORE,,2,0,0,0,0,104.505,,17.0,7.0,0.0,10.0
by_bucket_and_execution_verdict,WATCH,,,WATCH,,74,0,0,0,0,88.343,,15.1081,5.2973,0.0,9.8108
by_bucket_and_best_evidence_tier,WATCH,,,,GENERIC_BROAD,9,0,0,0,0,87.5922,,10.0,0.0,0.0,10.0
by_bucket_and_best_evidence_tier,WATCH,,,,PREMIUM_EVIDENCE,69,0,0,0,0,89.7893,,16.1304,6.1884,0.0,9.942
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,68.52,,0.0,0.0,0.0,0.0
