date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,results_last_refresh_at,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,first_leg_fixture_id,first_leg_home_goals,first_leg_away_goals,tie_home_agg_before,tie_away_agg_before,league_tier,league_tier_rank,league_filter_reason,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note,priority_rank,market_bonus,selection_eligible,sample_penalty,priority_bonus,tier_bonus,selection_score,shortlist_rank,shortlist_bucket
2026-04-28,2026-04-28T23:00:00+01:00,1777413600,CONMEBOL Libertadores,13,2026,1535276,FT,Libertad Asuncion,1179,Independiente del Valle,1153,World,FT,Match Finished,90.0,2.0,3.0,2.0,3.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074697+00:00,8.0,8.0,0.875,2.375,0.75,1.625,1.625,0.875,0.5,0.75,0.125,0.375,0.375,0.5,0.625,0.75,0.375,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,10.8,13.6,3.8,6.4,49.6,3.8,4.8,11.2,2.5,0.6,3.0,5.0,5.0,1.0,1.0,22.8,10.0,7.6,3.6,62.8,9.0,3.2,8.2,1.4,1.75,4.8,FULL,2026-05-11T06:34:08.130496+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:10.712667+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,0.22,0.22,0.45,0.45,0.335,0.0,90.0,-17794.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.656642+00:00,4.0,0.0,-5.0,4.0,3.0,8.0,1.0,2.0,7.0,1.0,4.0,6.0,5.0,1.0,32.0,2026-05-11T06:34:18.340379+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:20.542847+00:00,NO_ODDS_FOUND,,,,,,TIER_1,1,conmebol_libertadores,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,15.32,4.0,9.9,20.0,0.9032258064516128,0.967741935483871,-13.0,14.3,0.0,0.0,0.0,0.0,3.41,91.03,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,1.5,96.93,1,TOP_CORE
2026-04-28,2026-04-28T20:00:00+01:00,1777402800,UEFA Champions League,2,2025,1540841,FT,Paris Saint Germain,85,Bayern München,157,World,FT,Match Finished,90.0,5.0,4.0,5.0,4.0,3.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2026-05-11T06:34:05.074657+00:00,8.0,8.0,2.625,3.0,2.625,3.5,0.375,1.375,1.0,1.0,0.75,0.375,0.25,0.625,1.0,1.0,0.75,0.875,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.8,9.4,6.8,3.0,67.8,5.8,5.0,8.4,1.8,2.0,4.6,5.0,5.0,1.0,1.0,20.0,10.8,8.6,4.8,67.0,6.8,3.2,10.2,1.5,2.8,6.0,FULL,2026-05-11T06:34:08.184441+00:00,2.0,16.0,1.0,1.0,2.0,15.6,FULL,FULL,MEDIUM,HIGH,FULL,2026-05-11T06:34:11.572572+00:00,1.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,90.0,-17974.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.671288+00:00,11.0,14.0,10.0,8.0,21.0,11.0,0.0,2.0,21.0,14.0,8.0,22.0,8.0,1.0,36.0,2026-05-11T06:34:18.344809+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:21.388794+00:00,NO_ODDS_FOUND,1451081.0,1.0,2.0,1.0,2.0,TIER_1,1,uefa_top_competition,30,8,16,9,16,4,28.0,OK_FULL_STATS,2.0,15.6,0.0,0.0,0.0,17.6,0.1,0.0,20.0,4.0,20.0,19.97,0.7142857142857143,0.9714285714285714,-3.64,7.65,0.0,0.0,0.0,0.1,2.36,89.91,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,OK,HOME_TRAILING,-1.0,1.0,1.0,0.0,0.0,1,home_trailing_flip_away_to_over,1,1.2,True,0.0,3.0,1.5,95.61,2,TOP_CORE
2026-04-28,2026-04-28T23:00:00+01:00,1777413600,CONMEBOL Sudamericana,11,2026,1535172,FT,Botafogo,120,Independiente Petrolero,15702,World,FT,Match Finished,90.0,3.0,0.0,3.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074678+00:00,8.0,8.0,2.25,0.875,2.25,0.875,1.375,2.0,1.0,0.5,0.125,0.0,0.875,0.5,0.875,0.75,0.75,0.75,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,15.8,10.8,6.2,3.8,53.8,4.8,5.2,10.6,2.25,1.0,2.8,5.0,4.0,0.8,1.0,10.75,17.75,4.25,7.5,43.75,2.0,4.25,13.0,2.5,2.5,1.75,PARTIAL,2026-05-11T06:34:08.212947+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:11.972455+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,0.22,0.22,0.45,0.2,0.273,0.0,90.0,-17794.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.678902+00:00,1.0,10.0,5.0,4.0,9.0,4.0,1.0,4.0,0.0,-7.0,4.0,3.0,10.0,1.0,32.0,2026-05-11T06:34:18.346512+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:21.825551+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,conmebol_sudamericana,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,18.45,3.6,20.0,11.91,1.0,0.9032258064516128,15.37,16.0,0.0,0.0,0.0,0.0,3.43,88.88,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,0.8,94.08,3,CORE_SHORTLIST
2026-04-28,2026-04-28T19:45:00+01:00,1777401900,League One,41,2025,1387616,FT,Stockport County,4686,Port Vale,1351,England,FT,Match Finished,90.0,1.0,2.0,1.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074595+00:00,8.0,8.0,1.75,1.0,2.125,0.625,1.25,1.875,0.875,0.375,0.375,0.375,0.5,0.25,0.875,0.5,0.75,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,17.2,12.4,6.8,6.0,61.0,4.8,5.2,9.4,2.2,2.4,4.6,5.0,5.0,1.0,1.0,10.6,14.8,3.0,3.2,47.4,6.8,6.6,10.0,0.8,1.2,4.2,FULL,2026-05-11T06:34:08.351160+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:14.286476+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,90.0,-17989.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.714252+00:00,3.0,77.0,13.0,46.0,71.0,58.0,1.0,22.0,42.0,-25.0,46.0,36.0,61.0,1.0,24.0,2026-05-11T06:34:18.355320+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:24.072048+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,england_league_one,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,16.66,4.0,20.0,10.11,0.9130434782608696,0.0869565217391304,27.38,16.0,0.0,0.0,0.0,0.0,4.8,88.46,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,0.8,93.66,4,CORE_SHORTLIST
2026-04-28,2026-04-28T19:45:00+01:00,1777401900,Championship,40,2025,1387028,FT,Southampton,41,Ipswich,57,England,FT,Match Finished,90.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2026-05-11T06:34:05.074581+00:00,8.0,8.0,2.375,1.875,2.375,1.375,1.0,0.875,1.0,0.75,0.25,0.375,0.75,0.5,1.0,0.875,0.875,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.2,12.2,5.0,4.2,52.4,7.0,4.6,9.2,1.4,2.0,4.0,5.0,5.0,1.0,1.0,12.6,11.8,4.0,5.0,52.8,4.8,4.4,11.8,2.8,1.6,3.6,FULL,2026-05-11T06:34:08.157452+00:00,8.0,6.0,1.0,1.0,7.6,6.0,FULL,FULL,HIGH,HIGH,FULL,2026-05-11T06:34:11.154764+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,0.22,0.22,0.45,0.45,0.335,0.0,90.0,-17989.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.663873+00:00,4.0,80.0,26.0,46.0,82.0,56.0,1.0,2.0,84.0,33.0,46.0,80.0,47.0,1.0,24.0,2026-05-11T06:34:18.342916+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:20.949158+00:00,NO_ODDS_FOUND,,,,,,TIER_1,1,england_championship,30,8,16,9,16,4,28.0,OK_FULL_STATS,7.6,6.0,0.0,0.0,0.0,13.6,0.1,0.0,19.26,4.0,19.02,14.32,0.8695652173913043,0.9565217391304348,4.05,4.46,0.0,0.0,0.0,0.1,6.12,87.74,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,1.5,93.64,5,CORE_SHORTLIST
2026-04-28,2026-04-28T19:45:00+01:00,1777401900,League One,41,2025,1387577,FT,Peterborough,1350,Mansfield Town,1374,England,FT,Match Finished,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074590+00:00,8.0,8.0,0.75,1.875,1.5,1.75,1.75,0.75,1.0,0.75,0.125,0.5,0.875,0.5,1.0,0.625,0.625,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.4,18.8,3.8,7.2,56.0,5.8,7.8,9.2,1.4,1.0,4.6,5.0,5.0,1.0,1.0,11.2,14.0,3.6,3.6,42.2,4.6,5.6,12.0,2.2,1.333,3.4,FULL,2026-05-11T06:34:08.322293+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:13.831500+00:00,1.0,1.0,11.0,11.0,1.0,1.0,0.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,0.02,0.45,0.45,0.45,0.343,0.0,90.0,-17989.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.707417+00:00,18.0,53.0,-4.0,46.0,64.0,68.0,0.5,10.0,65.0,12.0,46.0,62.0,50.0,0.0,24.0,2026-05-11T06:34:18.353533+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:23.632591+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,england_league_one,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,18.52,3.81,14.45,18.55,0.2608695652173913,0.6086956521739131,-13.0,14.3,0.0,0.0,0.0,0.0,2.19,86.01,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,0.8,91.21,6,WATCHLIST
2026-04-28,2026-04-28T19:45:00+01:00,1777401900,League One,41,2025,1387576,FT,Northampton,1337,Barnsley,747,England,FT,Match Finished,90.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074585+00:00,8.0,8.0,0.0,0.75,0.75,0.875,2.75,1.375,0.75,0.5,0.0,0.125,0.75,0.5,0.875,0.625,0.75,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,9.4,19.4,3.0,6.4,46.0,4.0,6.4,12.6,2.0,1.6,4.4,5.0,5.0,1.0,1.0,12.0,11.8,4.2,3.4,46.8,4.8,7.0,12.6,3.0,1.4,3.6,FULL,2026-05-11T06:34:08.295034+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:13.358411+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,1.0,0.0,0.45,0.22,0.45,0.04,0.29,0.0,90.0,-17989.26,0.0,0.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.699640+00:00,24.0,35.0,-35.0,46.0,39.0,74.0,1.0,15.0,59.0,-5.0,46.0,68.0,73.0,0.0,24.0,2026-05-11T06:34:18.351537+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:23.180652+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,england_league_one,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,15.42,3.58,12.67,17.47,0.0,0.3913043478260869,-14.11,15.52,0.0,0.0,0.0,0.0,2.23,84.17,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,0.8,89.37,7,WATCHLIST
2026-04-28,2026-04-28T17:45:00+01:00,1777394700,Eerste Divisie,89,2025,1544249,FT,Roda,414,Waalwijk,417,Netherlands,FT,Match Finished,90.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074410+00:00,8.0,8.0,1.125,1.75,1.25,2.625,1.125,1.875,0.625,1.0,0.125,0.125,0.5,0.875,0.75,1.0,0.375,1.0,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.2,18.2,4.2,7.2,53.8,3.6,7.8,8.2,1.2,2.0,3.0,5.0,5.0,1.0,1.0,14.8,13.6,7.4,3.6,49.8,3.0,6.4,10.6,1.2,2.4,3.0,FULL,2026-05-11T06:34:08.268584+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:12.885915+00:00,1.0,1.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.16,-0.26,-0.26,-0.21,0.0,90.0,-18109.26,0.0,0.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.692948+00:00,8.0,55.0,5.0,38.0,59.0,54.0,0.0,6.0,58.0,12.0,38.0,71.0,59.0,0.0,20.0,2026-05-11T06:34:18.349916+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:22.713417+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,netherlands_eerste_divisie,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,-0.0,20.0,4.0,15.9,20.0,0.631578947368421,0.736842105263158,-8.69,9.56,0.0,0.0,0.0,0.0,2.19,82.75,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,0.8,87.95,8,WATCHLIST
2026-04-28,2026-04-28T23:00:00+01:00,1777413600,CONMEBOL Sudamericana,11,2026,1535183,FT,San Lorenzo,460,Santos,128,World,FT,Match Finished,90.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074682+00:00,8.0,8.0,2.0,1.125,1.375,1.125,0.25,1.25,0.75,0.75,0.75,0.375,0.25,0.5,0.5,0.625,0.125,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,12.8,4.2,3.0,53.2,3.6,3.8,13.4,2.2,1.667,1.6,5.0,5.0,1.0,1.0,13.2,9.8,3.4,2.8,52.2,5.4,4.2,12.4,3.2,1.4,5.2,FULL,2026-05-11T06:34:08.241063+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:12.382767+00:00,1.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,90.0,-17794.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.685624+00:00,1.0,6.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,-1.0,4.0,3.0,4.0,1.0,32.0,2026-05-11T06:34:18.348314+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:22.275281+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,conmebol_sudamericana,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,14.78,4.0,14.42,9.58,1.0,0.9032258064516128,8.34,9.17,0.0,0.0,0.0,0.0,3.43,78.38,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0.0,0.0,0.0,0,,1,1.4,True,0.0,3.0,0.8,83.58,9,WATCHLIST
2026-04-28,2026-04-28T23:00:00+01:00,1777413600,CONMEBOL Libertadores,13,2026,1535275,FT,Lanus,446,LDU de Quito,1158,World,FT,Match Finished,90.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:34:05.074692+00:00,8.0,8.0,1.375,1.625,0.5,0.75,0.5,0.5,0.5,0.5,0.625,0.625,0.125,0.0,0.125,0.375,0.125,0.0,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.6,11.6,3.6,2.8,62.0,6.0,3.2,13.0,2.4,1.0,4.0,5.0,5.0,1.0,1.0,9.8,13.2,3.4,4.4,48.8,4.8,7.0,12.8,1.8,1.2,1.0,FULL,2026-05-11T06:34:08.100598+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:34:10.266164+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,90.0,-17794.26,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:34:15.649247+00:00,2.0,6.0,-3.0,4.0,2.0,5.0,1.0,3.0,6.0,0.0,4.0,3.0,3.0,1.0,32.0,2026-05-11T06:34:18.337375+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:34:20.118596+00:00,NO_ODDS_FOUND,,,,,,TIER_1,1,conmebol_libertadores,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,9.7,3.85,7.69,7.78,0.967741935483871,0.935483870967742,-1.77,1.95,0.0,0.0,0.0,0.0,3.43,73.08,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0.0,0.0,0.0,0,,1,1.2,True,0.0,3.0,1.5,78.78,10,WATCHLIST
