shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,execution_fragility_reason,execution_market_fit_status,execution_market_fit_note,execution_preferred_safer_market,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,recent_stats_quality_flag,recent_stats_process_score,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_injuries_count,away_injuries_count,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,final_execution_bucket,final_execution_reason,final_execution_bucket_order
1,TOP_CORE,TOP_CORE,2026-04-28,World,CONMEBOL Libertadores,1535276,Libertad Asuncion,Independiente del Valle,96.93,91.03,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_DNB,NO_ODDS,TOP_CORE,MODEL_ONLY,TOP_CORE,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,12,2,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.7961,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8191,,,,0.6661,,,,0.92,2.21,3.13,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17794.26,0.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,0.22,0.22,0.45,0.45,0.335,0.0,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.92 | visitante 2.21,"Market edge primario: prob 0.819 | sin cuota útil, fallback modelo",Bias lado: -2.40 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | stats=FULL hSOT=3.80 aSOT=7.60 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.34,4.0,2.0,1.0,1.0,0.875,2.375,0.75,1.625,1.625,0.875,0.5,0.75,0.125,0.375,0.375,0.5,0.625,0.75,0.375,0.5,10.8,22.8,13.6,10.0,3.8,7.6,6.4,3.6,49.6,62.8,3.8,9.0,4.8,3.2,11.2,8.2,2.5,1.4,0.6,1.75,3.0,4.8,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
2,TOP_CORE,TOP_CORE,2026-04-28,World,UEFA Champions League,1540841,Paris Saint Germain,Bayern München,95.61,89.91,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,OVER_2_5,NO_ODDS,TOP_CORE,MODEL_ONLY,TOP_CORE,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9761,,,,0.9189,,,,2.52,3.13,5.65,FULL,4.0,5.0,5.0,1.0,1.0,2.0,16.0,FULL,FULL,2.0,15.6,MEDIUM,HIGH,FULL,17.6,0.0,0.1,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17974.26,0.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,HOME_TRAILING,home_trailing_flip_away_to_over,Proj goles: local 2.52 | visitante 3.13,"Market edge primario: prob 0.976 | sin cuota útil, fallback modelo",Bias lado: -0.94 | tie=HOME_TRAILING | hint=OVER_OR_BTTS_CHECK | stats=FULL hSOT=6.80 aSOT=8.60 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=2.00 aRisk=15.60 | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,11.0,2.0,0.0,1.0,2.625,3.0,2.625,3.5,0.375,1.375,1.0,1.0,0.75,0.375,0.25,0.625,1.0,1.0,0.75,0.875,16.8,20.0,9.4,10.8,6.8,8.6,3.0,4.8,67.8,67.0,5.8,6.8,5.0,3.2,8.4,10.2,1.8,1.5,2.0,2.8,4.6,6.0,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
3,CORE_SHORTLIST,CORE,2026-04-28,World,CONMEBOL Sudamericana,1535172,Botafogo,Independiente Petrolero,94.08,88.88,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,HOME_DNB,NO_ODDS,CORE_SHORTLIST,MODEL_ONLY,CORE_SHORTLIST,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9105,,,,0.7071,,,,2.83,1.21,4.04,PARTIAL,3.6,5.0,4.0,1.0,0.8,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17794.26,0.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,0.22,0.22,0.45,0.2,0.273,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.83 | visitante 1.21,"Market edge primario: prob 0.910 | sin cuota útil, fallback modelo",Bias lado: +2.79 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=PARTIAL hSOT=6.20 aSOT=4.25 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.27,1.0,4.0,1.0,1.0,2.25,0.875,2.25,0.875,1.375,2.0,1.0,0.5,0.125,0.0,0.875,0.5,0.875,0.75,0.75,0.75,15.8,10.75,10.8,17.75,6.2,4.25,3.8,7.5,53.8,43.75,4.8,2.0,5.2,4.25,10.6,13.0,2.25,2.5,1.0,2.5,2.8,1.75,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
4,CORE_SHORTLIST,CORE,2026-04-28,England,League One,1387616,Stockport County,Port Vale,93.66,88.46,HIGH,2-1 / 3-1 / 2-2,HOME_DNB,OVER_1_5,NO_ODDS,CORE_SHORTLIST,MODEL_ONLY,CORE_SHORTLIST,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8742,,,,0.8624,,,,3.03,0.47,3.5,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17989.26,0.0,1.0,11.0,11.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 3.03 | visitante 0.47,"Market edge primario: prob 0.874 | sin cuota útil, fallback modelo",Bias lado: +4.48 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=6.80 aSOT=3.00 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,3.0,22.0,1.0,1.0,1.75,1.0,2.125,0.625,1.25,1.875,0.875,0.375,0.375,0.375,0.5,0.25,0.875,0.5,0.75,0.5,17.2,10.6,12.4,14.8,6.8,3.0,6.0,3.2,61.0,47.4,4.8,6.8,5.2,6.6,9.4,10.0,2.2,0.8,2.4,1.2,4.6,4.2,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
5,CORE_SHORTLIST,CORE,2026-04-28,England,Championship,1387028,Southampton,Ipswich,93.64,87.74,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,NO_ODDS,CORE_SHORTLIST,MODEL_ONLY,CORE_SHORTLIST,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9067,,,,0.7583,,,,2.26,1.72,3.98,FULL,4.0,5.0,5.0,1.0,1.0,8.0,6.0,FULL,FULL,7.6,6.0,HIGH,HIGH,FULL,13.6,0.0,0.1,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17989.26,0.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,0.22,0.22,0.45,0.45,0.335,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.26 | visitante 1.72,"Market edge primario: prob 0.907 | sin cuota útil, fallback modelo",Bias lado: +0.90 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=5.00 aSOT=4.00 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=7.60 aRisk=6.00 | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.34,4.0,2.0,1.0,1.0,2.375,1.875,2.375,1.375,1.0,0.875,1.0,0.75,0.25,0.375,0.75,0.5,1.0,0.875,0.875,0.375,12.2,12.6,12.2,11.8,5.0,4.0,4.2,5.0,52.4,52.8,7.0,4.8,4.6,4.4,9.2,11.8,1.4,2.8,2.0,1.6,4.0,3.6,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
6,WATCHLIST,WATCH,2026-04-28,England,League One,1387577,Peterborough,Mansfield Town,91.21,86.01,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_DNB,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8824,,,,0.6343,,,,1.25,2.44,3.69,FULL,3.81,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17989.26,0.0,1.0,11.0,11.0,1.0,1.0,0.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,0.02,0.45,0.45,0.45,0.343,0.0,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.25 | visitante 2.44,"Market edge primario: prob 0.882 | sin cuota útil, fallback modelo",Bias lado: -2.05 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | stats=FULL hSOT=3.80 aSOT=3.60 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.34,18.0,10.0,0.5,0.0,0.75,1.875,1.5,1.75,1.75,0.75,1.0,0.75,0.125,0.5,0.875,0.5,1.0,0.625,0.625,0.5,12.4,11.2,18.8,14.0,3.8,3.6,7.2,3.6,56.0,42.2,5.8,4.6,7.8,5.6,9.2,12.0,1.4,2.2,1.0,1.333,4.6,3.4,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
7,WATCHLIST,WATCH,2026-04-28,England,League One,1387576,Northampton,Barnsley,89.37,84.17,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_DNB,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,12,2,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.7961,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8064,,,,0.6532,,,,0.91,2.13,3.04,FULL,3.58,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17989.26,0.0,0.0,11.0,11.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,1.0,0.0,0.45,0.22,0.45,0.04,0.29,0.0,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.91 | visitante 2.13,"Market edge primario: prob 0.806 | sin cuota útil, fallback modelo",Bias lado: -2.16 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | stats=FULL hSOT=3.00 aSOT=4.20 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=GOALKEEPER_UNKNOWN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.29,24.0,15.0,1.0,0.0,0.0,0.75,0.75,0.875,2.75,1.375,0.75,0.5,0.0,0.125,0.75,0.5,0.875,0.625,0.75,0.5,9.4,12.0,19.4,11.8,3.0,4.2,6.4,3.4,46.0,46.8,4.0,4.8,6.4,7.0,12.6,12.6,2.0,3.0,1.6,1.4,4.4,3.6,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
8,WATCHLIST,WATCH,2026-04-28,Netherlands,Eerste Divisie,1544249,Roda,Waalwijk,87.95,82.75,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,OVER_2_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9289,,,,0.8041,,,,1.75,2.57,4.32,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-18109.26,0.0,0.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.16,-0.26,-0.26,-0.21,0.0,-0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.75 | visitante 2.57,"Market edge primario: prob 0.929 | sin cuota útil, fallback modelo",Bias lado: -1.57 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | stats=FULL hSOT=4.20 aSOT=7.40 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=GOALKEEPER_UNKNOWN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=-0.21,8.0,6.0,0.0,0.0,1.125,1.75,1.25,2.625,1.125,1.875,0.625,1.0,0.125,0.125,0.5,0.875,0.75,1.0,0.375,1.0,11.2,14.8,18.2,13.6,4.2,7.4,7.2,3.6,53.8,49.8,3.6,3.0,7.8,6.4,8.2,10.6,1.2,1.2,2.0,2.4,3.0,3.0,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
9,WATCHLIST,WATCH,2026-04-28,World,CONMEBOL Sudamericana,1535183,San Lorenzo,Santos,83.58,78.38,HIGH,2-1 / 1-0 / 2-0,OVER_1_5,UNDER_3_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,10,0,0,10,GENERIC_BROAD,primary_model_prob >= 0.6901,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7583,,,,0.7057,,,,1.85,0.89,2.74,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17794.26,0.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.85 | visitante 0.89,"Market edge primario: prob 0.758 | sin cuota útil, fallback modelo",Bias lado: +1.58 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=4.20 aSOT=3.40 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,1.0,4.0,1.0,1.0,2.0,1.125,1.375,1.125,0.25,1.25,0.75,0.75,0.75,0.375,0.25,0.5,0.5,0.625,0.125,0.375,11.8,13.2,12.8,9.8,4.2,3.4,3.0,2.8,53.2,52.2,3.6,5.4,3.8,4.2,13.4,12.4,2.2,3.2,1.667,1.4,1.6,5.2,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
10,WATCHLIST,WATCH,2026-04-28,World,CONMEBOL Libertadores,1535275,Lanus,LDU de Quito,78.78,73.08,MEDIUM_HIGH,1-1 / 1-0 / 0-1,UNDER_3_5,OVER_1_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,17,7,0,10,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963,Non-actionable recommendation matched promoted rule context; no upgrade applied.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9239,,,,0.4686,,,,0.73,0.85,1.58,FULL,3.85,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-17794.26,0.0,1.0,11.0,11.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,,,Proj goles: local 0.73 | visitante 0.85,"Market edge primario: prob 0.924 | sin cuota útil, fallback modelo",Bias lado: -0.24 | tie=nan | hint=OVER_OR_BTTS_CHECK | stats=FULL hSOT=3.60 aSOT=3.40 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,2.0,3.0,1.0,1.0,1.375,1.625,0.5,0.75,0.5,0.5,0.5,0.5,0.625,0.625,0.125,0.0,0.125,0.375,0.125,0.0,14.6,9.8,11.6,13.2,3.6,3.4,2.8,4.4,62.0,48.8,6.0,4.8,3.2,7.0,13.0,12.8,2.4,1.8,1.0,1.2,4.0,1.0,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
