date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,results_last_refresh_at,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note,priority_rank,market_bonus,selection_eligible,sample_penalty,priority_bonus,tier_bonus,selection_score,shortlist_rank,shortlist_bucket
2026-05-01,2026-05-01T14:00:00+01:00,1777640400,Serie B,136,2025,1419955,FT,Spezia,515,Venezia,517,Italy,FT,Match Finished,90.0,2.0,2.0,2.0,2.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:35:54.933236+00:00,8.0,8.0,0.875,2.25,1.875,1.875,2.375,0.5,0.75,0.875,0.0,0.5,0.75,0.5,1.0,0.875,0.75,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.4,12.8,4.4,5.2,47.8,3.6,3.4,18.6,2.6,1.4,3.6,5.0,5.0,1.0,1.0,14.4,10.8,5.4,3.0,68.4,4.0,5.6,15.4,1.4,1.4,4.0,FULL,2026-05-11T06:35:59.598760+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:36:10.395243+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-14016.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.446851+00:00,19.0,35.0,-16.0,38.0,43.0,59.0,1.0,1.0,82.0,46.0,38.0,77.0,31.0,1.0,20.0,2026-05-11T06:36:18.020759+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:28.594832+00:00,NO_ODDS_FOUND,TIER_1,1,italy_serie_b,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,19.73,4.0,13.99,20.0,0.0526315789473684,1.0,-31.26,16.0,0.0,0.0,0.0,0.0,4.88,98.61,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,104.51,1,TOP_CORE
2026-05-01,2026-05-01T14:00:00+01:00,1777640400,Serie B,136,2025,1419952,FT,Juve Stabia,863,Frosinone,512,Italy,FT,Match Finished,90.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:35:54.933220+00:00,8.0,8.0,1.25,2.5,1.375,2.25,1.375,0.75,0.875,1.0,0.125,0.375,0.75,0.625,1.0,1.0,0.375,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,12.8,5.0,4.6,47.0,3.6,3.2,11.4,1.6,1.8,3.2,5.0,5.0,1.0,1.0,17.0,14.8,6.2,5.0,51.8,5.8,5.0,14.0,3.4,1.8,5.4,FULL,2026-05-11T06:35:59.275165+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:36:07.613591+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-14016.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.410139+00:00,7.0,51.0,-1.0,38.0,44.0,45.0,0.0,2.0,81.0,42.0,38.0,76.0,34.0,1.0,20.0,2026-05-11T06:36:18.009647+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:25.882847+00:00,NO_ODDS_FOUND,TIER_1,1,italy_serie_b,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,19.71,4.0,14.56,20.0,0.6842105263157895,0.9473684210526316,-21.55,16.0,0.0,0.0,0.0,0.0,4.21,97.92,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,103.82,2,TOP_CORE
2026-05-01,2026-05-01T17:30:00+01:00,1777653000,Segunda División,141,2025,1392175,FT,Deportivo La Coruna,544,Leganes,537,Spain,FT,Match Finished,90.0,2.0,1.0,2.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:35:54.934452+00:00,8.0,8.0,2.0,1.0,1.625,1.375,0.875,1.875,1.0,0.625,0.125,0.125,0.875,0.625,1.0,0.875,0.375,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.2,12.0,4.2,3.0,51.0,5.2,7.0,15.2,2.0,2.4,3.8,5.0,5.0,1.0,1.0,12.8,15.2,4.4,6.6,48.2,5.6,5.8,12.8,2.0,1.4,3.8,FULL,2026-05-11T06:35:58.962296+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:36:04.278826+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-13806.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.259365+00:00,2.0,71.0,19.0,39.0,60.0,41.0,1.0,16.0,42.0,-6.0,39.0,42.0,48.0,0.0,22.0,2026-05-11T06:36:17.995105+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:22.354374+00:00,NO_ODDS_FOUND,TIER_1,1,spain_segunda,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,18.38,4.0,19.95,13.57,0.9523809523809524,0.2857142857142857,22.07,16.0,0.0,0.0,0.0,0.0,3.58,95.96,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,101.86,3,CORE_SHORTLIST
2026-05-01,2026-05-01T14:00:00+01:00,1777640400,Serie B,136,2025,1419957,FT,Modena,899,Reggiana,880,Italy,FT,Match Finished,90.0,2.0,1.0,2.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:35:54.933252+00:00,8.0,8.0,1.125,0.625,1.25,0.625,1.25,1.75,0.75,0.5,0.25,0.25,0.625,0.375,0.75,0.75,0.625,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,15.6,13.6,4.8,6.0,53.8,5.4,5.4,15.6,1.8,0.8,3.6,5.0,5.0,1.0,1.0,9.2,17.6,2.8,6.2,37.6,2.6,6.2,15.8,2.4,2.6,1.8,FULL,2026-05-11T06:35:59.422672+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:36:08.471484+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,0.45,0.22,0.2,0.45,0.33,0.0,90.0,-14016.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.423846+00:00,6.0,55.0,13.0,38.0,49.0,36.0,0.0,18.0,37.0,-20.0,38.0,36.0,56.0,1.0,20.0,2026-05-11T06:36:18.013353+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:26.754814+00:00,NO_ODDS_FOUND,TIER_1,1,italy_serie_b,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,14.89,3.79,17.05,10.87,0.736842105263158,0.1052631578947368,16.02,16.0,0.0,0.0,0.0,0.0,2.95,91.84,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,97.74,4,CORE_SHORTLIST
2026-05-01,2026-05-01T20:00:00+01:00,1777662000,Premier League,39,2025,1379315,FT,Leeds,63,Burnley,44,England,FT,Match Finished,90.0,3.0,1.0,3.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2026-05-11T06:35:54.934973+00:00,8.0,8.0,1.625,0.25,1.5,0.75,0.75,2.125,0.625,0.5,0.5,0.125,0.375,0.5,0.625,0.75,0.625,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.6,14.8,5.2,5.2,46.4,3.8,7.8,11.6,2.2,0.2,3.6,5.0,5.0,1.0,1.0,9.4,19.0,3.2,5.6,43.2,5.2,6.2,9.8,1.75,1.4,3.6,FULL,2026-05-11T06:35:58.930896+00:00,2.0,3.0,1.0,1.0,2.0,3.0,FULL,FULL,MEDIUM,HIGH,FULL,2026-05-11T06:36:03.827647+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,90.0,-13656.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.253276+00:00,16.0,43.0,-5.0,35.0,47.0,52.0,0.5,19.0,21.0,-36.0,36.0,37.0,73.0,1.0,20.0,2026-05-11T06:36:17.992071+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:21.882224+00:00,NO_ODDS_FOUND,TIER_1,1,england_premier_league,30,8,16,9,16,4,28.0,OK_FULL_STATS,2.0,3.0,0.0,0.0,0.0,5.0,0.1,0.0,15.09,4.0,18.63,9.25,0.2105263157894736,0.0526315789473684,18.6,16.0,0.0,0.0,0.0,0.1,2.82,91.81,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,97.71,5,CORE_SHORTLIST
2026-05-01,2026-05-01T14:00:00+01:00,1777640400,Serie B,136,2025,1419956,FT,Mantova,1693,Monza,1579,Italy,FT,Match Finished,90.0,3.0,2.0,3.0,2.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:35:54.933246+00:00,8.0,8.0,2.0,1.875,1.75,1.625,0.75,0.75,0.875,0.875,0.625,0.625,0.25,0.375,0.875,0.75,0.5,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.2,9.2,4.2,2.2,59.4,4.0,2.6,16.0,2.6,1.6,3.8,5.0,5.0,1.0,1.0,14.2,12.4,4.0,3.6,47.4,6.4,3.0,11.6,1.6,1.2,4.8,FULL,2026-05-11T06:35:59.394983+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:36:08.051815+00:00,1.0,1.0,11.0,11.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-14016.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.417735+00:00,9.0,46.0,-12.0,38.0,45.0,57.0,0.0,3.0,76.0,29.0,38.0,61.0,32.0,1.0,20.0,2026-05-11T06:36:18.011503+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:26.341177+00:00,NO_ODDS_FOUND,TIER_1,1,italy_serie_b,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,17.55,4.0,14.5,13.8,0.5789473684210527,0.8947368421052632,-10.6,11.66,0.0,0.0,0.0,0.0,3.96,91.17,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,97.07,6,WATCHLIST
2026-05-01,2026-05-01T15:15:00+01:00,1777644900,Segunda División,141,2025,1396986,FT,FC Andorra,8157,Albacete,722,Spain,FT,Match Finished,90.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:35:54.933777+00:00,8.0,8.0,2.125,1.375,2.5,1.875,0.875,1.5,0.875,0.875,0.5,0.125,0.375,0.75,0.625,1.0,0.5,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.6,10.6,6.2,4.4,64.0,6.0,4.8,13.0,1.8,2.0,3.0,5.0,5.0,1.0,1.0,12.4,13.2,3.6,4.4,49.0,5.0,6.0,12.2,3.0,1.25,3.6,FULL,2026-05-11T06:35:58.995307+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:36:04.723161+00:00,1.0,1.0,11.0,11.0,1.0,1.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,0.45,0.4,0.45,0.45,0.438,0.0,90.0,-13941.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.266902+00:00,10.0,58.0,12.0,39.0,61.0,49.0,0.0,12.0,53.0,-1.0,39.0,51.0,52.0,0.0,22.0,2026-05-11T06:36:17.997224+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:22.866279+00:00,NO_ODDS_FOUND,TIER_1,1,spain_segunda,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,20.0,15.6,0.5714285714285714,0.4761904761904761,10.03,11.03,0.0,0.0,0.0,0.0,1.68,90.71,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,96.61,7,WATCHLIST
2026-05-01,2026-05-01T14:00:00+01:00,1777640400,Serie B,136,2025,1419959,FT,Empoli,511,Avellino,528,Italy,FT,Match Finished,90.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2026-05-11T06:35:54.933262+00:00,8.0,8.0,0.75,2.0,1.25,1.5,1.625,1.0,0.625,0.875,0.0,0.375,0.625,0.5,0.75,0.875,0.375,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.8,13.8,3.0,4.6,50.4,5.2,6.8,17.4,1.6,2.0,4.4,5.0,5.0,1.0,1.0,10.2,9.6,3.4,2.6,48.4,3.8,5.0,16.2,2.6,2.2,2.0,FULL,2026-05-11T06:35:59.242291+00:00,2.0,0.0,1.0,1.0,2.0,0.0,FULL,FULL,MEDIUM,LOW,FULL,2026-05-11T06:36:07.165458+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-14016.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.299803+00:00,15.0,41.0,-7.0,38.0,47.0,54.0,0.5,8.0,49.0,-12.0,38.0,43.0,55.0,0.0,20.0,2026-05-11T06:36:18.007743+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:25.340544+00:00,NO_ODDS_FOUND,TIER_1,1,italy_serie_b,30,8,16,9,16,4,28.0,OK_FULL_STATS,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.49,3.56,12.19,17.47,0.2631578947368421,0.631578947368421,-11.93,13.12,0.0,0.0,0.0,0.0,2.23,89.84,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,1.5,95.74,8,WATCHLIST
2026-05-01,2026-05-01T17:00:00+01:00,1777651200,Eliteserien,103,2026,1494644,FT,Viking,759,Rosenborg,331,Norway,FT,Match Finished,90.0,3.0,0.0,3.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2026-05-11T06:35:54.934361+00:00,8.0,8.0,2.25,1.0,2.5,1.125,1.0,1.625,1.0,0.5,0.375,0.125,0.625,0.5,0.875,0.875,0.875,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,4.0,0.8,1.0,17.0,10.5,6.75,2.5,48.0,5.0,6.75,11.5,2.25,1.5,4.75,5.0,4.0,0.8,1.0,10.5,14.75,3.75,5.5,48.5,6.25,7.25,10.25,2.0,1.0,2.75,PARTIAL,2026-05-11T06:35:59.841204+00:00,10.0,6.0,1.0,1.0,10.0,5.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-11T06:36:12.789846+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-13836.27,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.478791+00:00,2.0,21.0,15.0,8.0,21.0,6.0,1.0,13.0,8.0,-6.0,8.0,5.0,11.0,0.5,16.0,2026-05-11T06:36:18.030406+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:30.970984+00:00,NO_ODDS_FOUND,TIER_2,2,norway_eliteserien,23,8,16,9,16,4,28.0,OK_FULL_STATS,10.0,5.2,0.0,0.0,0.0,15.2,0.1,0.0,18.05,3.2,19.97,10.62,0.9333333333333332,0.1999999999999999,24.82,16.0,0.0,0.0,0.0,0.1,4.21,89.16,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,0.8,94.36,9,WATCHLIST
2026-05-01,2026-05-01T18:00:00+01:00,1777654800,Süper Lig,203,2025,1394714,FT,Gaziantep FK,3573,Beşiktaş,549,Turkey,FT,Match Finished,90.0,0.0,2.0,0.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2026-05-11T06:35:54.934516+00:00,8.0,8.0,1.0,1.625,1.375,1.5,2.0,0.875,0.75,0.625,0.125,0.375,0.625,0.375,1.0,0.625,0.75,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.4,16.2,4.8,6.0,47.2,4.0,6.2,13.8,2.0,1.2,3.6,5.0,5.0,1.0,1.0,16.6,11.8,5.8,4.0,56.8,6.4,4.8,11.8,2.0,1.4,5.8,FULL,2026-05-11T06:35:59.921957+00:00,5.0,3.0,1.0,1.0,4.6,2.6,FULL,FULL,HIGH,MEDIUM,FULL,2026-05-11T06:36:14.197923+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,0.4,0.22,0.45,0.45,0.38,0.0,90.0,-13776.28,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:36:16.607972+00:00,12.0,37.0,-14.0,33.0,42.0,56.0,0.0,4.0,59.0,19.0,33.0,57.0,38.0,0.5,18.0,2026-05-11T06:36:18.036025+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:36:32.475419+00:00,NO_ODDS_FOUND,TIER_2,2,turkey_super_lig,23,8,16,9,16,4,28.0,OK_FULL_STATS,4.6,2.6,0.0,0.0,0.0,7.2,0.1,0.0,17.25,4.0,14.0,18.77,0.3529411764705882,0.8235294117647058,-16.62,16.0,0.0,0.0,0.0,0.1,2.68,86.83,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0,0,0,0,,1,1.4,True,0.0,3.0,0.8,92.03,10,WATCHLIST
