date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,results_last_refresh_at,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,first_leg_fixture_id,first_leg_home_goals,first_leg_away_goals,tie_home_agg_before,tie_away_agg_before,league_tier,league_tier_rank,league_filter_reason,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note
2026-05-05,2026-05-05T23:00:00+01:00,1778018400,CONMEBOL Libertadores,13,2026,1535293,FT,Rosario Central,437,Libertad Asuncion,1179,World,FT,Match Finished,90.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.406371+00:00,8.0,8.0,2.125,0.875,1.5,1.5,0.875,1.75,0.875,0.625,0.375,0.125,0.625,0.5,0.75,0.75,0.625,0.625,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.8,11.4,5.2,2.4,58.0,4.4,4.2,11.0,2.4,1.8,3.4,5.0,5.0,1.0,1.0,10.8,12.4,5.2,5.6,45.4,3.0,5.8,10.0,3.333,2.0,2.2,FULL,2026-05-11T06:41:28.035343+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:30.464196+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,90.0,-7721.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.897192+00:00,1.0,10.0,5.0,4.0,5.0,0.0,1.0,4.0,0.0,-5.0,4.0,3.0,8.0,1.0,32.0,2026-05-11T06:41:39.464848+00:00,1.35,5.4,12.0,2.33,1.62,1.27,4.0,1.85,2.06,3.25,1.42,,,,,,13.0,178.0,5413.0,0.7407,0.1852,0.0833,0.4292,0.6173,0.7874,0.25,0.5405,0.4854,0.3077,0.7042,,,,,,2026-05-11T06:41:41.584567+00:00,OK,1535261.0,0.0,1.0,1.0,0.0,TIER_1,1,conmebol_libertadores,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,19.63,4.0,18.84,13.48,1.0,0.9032258064516128,9.5,9.95,0.0,0.0,0.0,0.0,3.43,91.51,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,OK,AWAY_TRAILING,1.0,-1.0,0.0,1.0,0.0,1,away_trailing_keep_away_live
2026-05-05,2026-05-05T11:00:00+01:00,1777975200,K League 1,292,2026,1506967,FT,FC Seoul,2766,FC Anyang,2748,South-Korea,FT,Match Finished,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.405621+00:00,8.0,8.0,2.0,1.125,2.25,1.25,0.875,1.125,0.875,0.75,0.375,0.125,0.5,0.625,0.75,0.625,0.625,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,10.0,13.0,4.0,3.0,55.5,4.0,6.5,12.0,0.0,1.5,1.5,5.0,1.0,0.2,1.0,13.0,15.0,12.0,5.0,55.0,2.0,4.0,14.0,3.0,0.0,0.0,SPARSE,2026-05-11T06:41:28.301333+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:34.476183+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-8441.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.961076+00:00,1.0,26.0,13.0,13.0,24.0,11.0,1.0,9.0,16.0,2.0,13.0,15.0,13.0,0.5,12.0,2026-05-11T06:41:39.488215+00:00,1.79,3.84,5.18,1.95,1.81,1.34,3.41,2.05,1.85,3.9,1.3,,,,,,13.0,113.0,2953.0,0.5587,0.2604,0.1931,0.5128,0.5525,0.7463,0.2933,0.4878,0.5405,0.2564,0.7692,,,,,,2026-05-11T06:41:46.028168+00:00,OK,,,,,,TIER_2,2,korea_k1,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,15.12,1.2,16.55,11.03,1.0,0.2727272727272727,18.62,16.0,0.0,0.0,0.0,0.0,4.44,86.56,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-05-05,2026-05-05T17:45:00+01:00,1777999500,Eerste Divisie,89,2025,1544645,FT,Waalwijk,417,Willem II,195,Netherlands,FT,Match Finished,90.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.406115+00:00,8.0,8.0,1.625,2.625,2.25,2.125,1.5,0.625,1.0,0.875,0.125,0.5,0.875,0.375,1.0,0.75,0.625,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,11.5,19.5,5.0,6.0,41.0,1.0,9.0,10.5,1.5,2.5,2.0,5.0,5.0,1.0,1.0,14.2,11.4,6.0,2.2,43.2,6.0,6.0,8.8,1.4,1.75,4.0,SPARSE,2026-05-11T06:41:28.208637+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:33.078026+00:00,1.0,1.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.16,-0.26,-0.26,-0.21,0.0,90.0,-8036.63,0.0,0.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.940123+00:00,6.0,58.0,12.0,38.0,71.0,59.0,0.0,3.0,68.0,17.0,38.0,59.0,42.0,1.0,20.0,2026-05-11T06:41:39.480115+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-05-11T06:41:44.464264+00:00,NO_ODDS_FOUND,,,,,,TIER_2,2,netherlands_eerste_divisie,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,-0.0,19.62,2.8,14.78,20.0,0.736842105263158,0.8947368421052632,-10.32,11.35,0.0,0.0,0.0,0.0,4.21,86.18,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-05-05,2026-05-05T23:00:00+01:00,1778018400,CONMEBOL Libertadores,13,2026,1535295,FT,Sporting Cristal,2546,Palmeiras,121,World,FT,Match Finished,90.0,0.0,2.0,0.0,2.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.406375+00:00,8.0,8.0,1.25,2.0,1.375,1.25,1.625,0.5,0.875,0.875,0.25,0.5,0.625,0.5,0.75,0.625,0.625,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.2,14.6,4.2,3.6,58.6,5.2,4.4,11.0,1.8,2.0,3.4,5.0,5.0,1.0,1.0,17.0,11.0,4.0,2.8,56.0,8.4,3.8,12.2,1.6,2.0,5.4,FULL,2026-05-11T06:41:28.062908+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:30.891908+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,0.22,0.22,0.45,0.45,0.335,0.0,90.0,-7721.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.904823+00:00,3.0,6.0,0.0,4.0,4.0,4.0,1.0,1.0,8.0,3.0,4.0,6.0,3.0,1.0,32.0,2026-05-11T06:41:39.469181+00:00,7.0,4.3,1.57,2.05,1.81,1.33,3.75,2.0,1.94,3.47,1.36,,,,,,13.0,180.0,5669.0,0.1429,0.2326,0.6369,0.4878,0.5525,0.7519,0.2667,0.5,0.5155,0.2882,0.7353,,,,,,2026-05-11T06:41:42.060963+00:00,OK,1535263.0,2.0,1.0,1.0,2.0,TIER_1,1,conmebol_libertadores,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,19.27,4.0,12.78,16.4,0.935483870967742,1.0,-4.8,8.93,0.0,0.0,0.0,0.0,3.46,89.16,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,OK,HOME_TRAILING,-1.0,1.0,1.0,0.0,0.0,1,home_trailing_flip_away_to_over
2026-05-05,2026-05-05T06:00:00+01:00,1777957200,K League 1,292,2026,1506963,FT,Jeonbuk Motors,2762,Gwangju FC,2759,South-Korea,FT,Match Finished,90.0,4.0,0.0,4.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.405537+00:00,8.0,8.0,2.0,0.125,1.5,0.5,0.875,3.25,0.875,0.375,0.375,0.0,0.5,0.375,0.75,0.75,0.375,0.625,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,3.0,0.6,1.0,10.667,11.0,4.333,4.667,54.0,3.667,3.333,14.667,2.667,1.333,3.0,5.0,2.0,0.4,1.0,14.0,10.5,4.0,7.0,47.5,3.5,1.5,9.5,3.5,1.0,5.0,SPARSE,2026-05-11T06:41:28.381228+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:36.007292+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,90.0,-8741.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.982753+00:00,3.0,22.0,8.0,13.0,20.0,12.0,0.5,12.0,7.0,-25.0,13.0,7.0,32.0,1.0,12.0,2026-05-11T06:41:39.494596+00:00,1.32,5.46,13.0,2.5,1.62,1.28,4.0,1.9,2.01,3.25,1.38,,,,,,13.0,111.0,3028.0,0.7576,0.1832,0.0769,0.4,0.6173,0.7812,0.25,0.5263,0.4975,0.3077,0.7246,,,,,,2026-05-11T06:41:47.473095+00:00,OK,,,,,,TIER_2,2,korea_k1,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,14.08,1.99,20.0,6.66,0.8181818181818181,0.0,31.15,16.0,0.0,0.0,0.0,0.0,3.71,84.79,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-05-05,2026-05-05T20:00:00+01:00,1778007600,UEFA Champions League,2,2025,1540843,FT,Arsenal,42,Atletico Madrid,530,World,FT,Match Finished,90.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2026-05-11T06:41:24.406340+00:00,8.0,8.0,1.375,1.375,1.125,1.75,0.875,1.5,0.875,1.0,0.5,0.25,0.5,0.75,0.625,1.0,0.5,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.8,12.8,3.8,2.8,47.6,4.8,4.6,10.0,0.8,2.8,4.4,5.0,5.0,1.0,1.0,13.8,12.8,4.0,3.6,48.8,4.8,5.0,11.2,2.0,1.8,3.0,FULL,2026-05-11T06:41:28.090284+00:00,4.0,4.0,1.0,1.0,4.0,4.0,FULL,FULL,HIGH,HIGH,FULL,2026-05-11T06:41:31.309030+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,90.0,-7901.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.911147+00:00,1.0,24.0,19.0,8.0,23.0,4.0,1.0,14.0,13.0,2.0,8.0,17.0,15.0,0.0,36.0,2026-05-11T06:41:39.471559+00:00,1.67,4.38,5.6,2.01,1.91,1.31,3.9,1.97,1.97,3.3,1.36,,,,,,13.0,188.0,6109.0,0.5988,0.2283,0.1786,0.4975,0.5236,0.7634,0.2564,0.5076,0.5076,0.303,0.7353,,,,,,2026-05-11T06:41:42.529071+00:00,OK,1540842.0,1.0,1.0,1.0,1.0,TIER_1,1,uefa_top_competition,30,8,16,9,16,4,28.0,OK_FULL_STATS,4.0,4.0,0.0,0.0,0.0,8.0,0.1,0.0,19.07,4.0,15.24,15.62,1.0,0.6285714285714286,4.44,4.88,0.0,0.0,0.0,0.1,2.31,83.16,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,OK,LEVEL_TIE,0.0,0.0,0.0,0.0,1.0,1,level_tie_soft_opening
2026-05-05,2026-05-05T23:00:00+01:00,1778018400,CONMEBOL Sudamericana,11,2026,1535196,FT,Juventud,2353,Atletico-MG,1062,World,FT,Match Finished,90.0,2.0,2.0,2.0,2.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.406367+00:00,8.0,8.0,1.5,1.125,1.625,1.0,1.125,1.625,1.0,0.5,0.25,0.0,0.75,0.5,0.875,0.75,0.625,0.625,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,11.0,8.0,4.5,2.5,40.5,2.5,3.0,14.0,2.5,2.5,3.0,5.0,5.0,1.0,1.0,15.2,10.4,5.8,3.6,53.2,5.8,2.6,11.4,2.8,2.0,4.6,SPARSE,2026-05-11T06:41:28.175183+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:32.600384+00:00,1.0,1.0,11.0,11.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,90.0,-7721.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.931871+00:00,3.0,5.0,3.0,4.0,8.0,5.0,1.0,4.0,4.0,-1.0,4.0,5.0,6.0,1.0,32.0,2026-05-11T06:41:39.477978+00:00,3.4,3.35,2.42,1.98,1.9,1.45,3.15,2.38,1.72,4.5,1.24,,,,,,13.0,171.0,5734.0,0.2941,0.2985,0.4132,0.5051,0.5263,0.6897,0.3175,0.4202,0.5814,0.2222,0.8065,,,,,,2026-05-11T06:41:43.991815+00:00,OK,1535155.0,2.0,1.0,1.0,2.0,TIER_2,2,conmebol_sudamericana,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,18.55,2.8,16.67,12.67,0.935483870967742,0.9032258064516128,9.0,10.25,0.0,0.0,0.0,0.0,3.38,82.68,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,OK,HOME_TRAILING,-1.0,1.0,1.0,0.0,0.0,1,home_trailing_boost
2026-05-05,2026-05-05T23:00:00+01:00,1778018400,CONMEBOL Sudamericana,11,2026,1535195,FT,Independiente Petrolero,15702,Caracas FC,2808,World,FT,Match Finished,90.0,2.0,3.0,2.0,3.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.406362+00:00,8.0,8.0,1.0,1.625,1.125,1.125,2.0,1.0,0.625,1.0,0.0,0.25,0.625,0.75,0.875,0.75,0.875,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,9.6,22.6,4.0,9.0,42.4,3.0,7.2,10.6,2.8,2.4,1.4,5.0,2.0,0.4,1.0,10.0,17.0,2.5,3.0,39.5,2.0,5.5,11.5,3.5,1.0,3.0,SPARSE,2026-05-11T06:41:28.145066+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:32.163086+00:00,1.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,90.0,-7721.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.924918+00:00,4.0,0.0,-7.0,4.0,3.0,10.0,1.0,2.0,8.0,2.0,4.0,6.0,4.0,1.0,32.0,2026-05-11T06:41:39.475881+00:00,2.23,3.35,3.5,1.8,2.12,1.34,3.6,2.07,1.88,3.6,1.33,,,,,,13.0,158.0,5029.0,0.4484,0.2985,0.2857,0.5556,0.4717,0.7463,0.2778,0.4831,0.5319,0.2778,0.7519,,,,,,2026-05-11T06:41:43.467826+00:00,OK,1535157.0,1.0,0.0,0.0,1.0,TIER_2,2,conmebol_sudamericana,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,17.67,2.12,12.37,16.13,0.9032258064516128,0.967741935483871,-6.18,10.45,0.0,0.0,0.0,0.0,3.41,82.03,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,OK,HOME_TRAILING,-1.0,1.0,1.0,0.0,0.0,1,home_trailing_flip_away_to_over
2026-05-05,2026-05-05T08:30:00+01:00,1777966200,K League 1,292,2026,1506966,FT,Gimcheon Sangmu FC,2768,Ulsan Hyundai FC,2767,South-Korea,FT,Match Finished,90.0,1.0,2.0,1.0,2.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.405575+00:00,8.0,8.0,1.25,1.0,1.125,1.25,1.25,1.75,0.75,0.625,0.25,0.125,0.625,0.625,0.875,0.75,0.375,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,10.5,8.5,3.5,4.0,61.0,5.5,1.0,18.5,4.0,2.0,3.5,5.0,1.0,0.2,1.0,20.0,15.0,4.0,9.0,58.0,6.0,4.0,20.0,3.0,2.0,11.0,SPARSE,2026-05-11T06:41:28.352461+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:35.511658+00:00,1.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,5.0,0.0,1.0,0.45,0.22,0.04,0.45,0.29,0.0,90.0,-8591.63,0.0,0.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.975627+00:00,10.0,13.0,-5.0,13.0,13.0,18.0,0.5,2.0,23.0,3.0,13.0,20.0,17.0,1.0,12.0,2026-05-11T06:41:39.492496+00:00,3.3,3.6,2.25,1.73,2.1,1.3,3.79,2.0,2.0,3.4,1.37,,,,,,13.0,113.0,3037.0,0.303,0.2778,0.4444,0.578,0.4762,0.7692,0.2639,0.5,0.5,0.2941,0.7299,,,,,,2026-05-11T06:41:46.995677+00:00,OK,,,,,,TIER_2,2,korea_k1,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,13.63,1.2,14.05,11.18,0.1818181818181817,0.9090909090909092,-7.53,8.28,0.0,0.0,0.0,0.0,4.15,77.06,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-05-05,2026-05-05T06:00:00+01:00,1777957200,K League 1,292,2026,1506962,FT,Bucheon FC 1995,2745,Jeju United FC,2761,South-Korea,FT,Match Finished,90.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T06:41:24.405532+00:00,8.0,8.0,1.125,1.375,0.5,0.75,1.0,0.875,0.375,0.625,0.5,0.375,0.125,0.25,0.375,0.625,0.25,0.0,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,3.0,0.6,1.0,10.667,13.667,4.0,3.667,45.667,1.333,5.0,10.667,1.667,0.5,2.333,5.0,3.0,0.6,1.0,7.0,8.667,3.333,2.667,35.333,1.667,4.0,16.333,1.333,2.0,2.333,PARTIAL,2026-05-11T06:41:28.233280+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T06:41:33.531506+00:00,1.0,1.0,11.0,11.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,90.0,-8741.63,0.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,2026-05-11T06:41:37.947526+00:00,11.0,13.0,-6.0,13.0,9.0,15.0,1.0,7.0,18.0,-1.0,13.0,11.0,12.0,0.0,12.0,2026-05-11T06:41:39.483711+00:00,2.8,3.1,3.05,2.2,1.7,1.62,2.6,2.9,1.5,5.99,1.15,,,,,,13.0,113.0,2886.0,0.3571,0.3226,0.3279,0.4545,0.5882,0.6173,0.3846,0.3448,0.6667,0.1669,0.8696,,,,,,2026-05-11T06:41:44.949248+00:00,OK,,,,,,TIER_2,2,korea_k1,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,9.14,1.93,7.0,9.0,0.0909090909090909,0.4545454545454546,-5.92,6.51,0.0,0.0,0.0,0.0,2.47,69.12,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
