country,league,league_tier,league_filter_reason,matches
Netherlands,Derde Divisie - Relegation Round,REJECT,country_league_not_allowlisted,8
USA,USL League Two,REJECT,country_league_not_allowlisted,7
Bulgaria,Third League - Southeast,REJECT,country_league_not_allowlisted,4
Iceland,1. Deild,REJECT,country_league_not_allowlisted,4
Mali,Première Division,REJECT,country_league_not_allowlisted,4
USA,USL W League,REJECT,country_league_not_allowlisted,4
Argentina,Primera B Metropolitana,REJECT,country_league_not_allowlisted,3
Brazil,Catarinense - 2,REJECT,country_league_not_allowlisted,3
Brazil,Carioca A2,REJECT,country_league_not_allowlisted,2
Brazil,Copa Gaúcha,REJECT,country_league_not_allowlisted,2
Brazil,Copa Sul-Sudeste,REJECT,country_league_not_allowlisted,2
Tajikistan,Vysshaya Liga,REJECT,country_league_not_allowlisted,2
Andorra,1a Divisió,REJECT,country_league_not_allowlisted,1
Brazil,Brasileiro U20 A,REJECT,hard_reject_noise_league,1
Brazil,Brasileiro U20 B,REJECT,hard_reject_noise_league,1
Brazil,Catarinense U20,REJECT,hard_reject_noise_league,1
Colombia,Copa Colombia,REJECT,country_league_not_allowlisted,1
Italy,Serie C - Promotion - Play-offs,REJECT,country_league_not_allowlisted,1
Latvia,Cup,REJECT,country_league_not_allowlisted,1
Spain,Primera División Femenina,REJECT,hard_reject_noise_league,1
Ukraine,Druha Liga,REJECT,country_league_not_allowlisted,1
World,Friendlies,REJECT,hard_reject_noise_league,1
World,CONMEBOL Libertadores,TIER_1,conmebol_libertadores,2
World,UEFA Europa Conference League,TIER_1,uefa_top_competition,1
World,CONMEBOL Sudamericana,TIER_2,conmebol_sudamericana,6
Ecuador,Copa Ecuador,TIER_4,ecuador_cup_context_only,1
