target_date,title,severity,alert_hash
2026-05-27,[vSIGMA ALERT] 2026-05-27 - ATTENTION,ATTENTION,f4138de186de5396f4b3dd8362d0c37e5de7d32e81d5af2ab12e5e595b91fd90
2026-05-28,[vSIGMA ALERT] 2026-05-28 - ATTENTION,ATTENTION,d632236c4032504fd7c20fbcc684f81af951bea2a317591e4e310ec0eec327f9
2026-05-29,[vSIGMA ALERT] 2026-05-29 - ATTENTION,ATTENTION,690a47f488ab05df5b8409775903f6853d1d1edb7395bf2ff114d1fc0cc083ad
2026-05-30,[vSIGMA ALERT] 2026-05-30 - BROKEN,BROKEN,f75d30d6fd2909c07ea051635363d03f563b8eab1894f9c34f0b9afa24460466
2026-05-31,[vSIGMA ALERT] 2026-05-31 - ATTENTION,ATTENTION,713aa1a0ac570e05f277423c0081cfb18ec95f369ea542f6fc3eeb8a7db3addc
2026-06-01,[vSIGMA ALERT] 2026-06-01 - ATTENTION,ATTENTION,84156afb379072923c0fd64bd1bf601ce76964241e73d2d02c9821ce65769ac7
2026-06-02,[vSIGMA ALERT] 2026-06-02 - ATTENTION,ATTENTION,8484c28de3a0a3e83ad11c46890f20ed518b7c68b4d6f8d0ebd1340c50431f59
2026-06-03,[vSIGMA ALERT] 2026-06-03 - ATTENTION,ATTENTION,2badbbb8a962c26e63cef57e5ab9c0b47d00fb855d3701fa018cfd473005d3ac
2026-06-04,[vSIGMA ALERT] 2026-06-04 - ATTENTION,ATTENTION,925837d95f7fa1d23e26ca47a179594b1acf2d20809c64f0a5445a581fb6c29b
2026-06-05,[vSIGMA ALERT] 2026-06-05 - ATTENTION,ATTENTION,05a1ae8bb8902021b0db9fa35d77b79844197c4e556a7e71b9396f17593c7723
2026-06-06,[vSIGMA ALERT] 2026-06-06 - BROKEN,BROKEN,ba62c531ab142d98e6009262dc8159bc038d5355fe26917ae245e3dfb5334609
2026-06-07,[vSIGMA ALERT] 2026-06-07 - BROKEN,BROKEN,666f987e886617de8e2e06fa09918d39c09d38e4f64f28548b23d9cd2fe656b5
2026-06-08,[vSIGMA ALERT] 2026-06-08 - ATTENTION,ATTENTION,1fe31e8a614afd8724d004941a5aa7700d2559ae6a573cb6ef865db432f47f75
2026-06-09,[vSIGMA ALERT] 2026-06-09 - ATTENTION,ATTENTION,3dbd33be21cbfee8412936aa889b3e04b96207d0372fde9ab38f32a27603e9a7
2026-06-10,[vSIGMA ALERT] 2026-06-10 - ATTENTION,ATTENTION,aa59af30bed32afb4d2c244369ee2a88c2cb35f54f9027895011355d48f90348
2026-06-11,[vSIGMA ALERT] 2026-06-11 - BROKEN,BROKEN,f8255519cf71b3f251f1efb4c1460dbe6abce018df152e070a591ec21f16e1b0
2026-06-12,[vSIGMA ALERT] 2026-06-12 - BROKEN,BROKEN,5f3c8659a0a1180b082861bbc96a39b43163eef3613be7d590ceb3465d505261
2026-06-13,[vSIGMA ALERT] 2026-06-13 - BROKEN,BROKEN,0b8862a81ee5c36a097afba448bcfec72b264179872fa91cf83e71bfb81e9ab1
2026-06-14,[vSIGMA ALERT] 2026-06-14 - BROKEN,BROKEN,f1aa61975541f9b95394ed3979d3aa0b6e3f4250b2ef752713c893611e98f126
2026-06-15,[vSIGMA ALERT] 2026-06-15 - ATTENTION,ATTENTION,7b9bdebe4dcf369517cba41f38d3d2e740fd1a1ea32a534879745421745923d2
2026-06-16,[vSIGMA ALERT] 2026-06-16 - ATTENTION,ATTENTION,ebebaabc973b3f2dfb32ae006291aea8ab712aba15d908d05b15bdf86d4b9f00
2026-06-17,[vSIGMA ALERT] 2026-06-17 - ATTENTION,ATTENTION,5b13f6336cf8d1144afc0dd08499faece749b3d8a2692dc2157ae90f1730414b
2026-06-18,[vSIGMA ALERT] 2026-06-18 - ATTENTION,ATTENTION,2f454e989f4b8b932c3ef6e1137fc249f2fddd03d7dd6764305c31df7d8ea569
2026-06-19,[vSIGMA ALERT] 2026-06-19 - ATTENTION,ATTENTION,ad3de856693fb65e47e6f0a20c16882eb848c3ea8a96c75fd3b215d50ceff035
2026-06-20,[vSIGMA ALERT] 2026-06-20 - ATTENTION,ATTENTION,939b6d56d084f969ba6fb83b07ecd0ff5e843b33782fc4dd512e743dd251d3ea
2026-06-21,[vSIGMA ALERT] 2026-06-21 - ATTENTION,ATTENTION,3d4258a2dbd2899df1c745ede1a52076b18a345f9a64e8708ec6d68e758a6e08
2026-06-24,[vSIGMA ALERT] 2026-06-24 - BROKEN,BROKEN,560ed344d647539e1d687d5c1023e43f62f53f5448ac1676628645a2421b6b11
