target_date,generated_at,metric,quality_gate,quality_priority,rows_evaluated,shadow_verdict,avg_error_delta,improved_rows,worsened_rows,manual_review_required,promotion_allowed,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T19:16:47+01:00,total_corners,PROMOTION_BLOCKED,MEDIUM,6,SHADOW_BETTER_ON_SAMPLE,0.333,4,2,NO,NO,data/processed/today/2026-05-29/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,total_fouls,PROMOTION_BLOCKED,MEDIUM,6,SHADOW_BETTER_ON_SAMPLE,0.433,3,3,NO,NO,data/processed/today/2026-05-29/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,total_goals,NO_CLEAR_AB_EDGE,LOW,7,SHADOW_BETTER_ON_SAMPLE,0.006,4,3,NO,NO,data/processed/today/2026-05-29/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,total_sot,NO_CLEAR_AB_EDGE,LOW,6,NO_CLEAR_AB_EDGE,0.000,3,3,NO,NO,data/processed/today/2026-05-29/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-05-31,2026-05-31T12:58:28+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-05-31/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-06/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-07/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-09,2026-06-09T17:22:25+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-09/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-10,2026-06-10T18:46:41+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-10/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-14,2026-06-14T11:02:04+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-14/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-15,2026-06-15T13:47:57+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-15/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-16,2026-06-16T12:40:53+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-16/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-17,2026-06-17T12:21:15+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-17/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-18,2026-06-18T11:53:22+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-18/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-19,2026-06-19T12:03:03+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-19/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-20,2026-06-20T10:48:29+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-20/vsigma_shadow_ab_quality_gate.csv,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,ALL,NO_DATA,NONE,0,NO_AB_SUMMARY,0.000,0,0,NO,NO,data/processed/today/2026-06-21/vsigma_shadow_ab_quality_gate.csv,NO,NO
