date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,league_team_count,standings_context_updated_at,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,is_two_leg_tie,tie_context_status,first_leg_fixture_id,first_leg_home_goals,first_leg_away_goals,tie_home_agg_before,tie_away_agg_before,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_state_label,league_tier,league_tier_rank,league_filter_reason
2026-05-21,2026-05-21T19:30:00+01:00,1779388200,Bundesliga,78,2025,1545417,NS,VfL Wolfsburg,161,SC Paderborn 07,185,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,2026-05-20T23:50:05.334089+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.75,1.5,1.125,2.0,1.75,2.125,0.75,1.0,0.125,0.125,0.75,0.875,0.75,1.0,0.5,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.6,16.2,4.8,5.4,41.8,5.6,7.2,11.4,1.6,1.0,2.4,5.0,5.0,1.0,1.0,14.0,9.6,5.4,5.4,45.8,4.8,3.4,13.2,1.6,1.2,3.4,FULL,2026-05-20T23:50:16.566287+00:00,18.0,6.0,1.0,1.0,17.6,4.8,FULL,FULL,HIGH,HIGH,FULL,2026-05-20T23:51:24.135977+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,1118.52,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:28.836113+00:00,16.0,29.0,-24.0,34.0,45.0,69.0,1.0,18.0,2026-05-20T23:51:41.099753+00:00,,,,,,,,1.78,4.1,4.7,1.8,2.05,1.27,4.1,1.82,2.06,3.1,1.42,,,,,,14.0,169.0,5253.0,0.5618,0.2439,0.2128,0.5556,0.4878,0.7874,0.2439,0.5495,0.4854,0.3226,0.7042,,,,,,2026-05-20T23:51:42.383841+00:00,OK,,,,,,,,,,,,,,TIER_1,1,germany_bundesliga
2026-05-21,2026-05-21T03:00:00+01:00,1779328800,CONMEBOL Libertadores,13,2026,1535301,NS,Cusco,10013,Independiente Medellin,1128,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.333567+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.0,1.625,0.875,1.25,2.125,1.25,0.625,1.0,0.125,0.5,0.5,0.5,0.75,0.625,0.5,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.2,14.6,4.0,4.4,53.4,3.0,4.6,7.6,1.6,2.5,2.2,5.0,5.0,1.0,1.0,15.0,9.0,4.6,1.8,59.2,5.8,3.2,10.4,3.2,0.4,3.6,FULL,2026-05-20T23:50:20.191430+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:24.139217+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,128.51,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:29.233126+00:00,4.0,1.0,-4.0,4.0,2.0,6.0,1.0,32.0,2026-05-20T23:51:41.107309+00:00,3.0,4.0,-2.0,3.0,3.0,5.0,1.0,2.43,3.5,3.15,1.75,2.2,1.29,3.85,1.95,2.1,3.34,1.42,,,,,,14.0,172.0,5459.0,0.4115,0.2857,0.3175,0.5714,0.4545,0.7752,0.2597,0.5128,0.4762,0.2994,0.7042,,,,,,2026-05-20T23:51:42.762837+00:00,OK,1.0,OK,1535273.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,HOME_TRAILING,TIER_1,1,conmebol_libertadores
2026-05-21,2026-05-21T23:00:00+01:00,1779400800,CONMEBOL Libertadores,13,2026,1535306,NS,Deportivo La Guaira,2813,Independ. Rivadavia,473,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.334162+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,2.25,1.0,2.125,1.125,0.75,0.75,0.875,0.375,0.25,0.625,0.75,0.625,0.75,0.25,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,8.5,12.5,4.0,4.5,47.5,4.0,5.5,15.5,2.0,0.5,1.5,5.0,5.0,1.0,1.0,15.8,11.0,4.8,2.8,52.2,6.2,3.4,10.6,1.8,1.2,3.0,SPARSE,2026-05-20T23:50:23.759216+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:24.141439+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,1328.51,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:29.633556+00:00,4.0,3.0,-3.0,4.0,3.0,6.0,1.0,32.0,2026-05-20T23:51:41.110283+00:00,1.0,10.0,5.0,4.0,8.0,3.0,1.0,5.1,3.6,1.9,2.2,1.67,1.5,2.88,2.47,1.58,4.75,1.21,,,,,,14.0,157.0,5113.0,0.1961,0.2778,0.5263,0.4545,0.5988,0.6667,0.3472,0.4049,0.6329,0.2105,0.8264,,,,,,2026-05-20T23:51:43.042826+00:00,OK,1.0,OK,1535274.0,4.0,1.0,1.0,4.0,-3.0,3.0,1.0,0.0,0.0,HOME_TRAILING,TIER_1,1,conmebol_libertadores
2026-05-21,2026-05-21T01:30:00+01:00,1779323400,CONMEBOL Libertadores,13,2026,1535302,NS,Flamengo,127,Estudiantes L.P.,450,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.333520+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.5,2.0,2.375,1.25,0.75,0.625,1.0,0.875,0.375,0.375,0.625,0.625,1.0,0.75,0.625,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.8,14.0,7.0,5.0,51.8,4.0,4.8,12.0,2.0,0.6,3.4,5.0,5.0,1.0,1.0,12.0,13.4,4.2,5.2,47.2,4.6,4.0,11.4,2.8,1.4,2.8,FULL,2026-05-20T23:50:26.984120+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:24.143671+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,38.5,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:30.050570+00:00,1.0,7.0,5.0,3.0,7.0,2.0,1.0,32.0,2026-05-20T23:51:41.112875+00:00,2.0,6.0,1.0,4.0,5.0,4.0,1.0,1.53,4.2,7.5,2.4,1.57,1.42,3.0,2.28,1.7,4.35,1.25,,,,,,14.0,180.0,5902.0,0.6536,0.2381,0.1333,0.4167,0.6369,0.7042,0.3333,0.4386,0.5882,0.2299,0.8,,,,,,2026-05-20T23:51:43.555284+00:00,OK,1.0,OK,1535272.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,LEVEL_TIE,TIER_1,1,conmebol_libertadores
2026-05-21,2026-05-21T03:00:00+01:00,1779328800,CONMEBOL Libertadores,13,2026,1535305,NS,Junior,1135,Sporting Cristal,2546,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.333572+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,1.25,1.375,1.25,1.125,1.625,0.625,0.75,0.25,0.25,0.375,0.5,0.75,0.75,0.25,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,4.0,0.8,1.0,11.5,13.25,3.5,3.75,52.5,5.75,5.75,13.5,2.25,2.75,3.75,5.0,5.0,1.0,1.0,15.8,15.8,4.6,3.6,55.4,5.4,5.0,12.4,2.2,2.75,4.0,PARTIAL,2026-05-20T23:50:30.165432+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:24.145874+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,128.49,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:30.437173+00:00,4.0,1.0,-4.0,4.0,1.0,5.0,1.0,32.0,2026-05-20T23:51:41.115470+00:00,3.0,6.0,0.0,4.0,4.0,4.0,1.0,1.82,3.8,4.9,1.91,1.91,1.34,3.7,2.05,1.91,3.6,1.32,,,,,,14.0,180.0,5797.0,0.5495,0.2632,0.2041,0.5236,0.5236,0.7463,0.2703,0.4878,0.5236,0.2778,0.7576,,,,,,2026-05-20T23:51:43.820159+00:00,OK,1.0,OK,1535279.0,2.0,0.0,0.0,2.0,-2.0,2.0,1.0,0.0,0.0,HOME_TRAILING,TIER_1,1,conmebol_libertadores
2026-05-21,2026-05-21T01:30:00+01:00,1779323400,CONMEBOL Libertadores,13,2026,1535307,NS,LDU de Quito,1158,Lanus,446,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.333525+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,1.375,0.75,0.375,0.375,0.75,0.5,0.375,0.625,0.625,0.0,0.0,0.25,0.125,0.0,0.125,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,10.8,13.4,3.6,4.4,45.0,3.8,7.8,12.4,3.0,0.6,2.2,5.0,5.0,1.0,1.0,10.6,13.0,4.2,4.0,57.4,4.2,4.4,12.2,2.4,1.5,2.0,FULL,2026-05-20T23:50:33.768403+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:24.148115+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,38.49,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:30.866582+00:00,2.0,6.0,0.0,4.0,3.0,3.0,1.0,32.0,2026-05-20T23:51:41.118007+00:00,3.0,6.0,-3.0,4.0,2.0,5.0,1.0,1.96,3.5,4.36,2.05,1.76,1.44,3.0,2.3,1.67,4.33,1.24,,,,,,14.0,171.0,5674.0,0.5102,0.2857,0.2294,0.4878,0.5682,0.6944,0.3333,0.4348,0.5988,0.2309,0.8065,,,,,,2026-05-20T23:51:44.370454+00:00,OK,1.0,OK,1535275.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,HOME_TRAILING,TIER_1,1,conmebol_libertadores
2026-05-21,2026-05-21T01:30:00+01:00,1779323400,CONMEBOL Libertadores,13,2026,1535309,NS,Palmeiras,121,Cerro Porteno,1176,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.333530+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.25,1.5,1.375,1.0,0.375,0.625,0.875,0.75,0.625,0.5,0.375,0.375,0.625,0.5,0.25,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,19.4,12.8,4.6,3.4,57.4,8.0,4.8,12.8,1.4,2.2,6.6,5.0,5.0,1.0,1.0,9.4,12.6,2.8,3.8,43.4,3.6,5.2,11.2,2.2,1.2,3.2,FULL,2026-05-20T23:50:36.562784+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:24.150286+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,38.48,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:31.240051+00:00,1.0,8.0,3.0,4.0,6.0,3.0,1.0,32.0,2026-05-20T23:51:41.120873+00:00,2.0,7.0,1.0,4.0,3.0,2.0,1.0,1.34,5.26,13.0,3.0,1.49,1.38,3.55,2.12,1.96,3.8,1.3,,,,,,14.0,171.0,5940.0,0.7463,0.1901,0.0769,0.3333,0.6711,0.7246,0.2817,0.4717,0.5102,0.2632,0.7692,,,,,,2026-05-20T23:51:44.764877+00:00,OK,1.0,OK,1535268.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,LEVEL_TIE,TIER_1,1,conmebol_libertadores
2026-05-21,2026-05-21T17:45:00+01:00,1779381900,Eredivisie,88,2025,1545411,NS,Ajax,194,Groningen,202,Netherlands,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2026-05-20T23:50:05.333898+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.5,1.375,1.75,1.75,1.0,1.375,0.875,0.875,0.5,0.375,0.5,0.625,0.875,0.875,0.625,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,10.8,14.6,4.0,4.0,49.8,3.2,5.8,10.4,2.2,1.0,3.0,5.0,5.0,1.0,1.0,17.0,13.6,5.6,5.0,51.8,6.0,5.6,10.2,1.667,1.4,5.0,FULL,2026-05-20T23:50:40.563889+00:00,12.0,6.0,1.0,1.0,10.0,5.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-20T23:51:24.520827+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,1013.47,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:31.640242+00:00,5.0,56.0,21.0,34.0,62.0,41.0,0.5,18.0,2026-05-20T23:51:41.123471+00:00,9.0,48.0,4.0,34.0,49.0,45.0,0.0,1.9,4.05,4.1,1.57,2.5,1.2,5.4,1.62,2.48,2.5,1.61,,,,,,14.0,158.0,5407.0,0.5263,0.2469,0.2439,0.6369,0.4,0.8333,0.1852,0.6173,0.4032,0.4,0.6211,,,,,,2026-05-20T23:51:45.154037+00:00,OK,,,,,,,,,,,,,,TIER_1,1,netherlands_eredivisie
2026-05-21,2026-05-21T20:00:00+01:00,1779390000,Eredivisie,88,2025,1545412,NS,Utrecht,207,Heerenveen,210,Netherlands,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,2026-05-20T23:50:05.334107+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.0,2.375,1.875,2.125,1.25,1.125,0.75,0.875,0.625,0.25,0.25,0.625,0.875,1.0,0.375,0.875,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,18.0,14.0,8.0,6.2,45.6,4.4,5.0,9.6,1.6,1.0,4.2,5.0,5.0,1.0,1.0,13.6,16.6,5.8,7.2,52.8,5.6,4.0,11.4,1.5,1.2,4.2,FULL,2026-05-20T23:50:44.571284+00:00,16.0,6.0,1.0,1.0,14.4,5.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-20T23:51:24.919259+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,1148.47,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:32.040632+00:00,6.0,53.0,13.0,34.0,55.0,42.0,0.0,18.0,2026-05-20T23:51:41.126014+00:00,8.0,51.0,4.0,34.0,57.0,53.0,0.0,2.0,3.76,3.9,1.62,2.38,1.25,4.75,1.75,2.3,2.82,1.5,,,,,,14.0,159.0,5319.0,0.5,0.266,0.2564,0.6173,0.4202,0.8,0.2105,0.5714,0.4348,0.3546,0.6667,,,,,,2026-05-20T23:51:45.571609+00:00,OK,,,,,,,,,,,,,,TIER_1,1,netherlands_eredivisie
2026-05-21,2026-05-21T19:30:00+01:00,1779388200,Jupiler Pro League,144,2025,1537004,NS,Anderlecht,554,St. Truiden,735,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-20T23:50:05.334081+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.75,1.25,1.375,1.25,2.25,1.125,0.75,0.625,0.0,0.25,0.75,0.5,0.875,0.625,0.75,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,15.0,16.0,4.6,6.0,56.0,5.2,3.4,12.8,2.6,2.0,5.0,5.0,5.0,1.0,1.0,15.4,11.8,6.0,2.4,58.4,7.0,4.6,11.6,1.2,0.6,4.4,FULL,2026-05-20T23:50:48.167758+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-20T23:51:25.334225+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,1118.46,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-20T23:51:32.442418+00:00,6.0,44.0,4.0,30.0,43.0,39.0,0.0,16.0,2026-05-20T23:51:41.128637+00:00,3.0,57.0,12.0,30.0,47.0,35.0,0.5,2.24,3.76,3.14,1.53,2.6,1.21,5.2,1.65,2.48,2.55,1.58,,,,,,14.0,147.0,5058.0,0.4464,0.266,0.3185,0.6536,0.3846,0.8264,0.1923,0.6061,0.4032,0.3922,0.6329,,,,,,2026-05-20T23:51:45.952750+00:00,OK,,,,,,,,,,,,,,TIER_1,1,belgium_jupiler
