date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country,home_recent_matches,home_goals_for_pg,home_goals_against_pg,home_btts_rate,home_over15_rate,home_over25_rate,away_recent_matches,away_goals_for_pg,away_goals_against_pg,away_btts_rate,away_over15_rate,away_over25_rate,data_enrichment_level,data_enrichment_updated_at,home_stats_season_used,away_stats_season_used,data_enrichment_source,league_tier,league_tier_rank,league_filter_reason,league_quality_score,data_available_count,data_quality_score,data_warning,home_attack_score_raw,away_attack_score_raw,attack_environment_score,home_goal_path_score,away_goal_path_score,home_strength_raw,away_strength_raw,team_edge_raw,team_edge_abs,team_edge_score,home_motivation_num,away_motivation_num,home_absences_num,away_absences_num,motivation_total_score,absences_noise_penalty,vsigma_pre_score,vsigma_priority,market_family_hint
2026-05-05,UEFA Champions League,2,2025,1540843,NS,Arsenal,42,Atletico Madrid,530,,,,,,,,,2.0,2.25,0.875,1.0,0.25,0.25,5.0,5.0,0.0,0.0,World,8.0,2.5,1.0,0.625,0.875,0.875,8.0,2.5,1.125,0.75,0.875,0.875,HISTORICAL_PRIOR_LAST_8,2026-05-07T17:49:21.399745+00:00,2024.0,2024.0,API_FREEPLAN_HISTORICAL_PRIOR|API_FREEPLAN_HISTORICAL_PRIOR,TIER_1,1,uefa_top_competition,30,6,6.43,OK,7.0,8.0,7.5,0.0,0.0,9.12,10.25,-1.12,1.12,1.12,0.0,0.0,0.0,0.0,0.0,0.0,45.05,C_SOLO_SI_BLOQUE_SECO,UNDER_OR_TEAM_TOTAL_UNDER_CHECK
2026-05-05,CONMEBOL Libertadores,13,2026,1535295,NS,Sporting Cristal,2546,Palmeiras,121,,,,,,,,,1.5,1.875,1.0,0.875,0.0,0.25,5.0,5.0,0.0,0.0,World,2.0,2.0,3.5,1.0,1.0,1.0,8.0,2.125,1.125,0.75,0.875,0.75,HISTORICAL_PRIOR_LAST_8,2026-05-07T17:49:17.286265+00:00,2024.0,2024.0,API_FREEPLAN_HISTORICAL_PRIOR|API_FREEPLAN_HISTORICAL_PRIOR,TIER_1,1,conmebol_libertadores,30,6,6.43,OK,8.0,7.0,7.5,0.0,0.0,8.0,8.88,-0.88,0.88,0.88,0.0,0.0,0.0,0.0,0.0,0.0,44.81,D_CONTEXT_ONLY,UNDER_OR_TEAM_TOTAL_UNDER_CHECK
2026-05-05,Eredivisie,88,2025,1543677,NS,Waalwijk,417,Willem II,195,,,,,,,,,1.0,0.75,0.625,1.0,0.125,0.0,5.0,5.0,0.0,0.0,Netherlands,8.0,1.5,2.5,0.625,0.875,0.75,8.0,1.375,1.875,1.0,1.0,0.75,HISTORICAL_PRIOR_LAST_8,2026-05-07T17:49:19.955483+00:00,2024.0,2024.0,API_FREEPLAN_HISTORICAL_PRIOR|API_FREEPLAN_HISTORICAL_PRIOR,TIER_1,1,netherlands_eredivisie,30,6,6.43,OK,5.0,8.0,6.5,0.0,0.0,5.5,6.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.93,D_CONTEXT_ONLY,UNDER_OR_TEAM_TOTAL_UNDER_CHECK
2026-05-05,CONMEBOL Libertadores,13,2026,1535293,NS,Rosario Central,437,Libertad Asuncion,1179,,,,,,,,,1.167,1.167,0.833,0.667,0.167,0.167,5.0,5.0,0.0,0.0,World,6.0,1.333,1.167,0.667,0.667,0.5,6.0,1.167,1.333,0.5,1.0,0.5,HISTORICAL_PRIOR_LAST_8,2026-05-07T17:49:15.806163+00:00,2024.0,2024.0,API_FREEPLAN_HISTORICAL_PRIOR|API_FREEPLAN_HISTORICAL_PRIOR,TIER_1,1,conmebol_libertadores,30,6,6.43,OK,6.664,5.336,6.0,0.0,0.0,7.0,6.17,0.83,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,43.26,D_CONTEXT_ONLY,UNDER_OR_TEAM_TOTAL_UNDER_CHECK
2026-05-05,CONMEBOL Sudamericana,11,2026,1535195,NS,Independiente Petrolero,15702,Caracas FC,2808,,,,,,,,,,0.0,,0.0,,0.0,5.0,5.0,0.0,0.0,World,0.0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,PARTIAL_HISTORICAL_PRIOR_LAST_8,2026-05-07T17:49:29.467978+00:00,,2023.0,NO_AVAILABLE_FREEPLAN_DATA|API_FREEPLAN_HISTORICAL_PRIOR,TIER_2,2,conmebol_sudamericana,23,3,3.21,NO_NUMERIC_DATA_OR_ALL_ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED
2026-05-05,CONMEBOL Sudamericana,11,2026,1535194,NS,Deportivo Riestra,476,Gremio,130,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,NO_AVAILABLE_FREEPLAN_DATA,2026-05-07T17:49:25.820598+00:00,,,NO_AVAILABLE_FREEPLAN_DATA|NO_AVAILABLE_FREEPLAN_DATA,TIER_2,2,conmebol_sudamericana,23,0,0.0,NO_NUMERIC_DATA_OR_ALL_ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED
2026-05-05,CONMEBOL Sudamericana,11,2026,1535196,NS,Juventud,2353,Atletico-MG,1062,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,NO_AVAILABLE_FREEPLAN_DATA,2026-05-07T17:49:33.825785+00:00,,,NO_AVAILABLE_FREEPLAN_DATA|NO_AVAILABLE_FREEPLAN_DATA,TIER_2,2,conmebol_sudamericana,23,0,0.0,NO_NUMERIC_DATA_OR_ALL_ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED
2026-05-05,Premiership,179,2025,1543679,NS,Dunfermline,1388,Arbroath,4249,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Scotland,0.0,,,,,,0.0,,,,,,NO_AVAILABLE_FREEPLAN_DATA,2026-05-07T17:49:38.133330+00:00,,,NO_AVAILABLE_FREEPLAN_DATA|NO_AVAILABLE_FREEPLAN_DATA,TIER_2,2,scotland_premiership,23,0,0.0,NO_NUMERIC_DATA_OR_ALL_ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED
2026-05-05,A Lyga,362,2026,1522797,NS,FK Trakai,638,Banga,3858,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Lithuania,,,,,,,,,,,,,,,,,,TIER_3,3,lithuania_a_lyga_noisy,13,0,0.0,NO_NUMERIC_DATA_OR_ALL_ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED
2026-05-05,A Lyga,362,2026,1522798,NS,Kauno Žalgiris,3872,Džiugas Telšiai,3860,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Lithuania,,,,,,,,,,,,,,,,,,TIER_3,3,lithuania_a_lyga_noisy,13,0,0.0,NO_NUMERIC_DATA_OR_ALL_ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED
