fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1391169,Alaves,Barcelona,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,98.78,A_ANALIZAR_PRIMERO,
1379275,Manchester City,Crystal Palace,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,97.68,A_ANALIZAR_PRIMERO,
1391178,Villarreal,Sevilla,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,94.25,A_ANALIZAR_PRIMERO,
1387952,Lens,Paris Saint Germain,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,91.54,A_ANALIZAR_PRIMERO,
1540030,Motherwell,Celtic,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,90.27,A_ANALIZAR_PRIMERO,
1540029,Heart Of Midlothian,Falkirk,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,88.44,A_ANALIZAR_PRIMERO,
1540031,Rangers,Hibernian,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,86.86,A_ANALIZAR_PRIMERO,
1504768,Vissel Kobe,Kyoto Sanga,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,84.93,A_ANALIZAR_PRIMERO,
1391172,Espanyol,Athletic Club,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,83.97,A_ANALIZAR_PRIMERO,
1544690,Almere City FC,Willem II,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,83.01,A_ANALIZAR_PRIMERO,
1506978,Bucheon FC 1995,Jeonbuk Motors,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,82.37,A_ANALIZAR_PRIMERO,
1387951,Stade Brestois 29,Strasbourg,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,81.98,A_ANALIZAR_PRIMERO,
1544063,Stockport County,Stevenage,,OVER_OR_BTTS_CHECK,76.04,A_ANALIZAR_PRIMERO,
1504761,Machida Zelvia,Tokyo Verdy,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,75.8,A_ANALIZAR_PRIMERO,
1391173,Getafe,Mallorca,,OVER_OR_BTTS_CHECK,75.18,A_ANALIZAR_PRIMERO,
1506979,Ulsan Hyundai FC,Jeju United FC,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,71.52,A_ANALIZAR_PRIMERO,
1506977,FC Anyang,Gimcheon Sangmu FC,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,69.25,A_ANALIZAR_PRIMERO,
1544692,Alloa Athletic,Stenhousemuir,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533641,Al Ittihad,El Geish,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533640,Haras El Hodood,El Mokawloon,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533639,Masr,Ghazl El Mehalla,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533642,National Bank of Egypt,Petrojet,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
