summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,17,17,12,12,0,89.3988,0.145649,12.3529,8.2353,4.1176,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,12,12,12,12,0,91.4058,0.169136,15.4167,10.5833,4.8333,0.0
by_final_execution_bucket,DOWNGRADED,,,,,5,5,0,0,0,84.582,0.089281,5.0,2.6,2.4,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,12,12,12,12,0,91.4058,0.169136,15.4167,10.5833,4.8333,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,87.38,0.221652,25.0,13.0,12.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,4,4,0,0,0,83.8825,0.056188,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,12,12,12,12,0,91.4058,0.169136,15.4167,10.5833,4.8333,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,5,5,0,0,0,84.582,0.089281,5.0,2.6,2.4,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,2,2,2,2,0,97.98,0.237562,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,2,2,2,2,0,103.95,0.166879,18.0,13.0,5.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,8,8,8,8,0,86.6262,0.152595,12.375,9.375,3.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,5,5,0,0,0,84.582,0.089281,5.0,2.6,2.4,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,12,12,12,12,0,91.4058,0.169136,15.4167,10.5833,4.8333,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,87.38,0.221652,25.0,13.0,12.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,4,4,0,0,0,83.8825,0.056188,0.0,0.0,0.0,0.0
