summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,22,21,15,15,0,87.6986,0.154526,11.9091,7.3636,4.5455,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,15,15,15,15,0,90.4007,0.18759,17.4667,10.8,6.6667,0.0
by_final_execution_bucket,DOWNGRADED,,,,,6,6,0,0,0,82.0017,0.071865,0.0,0.0,0.0,0.0
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,81.35,,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,15,15,15,15,0,90.4007,0.18759,17.4667,10.8,6.6667,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,6,6,0,0,0,82.0017,0.071865,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,81.35,,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,15,15,15,15,0,90.4007,0.18759,17.4667,10.8,6.6667,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,6,6,0,0,0,82.0017,0.071865,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,1,0,0,0,0,81.35,,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,3,3,3,3,0,94.9033,0.170869,18.6667,11.3333,7.3333,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,2,2,2,2,0,101.275,0.189315,22.0,13.0,9.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,10,10,10,10,0,86.875,0.192261,16.2,10.2,6.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,6,6,0,0,0,82.0017,0.071865,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,WATCH,,,WATCH,,1,0,0,0,0,81.35,,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,15,15,15,15,0,90.4007,0.18759,17.4667,10.8,6.6667,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,6,6,0,0,0,82.0017,0.071865,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,81.35,,0.0,0.0,0.0,0.0
