summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,27,27,13,13,0,90.1911,0.155083,9.5926,6.5556,3.037,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,13,13,13,13,0,88.5654,0.184775,15.9231,11.4615,4.4615,0.0
by_final_execution_bucket,DOWNGRADED,,,,,14,14,0,0,0,91.7007,0.127512,3.7143,2.0,1.7143,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,13,13,13,13,0,88.5654,0.184775,15.9231,11.4615,4.4615,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,3,3,0,0,0,90.47,0.31659,17.3333,9.3333,8.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,11,11,0,0,0,92.0364,0.075945,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,13,13,13,13,0,88.5654,0.184775,15.9231,11.4615,4.4615,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,14,14,0,0,0,91.7007,0.127512,3.7143,2.0,1.7143,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,1,1,1,1,0,100.39,0.3859,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,102.66,0.15602,13.0,13.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,11,11,11,11,0,86.2091,0.169104,15.3636,11.1818,4.1818,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,14,14,0,0,0,91.7007,0.127512,3.7143,2.0,1.7143,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,13,13,13,13,0,88.5654,0.184775,15.9231,11.4615,4.4615,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,3,3,0,0,0,90.47,0.31659,17.3333,9.3333,8.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,11,11,0,0,0,92.0364,0.075945,0.0,0.0,0.0,0.0
