summary_scope,metric,rows_total
overall,target_fixtures,27
odds_structure_depth_status,OK,27
odds_structure_coherence_flag,RICH_COHERENT,20
odds_structure_coherence_flag,RICH_MIXED,7
odds_total_ladder_shape,BROAD_GOALS,10
odds_total_ladder_shape,BALANCED,9
odds_total_ladder_shape,MILD_GOALS,5
odds_total_ladder_shape,WIDE_GOALS,3
odds_market_translation_hint,ALLOW_AGGRESSIVE_TOTAL,13
odds_market_translation_hint,CAUTION_FRAGILE_SIDE,8
odds_market_translation_hint,PREFER_MILDER_TOTAL,5
odds_market_translation_hint,NEUTRAL,1
odds_line_aggression_flag,OVER_2_5_SUPPORTED,13
odds_line_aggression_flag,NEUTRAL,9
odds_line_aggression_flag,PREFER_OVER_1_5,5
