VSIGMA EXECUTION MODE COMPARISON

Best mode: CORE_ONLY | ROI=35.3125% | profit=5.65u | graded=16

Overall
                     mode  rows_total  graded_rows  wins  losses  pushes  voids  hit_rate  profit_units_total  roi_percent  avg_odds  avg_edge  avg_execution_score  max_drawdown
                CORE_ONLY          16           16    13       3       0      0 81.250000                5.65    35.312500  1.678125  0.210202           137.287069         -1.68
       CORE_PLUS_STANDARD          16           16    13       3       0      0 81.250000                5.65    35.312500  1.678125  0.210202           137.287069         -1.68
           FULL_SHORTLIST          21           21    17       4       0      0 80.952381                6.29    29.952381  1.612857  0.201882           128.554364         -0.93
COMPETITION_ACCURACY_MODE           9            9     7       2       0      0 77.777778                2.31    25.666667  1.580000  0.221050           135.429422         -1.00

Profit by date sequence
                     mode historical_batch_date  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total  roi_percent  equity_units
                CORE_ONLY            2026-05-04           3            3     3       0       0      0                2.59    86.333333          2.59
                CORE_ONLY            2026-05-05           3            3     1       2       0      0               -1.68   -56.000000          0.91
                CORE_ONLY            2026-05-06           4            4     3       1       0      0                0.48    12.000000          1.39
                CORE_ONLY            2026-05-07           4            4     4       0       0      0                2.93    73.250000          4.32
                CORE_ONLY            2026-05-08           2            2     2       0       0      0                1.33    66.500000          5.65
       CORE_PLUS_STANDARD            2026-05-04           3            3     3       0       0      0                2.59    86.333333          2.59
       CORE_PLUS_STANDARD            2026-05-05           3            3     1       2       0      0               -1.68   -56.000000          0.91
       CORE_PLUS_STANDARD            2026-05-06           4            4     3       1       0      0                0.48    12.000000          1.39
       CORE_PLUS_STANDARD            2026-05-07           4            4     4       0       0      0                2.93    73.250000          4.32
       CORE_PLUS_STANDARD            2026-05-08           2            2     2       0       0      0                1.33    66.500000          5.65
           FULL_SHORTLIST            2026-05-04           4            4     3       1       0      0                1.59    39.750000          1.59
           FULL_SHORTLIST            2026-05-05           5            5     3       2       0      0               -0.93   -18.600000          0.66
           FULL_SHORTLIST            2026-05-06           4            4     3       1       0      0                0.48    12.000000          1.14
           FULL_SHORTLIST            2026-05-07           4            4     4       0       0      0                2.93    73.250000          4.07
           FULL_SHORTLIST            2026-05-08           4            4     4       0       0      0                2.22    55.500000          6.29
COMPETITION_ACCURACY_MODE            2026-05-04           2            2     1       1       0      0               -0.50   -25.000000         -0.50
COMPETITION_ACCURACY_MODE            2026-05-06           1            1     0       1       0      0               -1.00  -100.000000         -1.50
COMPETITION_ACCURACY_MODE            2026-05-07           3            3     3       0       0      0                1.98    66.000000          0.48
COMPETITION_ACCURACY_MODE            2026-05-08           3            3     3       0       0      0                1.83    61.000000          2.31

Source mix
                     mode execution_shortlist_source  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total roi_percent
                CORE_ONLY               PREMIUM_CORE          16           16    13       3       0      0                5.65     35.3125
       CORE_PLUS_STANDARD               PREMIUM_CORE          16           16    13       3       0      0                5.65     35.3125
       CORE_PLUS_STANDARD              STANDARD_FILL           0            0     0       0       0      0                0.00        <NA>
           FULL_SHORTLIST               PREMIUM_CORE          16           16    13       3       0      0                5.65     35.3125
           FULL_SHORTLIST           PREMIUM_EXTENDED           5            5     4       1       0      0                0.64        12.8
           FULL_SHORTLIST              STANDARD_FILL           0            0     0       0       0      0                0.00        <NA>
COMPETITION_ACCURACY_MODE               PREMIUM_CORE           7            7     6       1       0      0                2.81   40.142857
COMPETITION_ACCURACY_MODE           PREMIUM_EXTENDED           2            2     1       1       0      0               -0.50       -25.0
COMPETITION_ACCURACY_MODE              STANDARD_FILL           0            0     0       0       0      0                0.00        <NA>

Market composition
                     mode market_primary  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total  roi_percent
                CORE_ONLY       AWAY_WIN           2            2     2       0       0      0                2.44   122.000000
                CORE_ONLY       BTTS_YES           2            2     1       1       0      0               -0.69   -34.500000
                CORE_ONLY       HOME_WIN           1            1     1       0       0      0                0.32    32.000000
                CORE_ONLY       OVER_1_5           6            6     4       2       0      0               -0.29    -4.833333
                CORE_ONLY       OVER_2_5           5            5     5       0       0      0                3.87    77.400000
       CORE_PLUS_STANDARD       AWAY_WIN           2            2     2       0       0      0                2.44   122.000000
       CORE_PLUS_STANDARD       BTTS_YES           2            2     1       1       0      0               -0.69   -34.500000
       CORE_PLUS_STANDARD       HOME_WIN           1            1     1       0       0      0                0.32    32.000000
       CORE_PLUS_STANDARD       OVER_1_5           6            6     4       2       0      0               -0.29    -4.833333
       CORE_PLUS_STANDARD       OVER_2_5           5            5     5       0       0      0                3.87    77.400000
           FULL_SHORTLIST       AWAY_WIN           2            2     2       0       0      0                2.44   122.000000
           FULL_SHORTLIST       BTTS_YES           2            2     1       1       0      0               -0.69   -34.500000
           FULL_SHORTLIST       HOME_WIN           1            1     1       0       0      0                0.32    32.000000
           FULL_SHORTLIST       OVER_1_5           9            9     6       3       0      0               -0.34    -3.777778
           FULL_SHORTLIST       OVER_2_5           5            5     5       0       0      0                3.87    77.400000
           FULL_SHORTLIST      UNDER_3_5           2            2     2       0       0      0                0.69    34.500000
COMPETITION_ACCURACY_MODE       AWAY_WIN           1            1     1       0       0      0                1.00   100.000000
COMPETITION_ACCURACY_MODE       OVER_1_5           6            6     4       2       0      0               -0.11    -1.833333
COMPETITION_ACCURACY_MODE       OVER_2_5           2            2     2       0       0      0                1.42    71.000000

Bucket composition
                     mode     accuracy_mode_bucket  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total  roi_percent
                CORE_ONLY            ACCURACY_CORE           7            7     6       1       0      0                2.81    40.142857
                CORE_ONLY        ACCURACY_REJECTED           9            9     7       2       0      0                2.84    31.555556
       CORE_PLUS_STANDARD            ACCURACY_CORE           7            7     6       1       0      0                2.81    40.142857
       CORE_PLUS_STANDARD        ACCURACY_REJECTED           9            9     7       2       0      0                2.84    31.555556
           FULL_SHORTLIST            ACCURACY_CORE           7            7     6       1       0      0                2.81    40.142857
           FULL_SHORTLIST ACCURACY_EXTENDED_STRONG           2            2     1       1       0      0               -0.50   -25.000000
           FULL_SHORTLIST        ACCURACY_REJECTED          12           12    10       2       0      0                3.98    33.166667
COMPETITION_ACCURACY_MODE            ACCURACY_CORE           7            7     6       1       0      0                2.81    40.142857
COMPETITION_ACCURACY_MODE ACCURACY_EXTENDED_STRONG           2            2     1       1       0      0               -0.50   -25.000000
