group_type,group_key,market_primary,accuracy_mode_bucket,sample_size,wins,losses,raw_avg_predicted_probability,empirical_hit_rate,calibration_adjustment,calibrated_avg_probability,min_sample_size,usable_for_lookup,calibration_note
MARKET_BUCKET,AWAY_WIN|ACCURACY_CORE,AWAY_WIN,ACCURACY_CORE,1,1,0,0.8859,1.0,0.0,0.8859,3,0,THIN_SAMPLE_NOT_USED
MARKET_BUCKET,OVER_1_5|ACCURACY_CORE,OVER_1_5,ACCURACY_CORE,4,3,1,0.8696,0.75,-0.08,0.7896,3,1,USABLE
MARKET_BUCKET,OVER_1_5|ACCURACY_EXTENDED_STRONG,OVER_1_5,ACCURACY_EXTENDED_STRONG,2,1,1,0.90565,0.5,0.0,0.90565,3,0,THIN_SAMPLE_NOT_USED
MARKET_BUCKET,OVER_2_5|ACCURACY_CORE,OVER_2_5,ACCURACY_CORE,2,2,0,0.80445,1.0,0.0,0.80445,3,0,THIN_SAMPLE_NOT_USED
MARKET,AWAY_WIN,AWAY_WIN,,1,1,0,0.8859,1.0,0.0,0.8859,4,0,THIN_SAMPLE_NOT_USED
MARKET,OVER_1_5,OVER_1_5,,6,4,2,0.881617,0.666667,-0.08,0.801617,4,1,USABLE
MARKET,OVER_2_5,OVER_2_5,,2,2,0,0.80445,1.0,0.0,0.80445,4,0,THIN_SAMPLE_NOT_USED
BUCKET,ACCURACY_CORE,,ACCURACY_CORE,7,6,1,0.853314,0.857143,0.003829,0.857143,4,1,USABLE
BUCKET,ACCURACY_EXTENDED_STRONG,,ACCURACY_EXTENDED_STRONG,2,1,1,0.90565,0.5,0.0,0.90565,4,0,THIN_SAMPLE_NOT_USED
GLOBAL,COMPETITION_GLOBAL,,,9,7,2,0.864944,0.777778,-0.05,0.814944,6,1,USABLE
