VSIGMA EXECUTION MODE COMPARISON

Best mode: CORE_ONLY | ROI=40.0% | profit=6.4u | graded=16

Overall
                     mode  rows_total  graded_rows  wins  losses  pushes  voids  hit_rate  profit_units_total  roi_percent  avg_odds  avg_edge  avg_execution_score  max_drawdown
                CORE_ONLY          16           16    13       3       0      0 81.250000                6.40    40.000000  1.725000  0.217934           138.060260         -1.68
       CORE_PLUS_STANDARD          16           16    13       3       0      0 81.250000                6.40    40.000000  1.725000  0.217934           138.060260         -1.68
           FULL_SHORTLIST          22           22    18       4       0      0 81.818182                7.34    33.363636  1.632727  0.204986           128.387709         -0.93
COMPETITION_ACCURACY_MODE           9            9     7       2       0      0 77.777778                2.28    25.333333  1.576667  0.219989           132.679966         -1.00

Profit by date sequence
                     mode historical_batch_date  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total  roi_percent  equity_units
                CORE_ONLY            2026-05-04           3            3     3       0       0      0                2.59    86.333333          2.59
                CORE_ONLY            2026-05-05           3            3     1       2       0      0               -1.68   -56.000000          0.91
                CORE_ONLY            2026-05-06           4            4     3       1       0      0                0.48    12.000000          1.39
                CORE_ONLY            2026-05-07           4            4     4       0       0      0                2.93    73.250000          4.32
                CORE_ONLY            2026-05-08           2            2     2       0       0      0                2.08   104.000000          6.40
       CORE_PLUS_STANDARD            2026-05-04           3            3     3       0       0      0                2.59    86.333333          2.59
       CORE_PLUS_STANDARD            2026-05-05           3            3     1       2       0      0               -1.68   -56.000000          0.91
       CORE_PLUS_STANDARD            2026-05-06           4            4     3       1       0      0                0.48    12.000000          1.39
       CORE_PLUS_STANDARD            2026-05-07           4            4     4       0       0      0                2.93    73.250000          4.32
       CORE_PLUS_STANDARD            2026-05-08           2            2     2       0       0      0                2.08   104.000000          6.40
           FULL_SHORTLIST            2026-05-04           4            4     3       1       0      0                1.59    39.750000          1.59
           FULL_SHORTLIST            2026-05-05           5            5     3       2       0      0               -0.93   -18.600000          0.66
           FULL_SHORTLIST            2026-05-06           4            4     3       1       0      0                0.48    12.000000          1.14
           FULL_SHORTLIST            2026-05-07           4            4     4       0       0      0                2.93    73.250000          4.07
           FULL_SHORTLIST            2026-05-08           5            5     5       0       0      0                3.27    65.400000          7.34
COMPETITION_ACCURACY_MODE            2026-05-04           2            2     1       1       0      0               -0.50   -25.000000         -0.50
COMPETITION_ACCURACY_MODE            2026-05-06           1            1     0       1       0      0               -1.00  -100.000000         -1.50
COMPETITION_ACCURACY_MODE            2026-05-07           3            3     3       0       0      0                1.98    66.000000          0.48
COMPETITION_ACCURACY_MODE            2026-05-08           3            3     3       0       0      0                1.80    60.000000          2.28

Source mix
                     mode execution_shortlist_source  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total roi_percent
                CORE_ONLY               PREMIUM_CORE          16           16    13       3       0      0                6.40        40.0
       CORE_PLUS_STANDARD               PREMIUM_CORE          16           16    13       3       0      0                6.40        40.0
       CORE_PLUS_STANDARD              STANDARD_FILL           0            0     0       0       0      0                0.00        <NA>
           FULL_SHORTLIST               PREMIUM_CORE          16           16    13       3       0      0                6.40        40.0
           FULL_SHORTLIST           PREMIUM_EXTENDED           6            6     5       1       0      0                0.94   15.666667
           FULL_SHORTLIST              STANDARD_FILL           0            0     0       0       0      0                0.00        <NA>
COMPETITION_ACCURACY_MODE               PREMIUM_CORE           6            6     5       1       0      0                2.48   41.333333
COMPETITION_ACCURACY_MODE           PREMIUM_EXTENDED           3            3     2       1       0      0               -0.20   -6.666667
COMPETITION_ACCURACY_MODE              STANDARD_FILL           0            0     0       0       0      0                0.00        <NA>

Market composition
                     mode market_primary  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total  roi_percent
                CORE_ONLY       AWAY_WIN           2            2     2       0       0      0                2.44   122.000000
                CORE_ONLY       BTTS_YES           2            2     1       1       0      0               -0.69   -34.500000
                CORE_ONLY       HOME_WIN           1            1     1       0       0      0                0.32    32.000000
                CORE_ONLY       OVER_1_5           5            5     3       2       0      0               -0.62   -12.400000
                CORE_ONLY       OVER_2_5           6            6     6       0       0      0                4.95    82.500000
       CORE_PLUS_STANDARD       AWAY_WIN           2            2     2       0       0      0                2.44   122.000000
       CORE_PLUS_STANDARD       BTTS_YES           2            2     1       1       0      0               -0.69   -34.500000
       CORE_PLUS_STANDARD       HOME_WIN           1            1     1       0       0      0                0.32    32.000000
       CORE_PLUS_STANDARD       OVER_1_5           5            5     3       2       0      0               -0.62   -12.400000
       CORE_PLUS_STANDARD       OVER_2_5           6            6     6       0       0      0                4.95    82.500000
           FULL_SHORTLIST       AWAY_WIN           2            2     2       0       0      0                2.44   122.000000
           FULL_SHORTLIST       BTTS_YES           2            2     1       1       0      0               -0.69   -34.500000
           FULL_SHORTLIST       HOME_WIN           1            1     1       0       0      0                0.32    32.000000
           FULL_SHORTLIST       OVER_1_5           9            9     6       3       0      0               -0.37    -4.111111
           FULL_SHORTLIST       OVER_2_5           6            6     6       0       0      0                4.95    82.500000
           FULL_SHORTLIST      UNDER_3_5           2            2     2       0       0      0                0.69    34.500000
COMPETITION_ACCURACY_MODE       AWAY_WIN           1            1     1       0       0      0                1.00   100.000000
COMPETITION_ACCURACY_MODE       OVER_1_5           6            6     4       2       0      0               -0.14    -2.333333
COMPETITION_ACCURACY_MODE       OVER_2_5           2            2     2       0       0      0                1.42    71.000000

Bucket composition
                     mode     accuracy_mode_bucket  rows_total  graded_rows  wins  losses  pushes  voids  profit_units_total  roi_percent
