segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
Allsvenskan,1,1,1,0,0,0,0.3,30.0
CONMEBOL Libertadores,6,6,4,2,0,0,-0.12,-2.0
CONMEBOL Sudamericana,1,1,1,0,0,0,0.45,45.0
J1 League,1,1,1,0,0,0,0.85,85.0
K League 1,2,2,1,1,0,0,-0.68,-34.0
La Liga,1,1,0,1,0,0,-1.0,-100.0
Premier League,1,1,1,0,0,0,0.65,65.0
Premiership,2,2,2,0,0,0,0.69,34.5
Segunda División,2,2,2,0,0,0,1.5,75.0
Serie A,1,1,1,0,0,0,1.44,144.0
Serie B,1,1,1,0,0,0,1.08,108.0
UEFA Champions League,1,1,1,0,0,0,0.31,31.0
UEFA Europa Conference League,1,1,1,0,0,0,0.95,95.0
UEFA Europa League,1,1,1,0,0,0,0.92,92.0
