group_type,group_key,market_primary,accuracy_mode_bucket,sample_size,wins,losses,raw_avg_predicted_probability,empirical_hit_rate,calibration_adjustment,calibrated_avg_probability,min_sample_size,usable_for_lookup,calibration_note
MARKET_BUCKET,AWAY_WIN|ACCURACY_CORE,AWAY_WIN,ACCURACY_CORE,1,1,0,0.8859,1.0,0.0,0.8859,3,0,THIN_SAMPLE_NOT_USED
MARKET_BUCKET,OVER_1_5|ACCURACY_CORE,OVER_1_5,ACCURACY_CORE,3,2,1,0.856833,0.666667,-0.08,0.776833,3,1,USABLE
MARKET_BUCKET,OVER_1_5|ACCURACY_EXTENDED_STRONG,OVER_1_5,ACCURACY_EXTENDED_STRONG,3,2,1,0.909,0.666667,-0.08,0.829,3,1,USABLE
MARKET_BUCKET,OVER_2_5|ACCURACY_CORE,OVER_2_5,ACCURACY_CORE,2,2,0,0.80445,1.0,0.0,0.80445,3,0,THIN_SAMPLE_NOT_USED
MARKET,AWAY_WIN,AWAY_WIN,,1,1,0,0.8859,1.0,0.0,0.8859,4,0,THIN_SAMPLE_NOT_USED
MARKET,OVER_1_5,OVER_1_5,,6,4,2,0.882917,0.666667,-0.08,0.802917,4,1,USABLE
MARKET,OVER_2_5,OVER_2_5,,2,2,0,0.80445,1.0,0.0,0.80445,4,0,THIN_SAMPLE_NOT_USED
BUCKET,ACCURACY_CORE,,ACCURACY_CORE,6,5,1,0.844217,0.833333,-0.010883,0.833333,4,1,USABLE
BUCKET,ACCURACY_EXTENDED_STRONG,,ACCURACY_EXTENDED_STRONG,3,2,1,0.909,0.666667,0.0,0.909,4,0,THIN_SAMPLE_NOT_USED
GLOBAL,COMPETITION_GLOBAL,,,9,7,2,0.865811,0.777778,-0.05,0.815811,6,1,USABLE
