fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1379331,Bournemouth,Manchester City,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,96.95,A_ANALIZAR_PRIMERO,
1544951,Monza,Juve Stabia,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,93.27,A_ANALIZAR_PRIMERO,
1535303,Fluminense,Bolívar,HOME_TRAILING,OVER_OR_BTTS_CHECK,93.0,A_ANALIZAR_PRIMERO,home_trailing_flip_away_to_over
1536960,KVC Westerlo,Standard Liege,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,88.36,A_ANALIZAR_PRIMERO,
1535311,Rosario Central,UCV,AWAY_TRAILING,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,90.2,A_ANALIZAR_PRIMERO,away_trailing_keep_away_live
1536961,Genk,Antwerp,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,86.78,A_ANALIZAR_PRIMERO,
1536962,Charleroi,OH Leuven,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,85.32,A_ANALIZAR_PRIMERO,
1535300,Coquimbo Unido,Deportes Tolima,HOME_TRAILING,OVER_OR_BTTS_CHECK,82.69,A_ANALIZAR_PRIMERO,home_trailing_boost
1379333,Chelsea,Tottenham,,OVER_OR_BTTS_CHECK,77.24,A_ANALIZAR_PRIMERO,
1535211,Atletico Torque,Deportivo Riestra,HOME_TRAILING,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,80.02,A_ANALIZAR_PRIMERO,home_trailing_boost
1535202,A. Italiano,Barracas Central,LEVEL_TIE,OVER_OR_BTTS_CHECK,71.06,A_ANALIZAR_PRIMERO,level_tie_soft_opening
1545224,Rouen,Laval,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,71.04,A_ANALIZAR_PRIMERO,
