shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate
1,TOP_CORE,TOP_CORE,2026-05-09,Germany,Bundesliga,1388604,VfL Wolfsburg,Bayern München,98.89,92.99,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,AWAY_DNB,STRONG,TOP_CORE,BET,TOP_CORE,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7801,1.62,0.6172839506172839,0.1628160493827161,0.7801,,,,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.09 | visitante 3.20,Market edge primario: prob 0.780 | impl 0.617 | edge +0.163,Bias lado: -4.54 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,16.0,1.0,1.0,1.0,0.75,2.125,1.125,3.375,1.75,2.125,0.75,1.0,0.125,0.25,0.75,0.75,0.75,1.0,0.5,0.75
2,TOP_CORE,TOP_CORE,2026-05-09,Belgium,Jupiler Pro League,1536997,Club Brugge KV,St. Truiden,97.35,91.45,HIGH,2-1 / 3-1 / 2-2,OVER_2_5,OVER_1_5,PLAYABLE,CORE_SHORTLIST,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7297,1.44,0.6944444444444444,0.035255555555555596,0.892,1.13,0.8849557522123894,0.007044247787610591,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.60 | visitante 1.20,Market edge primario: prob 0.730 | impl 0.694 | edge +0.035,Bias lado: +2.52 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,2.0,3.0,1.0,0.5,2.625,1.25,3.0,1.25,1.125,1.125,1.0,0.625,0.125,0.25,0.875,0.5,1.0,0.625,0.875,0.5
3,CORE_SHORTLIST,CORE,2026-05-09,Italy,Serie A,1378217,Lazio,Inter,96.3,90.4,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,CORE_SHORTLIST,BET,CORE_SHORTLIST,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7334,1.88,0.5319148936170213,0.20148510638297878,0.894,1.26,0.7936507936507936,0.10034920634920641,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.44 | visitante 2.38,Market edge primario: prob 0.733 | impl 0.532 | edge +0.201,Bias lado: -2.02 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,8.0,1.0,0.0,1.0,1.875,2.25,1.5,2.625,0.875,1.375,0.875,1.0,0.375,0.25,0.5,0.75,0.75,1.0,0.25,0.625
4,CORE_SHORTLIST,CORE,2026-05-09,France,Ligue 2,1390013,Bastia,Le Mans,95.24,89.34,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_1_5,STRONG,CORE_SHORTLIST,BET,CORE_SHORTLIST,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.756,2.27,0.44052863436123346,0.31547136563876654,0.8419,1.33,0.7518796992481203,0.09002030075187972,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.77 | visitante 2.54,Market edge primario: prob 0.756 | impl 0.441 | edge +0.315,Bias lado: -3.28 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,17.0,2.0,1.0,1.0,1.25,2.25,1.375,2.25,1.25,0.875,0.875,0.875,0.25,0.5,0.625,0.5,0.75,0.75,0.25,0.5
5,CORE_SHORTLIST,CORE,2026-05-09,France,Ligue 2,1390014,Grenoble,Estac Troyes,94.43,88.53,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,AWAY_DNB,STRONG,CORE_SHORTLIST,BET,CORE_SHORTLIST,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.8053,1.71,0.5847953216374269,0.22050467836257315,0.8053,,,,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.60 | visitante 2.63,Market edge primario: prob 0.805 | impl 0.585 | edge +0.221,Bias lado: -3.87 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,12.0,1.0,0.0,1.0,0.875,2.375,1.0,2.5,1.25,0.875,0.75,1.0,0.25,0.375,0.625,0.625,0.625,0.875,0.375,0.875
6,WATCHLIST,WATCH,2026-05-09,England,Premier League,1379324,Manchester City,Brentford,94.35,88.45,HIGH,2-1 / 3-1 / 2-2,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6371,1.92,0.5208333333333334,0.11626666666666663,0.6594,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.15 | visitante 0.90,Market edge primario: prob 0.637 | impl 0.521 | edge +0.116,Bias lado: +2.54 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,2.0,7.0,1.0,0.0,2.375,1.125,2.25,1.25,0.875,1.0,1.0,0.625,0.5,0.5,0.5,0.5,0.875,0.625,0.75,0.625
7,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388602,RB Leipzig,FC St. Pauli,93.59,87.69,HIGH,2-1 / 3-1 / 2-2,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6381,1.81,0.5524861878453039,0.0856138121546961,0.8661,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.71 | visitante 0.35,Market edge primario: prob 0.638 | impl 0.552 | edge +0.086,Bias lado: +4.56 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,3.0,17.0,1.0,1.0,2.25,0.375,2.125,0.5,1.125,1.875,0.875,0.5,0.25,0.125,0.625,0.5,0.75,0.875,0.75,0.375
8,WATCHLIST,WATCH,2026-05-09,England,Premier League,1379326,Sunderland,Manchester United,93.54,87.64,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6844,2.0,0.5,0.1844,0.8322,1.25,0.8,0.032200000000000006,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.92 | visitante 2.31,Market edge primario: prob 0.684 | impl 0.500 | edge +0.184,Bias lado: -2.58 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,12.0,3.0,0.0,1.0,1.25,2.0,1.0,1.875,1.625,1.375,0.625,1.0,0.25,0.125,0.375,0.875,0.5,0.875,0.375,0.875
9,WATCHLIST,WATCH,2026-05-09,Germany,2. Bundesliga,1388908,1. FC Nürnberg,FC Schalke 04,93.31,87.41,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,UNDER_3_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,24,10,0,14,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6405,3.1,0.3225806451612903,0.31791935483870964,0.6437,1.57,0.6369426751592356,0.0067573248407644115,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.93 | visitante 2.09,Market edge primario: prob 0.640 | impl 0.323 | edge +0.318,Bias lado: -2.38 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,9.0,1.0,0.0,1.0,1.5,2.5,1.25,1.875,1.0,0.875,0.75,1.0,0.25,0.375,0.5,0.625,0.75,0.625,0.25,0.5
10,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1389407,Saint Etienne,Amiens,92.98,87.08,HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7112,2.02,0.49504950495049505,0.216150495049505,0.7688,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.22 | visitante 0.50,Market edge primario: prob 0.711 | impl 0.495 | edge +0.216,Bias lado: +3.34 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,3.0,18.0,1.0,1.0,1.375,0.125,1.25,1.125,1.125,2.375,0.625,0.625,0.375,0.0,0.375,0.625,0.875,0.75,0.5,0.5
