market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,13.0,12.0,3.0,9.0,0.0,0.25,-5.67,0.2368,by_market_primary,,
BTTS_YES,2.0,2.0,0.0,2.0,0.0,0.0,-2.0,0.0571,by_market_primary,,
HOME_WIN,1.0,1.0,1.0,0.0,0.0,1.0,1.3,0.2386,by_market_primary,,
OVER_1_5,17.0,17.0,14.0,3.0,0.0,0.8235,0.69,0.043,by_market_primary,,
OVER_2_5,12.0,12.0,8.0,4.0,0.0,0.6667,1.09,0.1283,by_market_primary,,
UNDER_3_5,19.0,19.0,14.0,5.0,0.0,0.7368,2.43,0.1019,by_market_primary,,
,4.0,4.0,4.0,0.0,0.0,1.0,1.61,-0.0073,by_edge_floor_band,NEGATIVE,
,11.0,11.0,8.0,3.0,0.0,0.7273,-0.86,0.032,by_edge_floor_band,PLAYABLE,
,46.0,45.0,25.0,20.0,0.0,0.5556,-3.8,0.1585,by_edge_floor_band,STRONG,
,3.0,3.0,3.0,0.0,0.0,1.0,0.89,0.0089,by_edge_floor_band,THIN,
,3.0,2.0,1.0,1.0,0.0,0.5,-0.12,0.2458,by_execution_verdict,,CORE_SHORTLIST
,4.0,4.0,4.0,0.0,0.0,1.0,1.61,-0.0073,by_execution_verdict,,NO_BET
,1.0,1.0,1.0,0.0,0.0,1.0,0.62,0.1628,by_execution_verdict,,TOP_CORE
,56.0,56.0,34.0,22.0,0.0,0.6071,-4.27,0.1208,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,31.0,30.0,15.0,15.0,0.0,0.5,-3.85,0.2002,actionable_summary,,
