date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason
2026-05-11,2026-05-11T20:00:00+01:00,1778526000,Championship,40,2025,1543788,NS,Millwall,58,Hull City,64,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,2026-05-11T17:43:06.645255+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.875,1.0,1.375,1.0,0.625,1.125,0.75,0.75,0.5,0.25,0.5,0.75,0.75,0.75,0.375,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.6,7.6,4.8,2.0,55.4,7.6,4.8,8.8,1.8,3.0,5.8,5.0,5.0,1.0,1.0,11.0,14.0,3.6,4.0,45.4,4.4,6.4,9.2,1.8,1.8,2.8,FULL,2026-05-11T17:43:09.635398+00:00,8.0,10.0,1.0,1.0,7.6,8.8,FULL,FULL,HIGH,HIGH,FULL,2026-05-11T17:43:11.026345+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,76.8,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.037785+00:00,3.0,83.0,15.0,46.0,64.0,49.0,1.0,6.0,73.0,4.0,46.0,70.0,66.0,0.5,24.0,2026-05-11T17:43:13.068489+00:00,1.8,3.9,5.0,1.8,2.05,1.28,4.0,1.91,2.03,3.35,1.4,,,,,,13.0,181.0,5614.0,0.5556,0.2564,0.2,0.5556,0.4878,0.7812,0.25,0.5236,0.4926,0.2985,0.7143,,,,,,2026-05-11T17:43:14.090524+00:00,OK,TIER_1,1,england_championship
2026-05-11,2026-05-11T20:00:00+01:00,1778526000,La Liga,140,2025,1391165,NS,Rayo Vallecano,728,Girona,547,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,2026-05-11T17:43:06.645243+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.0,1.0,1.5,1.125,1.125,1.125,0.875,0.75,0.625,0.25,0.25,0.5,0.625,0.625,0.5,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,17.0,13.4,6.6,4.8,48.6,4.0,4.4,16.0,4.0,1.25,3.6,5.0,5.0,1.0,1.0,10.0,11.8,2.8,4.0,54.2,4.0,4.2,9.6,2.0,1.8,3.2,FULL,2026-05-11T17:43:09.658562+00:00,8.0,12.0,1.0,1.0,8.0,11.6,FULL,FULL,HIGH,HIGH,FULL,2026-05-11T17:43:11.028817+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,76.8,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.041956+00:00,11.0,42.0,-6.0,34.0,35.0,41.0,0.0,17.0,38.0,-15.0,34.0,36.0,51.0,1.0,20.0,2026-05-11T17:43:13.071286+00:00,2.64,3.45,3.01,1.73,2.23,1.32,3.9,2.02,1.97,3.4,1.37,,,,,,13.0,183.0,5992.0,0.3788,0.2899,0.3322,0.578,0.4484,0.7576,0.2564,0.495,0.5076,0.2941,0.7299,,,,,,2026-05-11T17:43:14.098701+00:00,OK,TIER_1,1,spain_la_liga
2026-05-11,2026-05-11T20:00:00+01:00,1778526000,Premier League,39,2025,1379327,NS,Tottenham,47,Leeds,63,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,2026-05-11T17:43:06.645237+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,1.625,1.375,1.5,1.875,0.875,0.75,0.625,0.125,0.375,0.625,0.5,0.75,0.625,0.625,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,9.4,4.6,3.0,52.6,7.2,4.0,13.6,3.2,2.5,2.8,5.0,5.0,1.0,1.0,14.0,12.2,5.2,4.6,47.2,3.8,7.0,11.8,2.4,0.2,3.6,FULL,2026-05-11T17:43:09.680644+00:00,16.0,8.0,1.0,1.0,16.0,7.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-11T17:43:11.031143+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,76.8,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.045832+00:00,17.0,37.0,-9.0,35.0,45.0,54.0,1.0,16.0,43.0,-5.0,35.0,47.0,52.0,0.5,20.0,2026-05-11T17:43:13.073447+00:00,1.91,4.04,4.55,1.75,2.15,1.28,4.3,1.89,2.1,3.1,1.42,,,,,,13.0,185.0,5672.0,0.5236,0.2475,0.2198,0.5714,0.4651,0.7812,0.2326,0.5291,0.4762,0.3226,0.7042,,,,,,2026-05-11T17:43:14.107108+00:00,OK,TIER_1,1,england_premier_league
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396527,NS,Benfica,211,SC Braga,217,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645260+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.25,1.875,2.25,1.625,1.0,1.125,1.0,1.0,0.25,0.25,0.75,0.75,1.0,0.75,0.75,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.4,11.4,5.4,4.2,55.4,9.6,3.0,11.6,1.2,1.8,4.8,5.0,5.0,1.0,1.0,8.8,9.4,3.4,2.6,62.0,3.8,3.0,11.4,2.8,0.8,2.2,FULL,2026-05-11T17:43:09.702227+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.033253+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.049920+00:00,2.0,76.0,47.0,32.0,69.0,22.0,1.0,4.0,57.0,28.0,32.0,60.0,32.0,0.5,18.0,2026-05-11T17:43:13.075379+00:00,1.44,5.04,8.75,1.91,1.95,1.22,4.57,1.68,2.3,2.66,1.52,,,,,,13.0,176.0,5542.0,0.6944,0.1984,0.1143,0.5236,0.5128,0.8197,0.2188,0.5952,0.4348,0.3759,0.6579,,,,,,2026-05-11T17:43:14.114422+00:00,OK,TIER_1,1,portugal_primeira_liga
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396528,NS,Estrela,15130,Famalicao,242,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645266+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.5,2.0,1.25,1.5,1.625,1.0,0.625,1.0,0.125,0.375,0.5,0.625,0.75,0.625,0.625,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.2,12.4,2.8,3.6,42.8,3.4,5.8,13.2,2.8,1.6,2.8,5.0,5.0,1.0,1.0,11.2,7.4,5.4,2.6,48.8,5.6,4.4,14.2,3.6,0.4,2.0,FULL,2026-05-11T17:43:09.730680+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.035387+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.053814+00:00,15.0,28.0,-18.0,32.0,36.0,54.0,1.0,5.0,52.0,12.0,32.0,41.0,29.0,0.5,18.0,2026-05-11T17:43:13.077265+00:00,4.05,3.65,2.03,1.75,2.1,1.3,3.8,1.96,1.96,3.25,1.38,,,,,,13.0,160.0,5367.0,0.2469,0.274,0.4926,0.5714,0.4762,0.7692,0.2632,0.5102,0.5102,0.3077,0.7246,,,,,,2026-05-11T17:43:14.121842+00:00,OK,TIER_1,1,portugal_primeira_liga
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396529,NS,GIL Vicente,762,Arouca,240,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645271+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,1.25,1.375,1.125,1.125,1.25,0.625,0.75,0.25,0.25,0.5,0.5,0.625,0.5,0.625,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.4,11.4,4.8,3.0,54.2,5.8,4.2,11.4,2.6,1.2,3.0,5.0,5.0,1.0,1.0,11.0,10.4,3.2,3.0,49.8,4.0,4.8,13.4,3.8,1.4,2.6,FULL,2026-05-11T17:43:09.752697+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.037568+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.057751+00:00,6.0,50.0,14.0,32.0,46.0,32.0,0.0,11.0,36.0,-21.0,32.0,41.0,62.0,0.0,18.0,2026-05-11T17:43:13.080438+00:00,1.73,4.01,5.5,1.87,2.05,1.28,4.0,1.89,2.07,3.25,1.44,,,,,,13.0,154.0,4852.0,0.578,0.2494,0.1818,0.5348,0.4878,0.7812,0.25,0.5291,0.4831,0.3077,0.6944,,,,,,2026-05-11T17:43:14.128299+00:00,OK,TIER_1,1,portugal_primeira_liga
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396533,NS,Guimaraes,224,Casa Pia,4716,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645295+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,0.375,1.375,0.375,1.625,1.5,0.75,0.375,0.375,0.25,0.375,0.375,0.875,0.5,0.5,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.2,10.2,4.4,5.0,53.0,4.0,4.4,11.8,2.0,1.6,2.4,5.0,5.0,1.0,1.0,8.6,9.0,2.8,3.6,39.2,5.8,5.2,16.8,4.0,2.0,2.0,FULL,2026-05-11T17:43:09.774511+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.040269+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.061811+00:00,8.0,42.0,-9.0,32.0,39.0,48.0,0.0,16.0,26.0,-27.0,32.0,29.0,56.0,1.0,18.0,2026-05-11T17:43:13.083222+00:00,1.75,4.09,4.75,1.85,2.0,1.31,3.8,1.94,1.94,3.28,1.36,,,,,,13.0,160.0,5083.0,0.5714,0.2445,0.2105,0.5405,0.5,0.7634,0.2632,0.5155,0.5155,0.3049,0.7353,,,,,,2026-05-11T17:43:14.135427+00:00,OK,TIER_1,1,portugal_primeira_liga
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396530,NS,Rio Ave,226,Sporting CP,228,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645277+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,1.25,1.25,1.25,1.0,0.875,0.75,0.625,0.375,0.375,0.5,0.5,0.75,0.5,0.5,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.0,12.8,4.4,4.4,50.4,5.8,5.2,10.0,2.2,1.6,4.6,5.0,5.0,1.0,1.0,14.4,13.0,6.0,3.8,60.4,4.4,5.2,10.4,1.6,2.5,3.0,FULL,2026-05-11T17:43:09.796739+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.042449+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.065908+00:00,12.0,35.0,-19.0,32.0,33.0,52.0,0.0,3.0,76.0,59.0,32.0,82.0,23.0,1.0,18.0,2026-05-11T17:43:13.085056+00:00,13.7,7.8,1.26,1.91,1.91,1.13,6.5,1.42,2.99,2.06,1.83,,,,,,13.0,173.0,5477.0,0.073,0.1282,0.7937,0.5236,0.5236,0.885,0.1538,0.7042,0.3344,0.4854,0.5464,,,,,,2026-05-11T17:43:14.142232+00:00,OK,TIER_1,1,portugal_primeira_liga
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396531,NS,Santa Clara,227,Nacional,225,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645283+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,1.25,1.25,0.875,1.125,0.875,0.75,0.625,0.5,0.375,0.375,0.25,0.625,0.625,0.375,0.125,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,10.2,9.6,3.4,4.2,47.2,4.8,4.4,15.0,2.8,1.8,1.6,5.0,5.0,1.0,1.0,15.0,16.8,5.2,4.4,49.4,5.0,8.6,14.0,3.2,0.8,4.8,FULL,2026-05-11T17:43:09.822022+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.044613+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.069799+00:00,13.0,33.0,-10.0,32.0,30.0,40.0,0.5,14.0,31.0,-8.0,32.0,35.0,43.0,0.5,18.0,2026-05-11T17:43:13.086674+00:00,2.37,3.25,3.45,1.87,1.95,1.39,3.25,2.15,1.77,3.8,1.29,,,,,,13.0,154.0,5031.0,0.4219,0.3077,0.2899,0.5348,0.5128,0.7194,0.3077,0.4651,0.565,0.2632,0.7752,,,,,,2026-05-11T17:43:14.148697+00:00,OK,TIER_1,1,portugal_primeira_liga
2026-05-11,2026-05-11T20:15:00+01:00,1778526900,Primeira Liga,94,2025,1396532,NS,Tondela,218,Moreirense,215,Portugal,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-11T17:43:06.645289+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.75,1.0,0.625,0.875,1.75,1.625,0.375,0.625,0.25,0.125,0.25,0.5,0.625,0.625,0.375,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.0,14.6,4.0,5.6,48.4,4.6,6.4,13.8,3.8,1.0,2.0,5.0,5.0,1.0,1.0,9.4,12.0,3.2,5.2,45.6,2.4,7.2,14.0,2.4,0.8,3.0,FULL,2026-05-11T17:43:09.855742+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-11T17:43:11.046887+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,91.8,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-11T17:43:12.073702+00:00,17.0,25.0,-28.0,32.0,24.0,52.0,1.0,7.0,42.0,-10.0,32.0,37.0,47.0,0.0,18.0,2026-05-11T17:43:13.088687+00:00,1.9,3.68,4.55,1.9,1.95,1.33,3.45,2.05,1.85,3.6,1.33,,,,,,13.0,154.0,4843.0,0.5263,0.2717,0.2198,0.5263,0.5128,0.7519,0.2899,0.4878,0.5405,0.2778,0.7519,,,,,,2026-05-11T17:43:14.154899+00:00,OK,TIER_1,1,portugal_primeira_liga
