date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,standings_context_score,attack_environment_score,recent_stats_process_score,team_edge_score,team_edge_raw,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,home_goal_path_score,away_goal_path_score,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_absences,away_absences,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_matches,away_recent_matches,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,data_enrichment_level
2026-05-11,Portugal,Primeira Liga,TIER_1,1396528,Estrela,Famalicao,NS,94.98,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,3.91,17.07,3.8,16.0,-19.91,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,11.81,18.29,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,15.0,5.0,28.0,52.0,-18.0,12.0,1.0,0.5,0.5,2.0,1.25,1.5,1.625,1.0,0.625,1.0,0.125,0.375,0.5,0.625,0.75,0.625,0.625,0.5,8.0,8.0,5.0,5.0,1.0,1.0,11.2,11.2,12.4,7.4,2.8,5.4,3.6,2.6,42.8,48.8,3.4,5.6,5.8,4.4,13.2,14.2,2.8,3.6,1.6,0.4,2.8,2.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Portugal,Primeira Liga,TIER_1,1396527,Benfica,SC Braga,NS,94.1,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,5.22,20.0,3.8,10.88,9.89,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.26,15.81,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,4.0,76.0,57.0,47.0,28.0,1.0,0.5,2.25,1.875,2.25,1.625,1.0,1.125,1.0,1.0,0.25,0.25,0.75,0.75,1.0,0.75,0.75,0.5,8.0,8.0,5.0,5.0,1.0,1.0,16.4,8.8,11.4,9.4,5.4,3.4,4.2,2.6,55.4,62.0,9.6,3.8,3.0,3.0,11.6,11.4,1.2,2.8,1.8,0.8,4.8,2.2,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Portugal,Primeira Liga,TIER_1,1396530,Rio Ave,Sporting CP,NS,92.7,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,3.58,15.12,3.8,16.0,-16.18,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,13.16,13.79,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,12.0,3.0,35.0,76.0,-19.0,59.0,0.0,1.0,1.75,1.25,1.25,1.25,1.0,0.875,0.75,0.625,0.375,0.375,0.5,0.5,0.75,0.5,0.5,0.375,8.0,8.0,5.0,5.0,1.0,1.0,13.0,14.4,12.8,13.0,4.4,6.0,4.4,3.8,50.4,60.4,5.8,4.4,5.2,5.2,10.0,10.4,2.2,1.6,1.6,2.5,4.6,3.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Italy,Serie A,TIER_1,1378220,Napoli,Bologna,NS,91.56,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,3.96,13.7,3.64,16.0,21.7,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,16.05,7.23,4.0,8.0,1.0,1.0,FULL,FULL,4.0,7.6,HIGH,HIGH,FULL,11.6,0.0,0.1,4.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,61.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,10.0,70.0,49.0,19.0,1.0,1.0,0.0,2.125,0.875,1.375,0.625,0.625,1.75,0.75,0.375,0.5,0.25,0.375,0.25,0.625,0.875,0.375,0.375,8.0,8.0,5.0,5.0,1.0,1.0,15.0,10.6,9.4,9.6,3.8,2.8,3.8,3.2,58.6,57.6,6.4,5.0,2.8,5.0,8.6,12.0,1.0,0.6,2.4,2.0,4.4,3.4,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Portugal,Primeira Liga,TIER_1,1396533,Guimaraes,Casa Pia,NS,90.51,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.73,13.78,3.44,16.0,14.59,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,15.57,9.67,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,8.0,16.0,42.0,26.0,-9.0,-27.0,0.0,1.0,1.25,0.375,1.375,0.375,1.625,1.5,0.75,0.375,0.375,0.25,0.375,0.375,0.875,0.5,0.5,0.375,8.0,8.0,5.0,5.0,1.0,1.0,12.2,8.6,10.2,9.0,4.4,2.8,5.0,3.6,53.0,39.2,4.0,5.8,4.4,5.2,11.8,16.8,2.0,4.0,1.6,2.0,2.4,2.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,England,Championship,TIER_1,1543788,Millwall,Hull City,NS,89.9,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,5.11,15.37,3.8,11.52,10.47,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,15.01,10.36,8.0,10.0,1.0,1.0,FULL,FULL,7.6,8.8,HIGH,HIGH,FULL,16.4,0.0,0.1,8.0,10.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,76.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,3.0,6.0,83.0,73.0,15.0,4.0,1.0,0.5,1.875,1.0,1.375,1.0,0.625,1.125,0.75,0.75,0.5,0.25,0.5,0.75,0.75,0.75,0.375,0.5,8.0,8.0,5.0,5.0,1.0,1.0,16.6,11.0,7.6,14.0,4.8,3.6,2.0,4.0,55.4,45.4,7.6,4.4,4.8,6.4,8.8,9.2,1.8,1.8,3.0,1.8,5.8,2.8,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Spain,La Liga,TIER_1,1391165,Rayo Vallecano,Girona,NS,86.13,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.61,15.94,3.8,9.68,8.8,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,16.86,12.16,8.0,12.0,1.0,1.0,FULL,FULL,8.0,11.6,HIGH,HIGH,FULL,19.6,0.0,0.1,8.0,12.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,76.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,11.0,17.0,42.0,38.0,-6.0,-15.0,0.0,1.0,2.0,1.0,1.5,1.125,1.125,1.125,0.875,0.75,0.625,0.25,0.25,0.5,0.625,0.625,0.5,0.375,8.0,8.0,5.0,5.0,1.0,1.0,17.0,10.0,13.4,11.8,6.6,2.8,4.8,4.0,48.6,54.2,4.0,4.0,4.4,4.2,16.0,9.6,4.0,2.0,1.25,1.8,3.6,3.2,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Portugal,Primeira Liga,TIER_1,1396532,Tondela,Moreirense,NS,85.28,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.73,12.83,3.24,11.72,-10.65,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,11.87,13.69,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,17.0,7.0,25.0,42.0,-28.0,-10.0,1.0,0.0,0.75,1.0,0.625,0.875,1.75,1.625,0.375,0.625,0.25,0.125,0.25,0.5,0.625,0.625,0.375,0.375,8.0,8.0,5.0,5.0,1.0,1.0,11.0,9.4,14.6,12.0,4.0,3.2,5.6,5.2,48.4,45.6,4.6,2.4,6.4,7.2,13.8,14.0,3.8,2.4,1.0,0.8,2.0,3.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,Portugal,Primeira Liga,TIER_1,1396529,GIL Vicente,Arouca,NS,84.6,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,1.79,15.57,3.8,9.24,8.4,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,14.34,12.92,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,6.0,11.0,50.0,36.0,14.0,-21.0,0.0,0.0,1.25,1.25,1.375,1.125,1.125,1.25,0.625,0.75,0.25,0.25,0.5,0.5,0.625,0.5,0.625,0.5,8.0,8.0,5.0,5.0,1.0,1.0,13.4,11.0,11.4,10.4,4.8,3.2,3.0,3.0,54.2,49.8,5.8,4.0,4.2,4.8,11.4,13.4,2.6,3.8,1.2,1.4,3.0,2.6,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-11,England,Premier League,TIER_1,1379327,Tottenham,Leeds,NS,83.18,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.99,16.8,3.8,5.49,-4.99,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,13.77,17.01,16.0,8.0,1.0,1.0,FULL,FULL,16.0,7.2,HIGH,HIGH,FULL,23.2,0.0,0.1,16.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,76.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,17.0,16.0,37.0,43.0,-9.0,-5.0,1.0,0.5,1.375,1.625,1.375,1.5,1.875,0.875,0.75,0.625,0.125,0.375,0.625,0.5,0.75,0.625,0.625,0.625,8.0,8.0,5.0,5.0,1.0,1.0,11.8,14.0,9.4,12.2,4.6,5.2,3.0,4.6,52.6,47.2,7.2,3.8,4.0,7.0,13.6,11.8,3.2,2.4,2.5,0.2,2.8,3.6,FULL,TEAM_LAST_8_ALL_COMPETITIONS
