date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason,league_coverage_uncertainty_penalty,league_stats_reliability_multiplier,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note
2026-05-12,2026-05-12T20:00:00+01:00,1778612400,Championship,40,2025,1543789,NS,Southampton,41,Middlesbrough,70,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2026-05-12T14:01:11.141339+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.125,1.25,2.5,1.625,1.25,1.25,1.0,0.75,0.125,0.25,0.875,0.625,1.0,0.625,1.0,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.2,15.8,4.4,5.6,49.2,6.4,7.2,10.8,1.4,2.6,5.6,5.0,5.0,1.0,1.0,16.8,12.0,7.0,3.6,57.2,7.0,3.6,9.0,2.0,2.0,5.4,FULL,2026-05-12T14:01:14.481414+00:00,6.0,8.0,1.0,1.0,5.2,6.4,FULL,FULL,HIGH,HIGH,FULL,2026-05-12T14:01:16.052032+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,298.72,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.087451+00:00,4.0,80.0,26.0,46.0,82.0,56.0,1.0,5.0,80.0,25.0,46.0,72.0,47.0,0.5,24.0,2026-05-12T14:01:18.081914+00:00,2.53,3.5,2.95,1.6,2.35,1.25,4.35,1.79,2.16,2.88,1.47,,,,,,13.0,185.0,5774.0,0.3953,0.2857,0.339,0.625,0.4255,0.8,0.2299,0.5587,0.463,0.3472,0.6803,,,,,,2026-05-12T14:01:19.647650+00:00,OK,TIER_1,1,england_championship,0.0,0.95,30,8,16,9,16,4,28.0,OK_FULL_STATS,5.2,6.4,0.0,0.0,0.0,11.6,0.1,0.0,20.0,3.8,19.97,17.87,0.8695652173913043,0.8260869565217391,8.39,9.23,0.0,0.0,0.0,0.1,5.11,92.24,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T19:30:00+01:00,1778610600,Super League,207,2025,1538479,NS,Servette FC,2184,Lausanne,1014,Switzerland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-12T14:01:11.141273+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.125,1.5,2.5,1.375,1.125,2.0,1.0,0.625,0.375,0.125,0.625,0.5,1.0,1.0,0.625,0.875,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.4,8.8,6.8,2.8,51.8,4.4,4.6,10.6,1.8,1.0,4.4,5.0,5.0,1.0,1.0,13.2,12.0,4.4,5.2,48.2,4.8,4.8,12.0,1.8,0.2,2.4,FULL,2026-05-12T14:01:14.769258+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-12T14:01:16.078186+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,268.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.139772+00:00,2.0,47.0,4.0,36.0,67.0,63.0,1.0,3.0,42.0,-10.0,36.0,52.0,62.0,0.5,12.0,2026-05-12T14:01:18.098305+00:00,1.89,4.06,4.0,1.5,2.63,1.17,5.5,1.55,2.63,2.35,1.64,,,,,,13.0,114.0,2940.0,0.5291,0.2463,0.25,0.6667,0.3802,0.8547,0.1818,0.6452,0.3802,0.4255,0.6098,,,,,,2026-05-12T14:01:28.934432+00:00,OK,TIER_2,2,switzerland_super_league,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.8,20.0,13.45,0.9090909090909092,0.8181818181818181,14.02,15.42,0.0,0.0,0.0,0.0,5.16,91.58,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T19:30:00+01:00,1778610600,Super League,207,2025,1538478,NS,FC Luzern,644,FC Zurich,783,Switzerland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-12T14:01:11.141269+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,0.5,2.0,1.0,1.5,1.875,0.875,0.75,0.125,0.0,0.75,0.75,1.0,0.875,1.0,0.875,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.0,12.4,4.2,3.4,51.2,5.6,5.2,11.4,1.4,1.8,2.6,5.0,5.0,1.0,1.0,9.6,16.4,3.0,5.8,49.2,2.2,7.8,14.4,3.2,1.0,2.8,FULL,2026-05-12T14:01:14.731882+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-12T14:01:16.074454+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,268.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.129159+00:00,1.0,47.0,6.0,36.0,72.0,66.0,1.0,4.0,38.0,-20.0,36.0,49.0,69.0,0.5,12.0,2026-05-12T14:01:18.095507+00:00,1.5,5.2,6.4,1.52,2.63,1.13,7.0,1.41,3.1,2.05,1.87,,,,,,13.0,113.0,3050.0,0.6667,0.1923,0.1562,0.6579,0.3802,0.885,0.1429,0.7092,0.3226,0.4878,0.5348,,,,,,2026-05-12T14:01:27.769532+00:00,OK,TIER_2,2,switzerland_super_league,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,18.89,3.38,20.0,13.78,1.0,0.7272727272727273,16.19,16.0,0.0,0.0,0.0,0.0,5.16,91.05,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T19:45:00+01:00,1778611500,Premiership,179,2025,1540015,NS,Dundee Utd,1386,Livingston,255,Scotland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-12T14:01:11.141285+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,1.0,1.875,1.375,1.75,1.5,0.875,0.75,0.25,0.25,0.625,0.625,1.0,0.875,0.875,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,17.0,13.8,5.4,6.2,43.2,4.4,5.4,11.6,1.5,1.25,5.0,5.0,5.0,1.0,1.0,11.8,15.0,3.4,4.2,46.0,5.0,4.6,9.2,2.0,2.2,3.6,FULL,2026-05-12T14:01:14.658149+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-12T14:01:16.068598+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,283.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.117994+00:00,1.0,43.0,-11.0,36.0,48.0,59.0,1.0,6.0,20.0,-32.0,36.0,39.0,71.0,0.0,12.0,2026-05-12T14:01:18.092499+00:00,1.76,4.11,4.9,1.67,2.2,1.23,4.7,1.7,2.28,2.75,1.5,,,,,,13.0,160.0,4895.0,0.5682,0.2433,0.2041,0.5988,0.4545,0.813,0.2128,0.5882,0.4386,0.3636,0.6667,,,,,,2026-05-12T14:01:25.328754+00:00,OK,TIER_2,2,scotland_premiership,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,19.13,3.8,18.78,16.44,1.0,0.5454545454545454,14.35,15.78,0.0,0.0,0.0,0.0,4.07,89.98,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T20:30:00+01:00,1778614200,La Liga,140,2025,1391175,NS,Osasuna,727,Atletico Madrid,530,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,2026-05-12T14:01:11.141350+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.0,1.0,1.25,1.5,1.625,1.625,0.875,0.875,0.125,0.125,0.75,0.75,0.75,0.875,0.625,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,9.8,14.2,4.2,4.6,48.0,3.6,6.8,11.6,1.8,2.0,2.2,5.0,5.0,1.0,1.0,11.8,12.4,3.6,2.8,45.6,4.2,4.8,10.4,2.0,2.0,2.8,FULL,2026-05-12T14:01:14.520912+00:00,4.0,16.0,1.0,1.0,4.0,15.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-12T14:01:16.056804+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,328.72,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.095688+00:00,11.0,42.0,-3.0,35.0,42.0,45.0,0.0,4.0,63.0,20.0,35.0,58.0,38.0,0.5,20.0,2026-05-12T14:01:18.085001+00:00,2.65,3.7,2.8,1.65,2.25,1.26,4.1,1.86,2.1,3.0,1.42,,,,,,13.0,180.0,5519.0,0.3774,0.2703,0.3571,0.6061,0.4444,0.7937,0.2439,0.5376,0.4762,0.3333,0.7042,,,,,,2026-05-12T14:01:21.719678+00:00,OK,TIER_1,1,spain_la_liga,0.0,0.95,30,8,16,9,16,4,28.0,OK_FULL_STATS,4.0,15.2,0.0,0.0,0.0,19.2,0.1,0.0,18.06,3.6,15.98,17.13,0.4736842105263158,0.8421052631578947,-9.79,10.77,0.0,0.0,0.0,0.1,2.91,89.64,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T19:00:00+01:00,1778608800,La Liga,140,2025,1391170,NS,Real Betis,543,Elche,797,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2026-05-12T14:01:11.141214+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,1.5,1.5,1.375,1.375,1.75,0.875,0.875,0.25,0.125,0.75,0.75,0.875,0.75,0.5,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.0,11.2,4.0,4.8,50.8,4.2,4.0,12.2,3.0,1.0,3.4,5.0,5.0,1.0,1.0,10.0,13.4,4.0,4.6,55.2,5.0,6.2,12.8,1.6,1.75,1.8,FULL,2026-05-12T14:01:14.540778+00:00,6.0,6.0,1.0,1.0,6.0,4.4,FULL,FULL,HIGH,HIGH,FULL,2026-05-12T14:01:16.058913+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,238.72,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.099239+00:00,5.0,54.0,11.0,35.0,54.0,43.0,0.5,14.0,39.0,-8.0,35.0,46.0,54.0,0.0,20.0,2026-05-12T14:01:18.086377+00:00,1.65,4.4,5.59,1.7,2.2,1.22,4.5,1.69,2.36,2.7,1.53,,,,,,13.0,182.0,6092.0,0.6061,0.2273,0.1789,0.5882,0.4545,0.8197,0.2222,0.5917,0.4237,0.3704,0.6536,,,,,,2026-05-12T14:01:22.276441+00:00,OK,TIER_1,1,spain_la_liga,0.0,0.95,30,8,16,9,16,4,28.0,OK_FULL_STATS,6.0,4.4,0.0,0.0,0.0,10.4,0.1,0.0,18.22,3.63,17.61,15.8,0.7894736842105263,0.3157894736842105,9.67,10.64,0.0,0.0,0.0,0.1,2.57,89.33,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T20:00:00+01:00,1778612400,Serie B,136,2025,1544650,NS,Catanzaro,1687,Avellino,528,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-12T14:01:11.141346+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.875,1.625,1.75,1.25,2.0,1.0,1.0,0.75,0.0,0.375,1.0,0.375,1.0,0.75,0.625,0.25,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,9.4,6.2,3.8,61.8,5.8,2.8,11.0,1.0,1.8,2.4,5.0,5.0,1.0,1.0,13.0,9.8,4.8,3.0,51.0,4.8,3.8,15.6,1.6,1.8,2.4,FULL,2026-05-12T14:01:14.584849+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-12T14:01:16.062795+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,298.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.107061+00:00,5.0,59.0,11.0,38.0,62.0,51.0,0.5,8.0,49.0,-12.0,38.0,43.0,55.0,0.0,20.0,2026-05-12T14:01:18.088001+00:00,2.1,3.4,4.35,2.0,1.95,1.42,3.1,2.27,1.75,4.33,1.26,,,,,,13.0,173.0,4652.0,0.4762,0.2941,0.2299,0.5,0.5128,0.7042,0.3226,0.4405,0.5714,0.2309,0.7937,,,,,,2026-05-12T14:01:23.492123+00:00,OK,TIER_1,1,italy_serie_b,0.0,0.95,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,18.37,3.8,17.03,17.42,0.7894736842105263,0.631578947368421,2.13,2.34,0.0,0.0,0.0,0.0,3.07,81.78,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T18:00:00+01:00,1778605200,La Liga,140,2025,1391171,NS,Celta Vigo,538,Levante,539,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2026-05-12T14:01:11.141139+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.75,1.75,1.375,1.5,2.375,1.5,0.625,0.75,0.0,0.375,0.625,0.5,0.875,0.75,0.875,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,9.0,11.0,3.8,4.4,49.8,4.4,3.6,14.0,2.8,1.0,2.4,5.0,5.0,1.0,1.0,17.0,9.2,5.2,3.0,54.0,6.6,4.0,12.4,2.2,0.8,5.0,FULL,2026-05-12T14:01:14.503398+00:00,6.0,8.0,1.0,1.0,6.0,7.6,FULL,FULL,HIGH,HIGH,FULL,2026-05-12T14:01:16.054256+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,178.72,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.092068+00:00,6.0,50.0,5.0,35.0,49.0,44.0,0.0,19.0,36.0,-16.0,35.0,41.0,57.0,1.0,20.0,2026-05-12T14:01:18.083632+00:00,1.87,3.98,4.5,1.75,2.15,1.27,4.2,1.84,2.11,3.05,1.42,,,,,,13.0,183.0,5942.0,0.5348,0.2513,0.2222,0.5714,0.4651,0.7874,0.2381,0.5435,0.4739,0.3279,0.7042,,,,,,2026-05-12T14:01:20.124901+00:00,OK,TIER_1,1,spain_la_liga,0.0,0.95,30,8,16,9,16,4,28.0,OK_FULL_STATS,6.0,7.6,0.0,0.0,0.0,13.6,0.1,0.0,17.87,3.8,14.02,19.86,0.736842105263158,0.0526315789473684,1.31,1.44,0.0,0.0,0.0,0.1,2.86,80.07,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T17:45:00+01:00,1778604300,Serie B,136,2025,1544649,NS,Modena,899,Juve Stabia,863,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-12T14:01:11.141135+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.0,1.25,1.125,1.375,1.5,1.25,0.75,0.875,0.0,0.125,0.75,0.75,0.75,0.875,0.625,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.0,14.2,3.8,6.0,49.8,2.6,5.2,16.6,2.2,1.0,2.4,5.0,5.0,1.0,1.0,10.6,14.4,3.6,3.8,52.6,4.0,5.0,10.2,1.5,1.8,3.6,FULL,2026-05-12T14:01:14.601663+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-12T14:01:16.064878+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,163.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.110671+00:00,6.0,55.0,13.0,38.0,49.0,36.0,0.0,7.0,51.0,-1.0,38.0,44.0,45.0,0.0,20.0,2026-05-12T14:01:18.089496+00:00,2.24,3.1,3.97,2.0,1.85,1.45,2.93,2.38,1.68,4.35,1.24,,,,,,13.0,172.0,4394.0,0.4464,0.3226,0.2519,0.5,0.5405,0.6897,0.3413,0.4202,0.5952,0.2299,0.8065,,,,,,2026-05-12T14:01:24.139908+00:00,OK,TIER_1,1,italy_serie_b,0.0,0.95,30,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,16.65,3.37,14.03,16.96,0.736842105263158,0.6842105263157895,-1.01,1.11,0.0,0.0,0.0,0.0,2.27,78.03,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
2026-05-12,2026-05-12T19:45:00+01:00,1778611500,Premiership,179,2025,1540014,NS,Aberdeen,252,ST Mirren,251,Scotland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-12T14:01:11.141281+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.0,1.125,1.0,1.0,1.75,1.625,0.75,0.5,0.25,0.125,0.5,0.375,0.875,0.625,0.5,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,9.4,12.0,2.4,4.0,44.8,4.2,4.8,16.2,2.2,2.0,2.0,5.0,5.0,1.0,1.0,11.0,7.0,4.0,3.0,54.8,7.4,5.0,12.0,1.8,2.75,2.5,FULL,2026-05-12T14:01:14.627146+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-12T14:01:16.066729+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,283.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-12T14:01:17.114423+00:00,2.0,40.0,-12.0,36.0,38.0,50.0,1.0,5.0,30.0,-27.0,36.0,27.0,54.0,0.0,12.0,2026-05-12T14:01:18.091125+00:00,2.26,3.5,3.31,1.73,2.14,1.3,3.85,1.93,1.97,3.4,1.36,,,,,,13.0,162.0,4864.0,0.4425,0.2857,0.3021,0.578,0.4673,0.7692,0.2597,0.5181,0.5076,0.2941,0.7353,,,,,,2026-05-12T14:01:24.716849+00:00,OK,TIER_2,2,scotland_premiership,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,14.75,3.31,13.76,13.56,0.9090909090909092,0.6363636363636364,6.78,7.46,0.0,0.0,0.0,0.0,4.07,77.28,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0,NOT_TWO_LEG_TIE,,,,0,0,0,0,
