summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,11,11,6,6,0,89.6736,0.167777,11.3636,7.7273,3.6364,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,6,6,6,6,0,88.4767,0.172563,16.6667,12.0,4.6667,0.0
by_final_execution_bucket,DOWNGRADED,,,,,5,5,0,0,0,91.11,0.162034,5.0,2.6,2.4,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,6,6,6,6,0,88.4767,0.172563,16.6667,12.0,4.6667,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,98.7,0.577176,25.0,13.0,12.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,4,4,0,0,0,89.2125,0.058248,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,6,6,6,6,0,88.4767,0.172563,16.6667,12.0,4.6667,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,5,5,0,0,0,91.11,0.162034,5.0,2.6,2.4,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,3,3,3,3,0,94.49,0.19058,20.0,12.6667,7.3333,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,3,3,3,3,0,82.4633,0.154547,13.3333,11.3333,2.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,5,5,0,0,0,91.11,0.162034,5.0,2.6,2.4,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,6,6,6,6,0,88.4767,0.172563,16.6667,12.0,4.6667,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,98.7,0.577176,25.0,13.0,12.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,4,4,0,0,0,89.2125,0.058248,0.0,0.0,0.0,0.0
