target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,official_action,executable_now,final_block_reason,execution_family_status,is_actionable,is_non_actionable,is_expired,result_status,decision_quality_label,quality_bucket,improvement_signal,recommended_followup,accuracy_primary_risk,competition_calibrated_prob,learning_family,learning_status,sample_key,learning_priority,learning_note
2026-05-20,2026-05-20T18:12:54+01:00,1535312,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,WIN,ACTIONABLE_WIN,GOOD_DECISION,MONITOR_DECISION_QUALITY,Monitor in daily decision quality sample.,FAILURE_MODE_LOW_CONVERSION,0.80046,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::MONITOR_DECISION_QUALITY,P3,Resolved actionable result logged for sample accumulation.
2026-05-20,2026-05-20T18:12:54+01:00,1494229,Allsvenskan,Gais,Hammarby FF,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.800225,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-20,2026-05-20T18:12:54+01:00,1544596,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.82976,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-20,2026-05-20T18:12:54+01:00,1535312,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,WIN,ACTIONABLE_WIN,GOOD_DECISION,MONITOR_DECISION_QUALITY,Monitor in daily decision quality sample.,FAILURE_MODE_LOW_CONVERSION,0.80046,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::MONITOR_DECISION_QUALITY,P3,Resolved actionable result logged for sample accumulation.
2026-05-20,2026-05-20T18:12:54+01:00,1494229,Allsvenskan,Gais,Hammarby FF,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.800225,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-20,2026-05-20T18:12:54+01:00,1544596,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.82976,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-20,2026-05-20T18:12:54+01:00,1535312,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,WIN,ACTIONABLE_WIN,GOOD_DECISION,MONITOR_DECISION_QUALITY,Monitor in daily decision quality sample.,FAILURE_MODE_LOW_CONVERSION,0.80046,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::MONITOR_DECISION_QUALITY,P3,Resolved actionable result logged for sample accumulation.
2026-05-20,2026-05-20T18:12:54+01:00,1494229,Allsvenskan,Gais,Hammarby FF,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.800225,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-20,2026-05-20T18:12:54+01:00,1544596,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.82976,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-20,2026-05-20T18:12:54+01:00,1535312,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,EXECUTABLE,YES,NONE,PRELOCK_CONFIRMED,YES,NO,NO,WIN,ACTIONABLE_WIN,GOOD_DECISION,MONITOR_DECISION_QUALITY,Monitor in daily decision quality sample.,FAILURE_MODE_LOW_CONVERSION,0.80046,ACTIONABLE_RESULT,COLLECT_MORE_SAMPLE,ACTIONABLE_RESULT::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::MONITOR_DECISION_QUALITY,P3,Resolved actionable result logged for sample accumulation.
