date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason
2026-05-22,2026-05-22T19:30:00+01:00,1779474600,2. Bundesliga,79,2025,1545405,NS,Rot-Weiß Essen,1621,SpVgg Greuther Fürth,178,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641790+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.875,1.375,2.125,1.25,2.125,1.375,1.0,0.75,0.25,0.25,0.75,0.625,0.75,0.875,0.75,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,1.0,0.2,1.0,23.0,6.0,6.0,3.0,58.0,10.0,7.0,6.0,3.0,0.0,8.0,5.0,5.0,1.0,1.0,13.8,15.2,5.2,4.0,55.2,4.2,4.6,10.6,1.667,1.75,4.2,SPARSE,2026-05-22T12:57:55.867507+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-22T12:58:13.421206+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,331.73,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-22T12:58:15.953065+00:00,16.0,37.0,-19.0,34.0,49.0,68.0,1.0,18.0,2026-05-22T12:58:20.090837+00:00,,,,,,,,2.7,3.75,2.54,1.5,2.63,1.2,5.07,1.62,2.45,2.5,1.57,,,,,,14.0,130.0,3568.0,0.3704,0.2667,0.3937,0.6667,0.3802,0.8333,0.1972,0.6173,0.4082,0.4,0.6369,,,,,,2026-05-22T12:58:21.149502+00:00,OK,TIER_1,1,germany_2_bundesliga
2026-05-22,2026-05-22T19:45:00+01:00,1779475500,Serie A,135,2025,1378236,NS,Fiorentina,502,Atalanta,499,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2026-05-22T12:57:45.641795+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.5,1.125,0.75,1.125,1.25,1.25,0.625,0.75,0.375,0.375,0.375,0.5,0.625,0.625,0.375,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.0,12.2,3.4,4.2,46.8,5.0,4.0,12.0,3.2,1.0,2.6,5.0,5.0,1.0,1.0,18.4,10.0,4.8,3.6,60.4,7.6,4.2,12.8,1.75,2.4,6.8,FULL,2026-05-22T12:57:59.866694+00:00,6.0,4.0,1.0,1.0,5.2,4.0,FULL,FULL,HIGH,HIGH,FULL,2026-05-22T12:58:13.823283+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,346.73,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-22T12:58:16.353684+00:00,7.0,58.0,15.0,37.0,50.0,35.0,0.0,20.0,2026-05-22T12:58:20.097396+00:00,15.0,41.0,-9.0,37.0,40.0,49.0,0.5,2.81,3.6,2.63,1.57,2.45,1.22,4.55,1.73,2.29,2.7,1.52,,,,,,14.0,173.0,6245.0,0.3559,0.2778,0.3802,0.6369,0.4082,0.8197,0.2198,0.578,0.4367,0.3704,0.6579,,,,,,2026-05-22T12:58:21.542493+00:00,OK,TIER_1,1,italy_serie_a
2026-05-22,2026-05-22T19:00:00+01:00,1779472800,Serie B,136,2025,1544652,NS,Sudtirol,1578,Bari,508,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641745+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.375,1.125,0.875,1.125,2.375,1.875,0.75,0.5,0.0,0.125,0.75,0.375,0.875,1.0,0.5,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.6,12.2,2.8,4.2,42.2,4.4,4.0,14.4,1.4,1.2,3.0,5.0,5.0,1.0,1.0,7.0,15.6,2.0,6.4,34.2,2.0,6.0,13.6,1.6,0.4,1.6,FULL,2026-05-22T12:58:03.874094+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-22T12:58:14.218779+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,301.72,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-22T12:58:16.754056+00:00,17.0,40.0,-22.0,38.0,38.0,60.0,1.0,20.0,2026-05-22T12:58:20.099515+00:00,16.0,41.0,-10.0,38.0,38.0,48.0,0.5,1.93,3.38,4.53,2.05,1.8,1.44,3.0,2.3,1.68,4.33,1.25,,,,,,14.0,155.0,4606.0,0.5181,0.2959,0.2208,0.4878,0.5556,0.6944,0.3333,0.4348,0.5952,0.2309,0.8,,,,,,2026-05-22T12:58:21.931470+00:00,OK,TIER_1,1,italy_serie_b
2026-05-22,2026-05-22T18:00:00+01:00,1779469200,Allsvenskan,113,2026,1494177,NS,Djurgardens IF,364,IF Brommapojkarna,371,Sweden,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2026-05-22T12:57:45.641413+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.0,1.0,2.25,1.375,1.125,1.875,0.875,0.75,0.25,0.0,0.625,0.75,0.75,1.0,0.625,0.875,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,17.6,10.8,5.8,3.4,61.2,6.0,3.4,13.4,2.0,1.2,4.2,5.0,5.0,1.0,1.0,13.0,12.8,4.0,4.0,47.2,4.2,4.4,10.6,1.6,2.0,4.4,FULL,2026-05-22T12:58:07.869054+00:00,3.0,8.0,1.0,1.0,2.2,6.8,FULL,FULL,MEDIUM,HIGH,FULL,2026-05-22T12:58:14.630308+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,241.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-22T12:58:17.152348+00:00,8.0,11.0,-2.0,8.0,11.0,13.0,0.0,16.0,2026-05-22T12:58:20.101520+00:00,6.0,13.0,7.0,8.0,18.0,11.0,0.0,1.44,5.0,7.5,1.75,2.15,1.18,5.5,1.55,2.55,2.38,1.62,,,,,,14.0,128.0,3842.0,0.6944,0.2,0.1333,0.5714,0.4651,0.8475,0.1818,0.6452,0.3922,0.4202,0.6173,,,,,,2026-05-22T12:58:22.335905+00:00,OK,TIER_2,2,sweden_allsvenskan
2026-05-22,2026-05-22T18:30:00+01:00,1779471000,Bundesliga,218,2025,1545664,NS,Ried,1028,Rapid Vienna,781,Austria,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641652+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,1.375,1.375,1.25,1.25,1.5,0.75,0.75,0.25,0.25,0.625,0.5,0.75,0.75,0.5,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.2,11.8,4.0,2.8,53.4,5.2,6.0,11.8,2.0,2.6,2.0,5.0,5.0,1.0,1.0,10.4,9.6,2.6,2.4,62.4,5.2,4.2,9.4,2.2,1.8,3.8,FULL,2026-05-22T12:58:11.873210+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-22T12:58:15.024698+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,271.71,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-22T12:58:17.552225+00:00,5.0,33.0,1.0,22.0,26.0,25.0,0.0,12.0,2026-05-22T12:58:20.103448+00:00,1.0,28.0,-4.0,32.0,38.0,42.0,1.0,2.71,3.5,2.75,1.69,2.15,1.3,3.8,1.99,1.95,3.39,1.34,,,,,,14.0,135.0,3760.0,0.369,0.2857,0.3636,0.5917,0.4651,0.7692,0.2632,0.5025,0.5128,0.295,0.7463,,,,,,2026-05-22T12:58:22.731848+00:00,OK,TIER_2,2,austria_bundesliga
2026-05-22,2026-05-22T15:00:00+01:00,1779458400,Premier League,233,2025,1533650,NS,El Gouna FC,1574,El Geish,1039,Egypt,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.640749+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,egypt_premier_league_noisy
2026-05-22,2026-05-22T18:00:00+01:00,1779469200,Premier League,233,2025,1533652,NS,Pharco,15736,National Bank of Egypt,15570,Egypt,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641503+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,egypt_premier_league_noisy
2026-05-22,2026-05-22T23:00:00+01:00,1779487200,Serie B,72,2026,1520697,NS,Nautico Recife,755,Cuiaba,1193,Brazil,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641981+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,brazil_serie_b_noisy
2026-05-22,2026-05-22T17:00:00+01:00,1779465600,Veikkausliiga,244,2026,1495685,NS,VPS,650,HJK Helsinki,649,Finland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641152+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,finland_veikkausliiga_noisy
2026-05-22,2026-05-22T21:00:00+01:00,1779480000,Copa Ecuador,917,2025,1542931,NS,9 de Octubre,10111,Manta FC,1980,Ecuador,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-22T12:57:45.641931+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_4,4,ecuador_cup_context_only
