target_date,generated_at,cleaner_rank,source_issue_type,severity,fixture_id,home_team,away_team,market_primary,source_file,field_to_clean,current_value,cleaner_action,recommended_command,auto_fix,production_change,guardrail_status
2026-05-23,2026-05-23T08:58:33+01:00,1,PRELOCK_CONFIRMATION_REQUIRED,P2,1378234,Bologna,Inter,AWAY_WIN,data/processed/today/2026-05-23/vsigma_today_execution_shortlist.csv,lineup_activation_state,INACTIVE,PRELOCK_REBUILD,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,2,PRELOCK_CONFIRMATION_REQUIRED,P2,1378237,Lazio,Pisa,HOME_WIN,data/processed/today/2026-05-23/vsigma_today_execution_shortlist.csv,lineup_activation_state,INACTIVE,PRELOCK_REBUILD,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,3,PRELOCK_CONFIRMATION_REQUIRED,P2,1494182,Kalmar FF,Degerfors IF,OVER_1_5,data/processed/today/2026-05-23/vsigma_today_execution_shortlist.csv,lineup_activation_state,INACTIVE,PRELOCK_REBUILD,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,4,PRELOCK_CONFIRMATION_REQUIRED,P2,1504822,Kashima,FC Tokyo,OVER_1_5,data/processed/today/2026-05-23/vsigma_today_execution_shortlist.csv,lineup_activation_state,INACTIVE,PRELOCK_REBUILD,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,5,UNRESOLVED_LEDGER_ROWS,P2,,,,UNKNOWN,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,result_status,UNRESOLVED,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,6,UNRESOLVED_LEDGER_ROWS,P2,1494182,Kalmar FF,Degerfors IF,OVER_1_5,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,result_status,UNRESOLVED,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,7,UNRESOLVED_LEDGER_ROWS,P2,1494182.0,Kalmar FF,Degerfors IF,OVER_1_5,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,result_status,UNRESOLVED,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,8,UNRESOLVED_LEDGER_ROWS,P2,1504822,Kashima,FC Tokyo,OVER_1_5,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,result_status,UNRESOLVED,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,9,UNRESOLVED_LEDGER_ROWS,P2,1504822.0,Kashima,FC Tokyo,OVER_1_5,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,result_status,UNRESOLVED,POST_RESULT_LABELING,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-23 --timezone Atlantic/Canary --mode post,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,10,NO_SIGNAL,P3,,,,UNKNOWN,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,improvement_signal,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,11,NO_SIGNAL,P3,1494182.0,Kalmar FF,Degerfors IF,OVER_1_5,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,improvement_signal,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,12,NO_SIGNAL,P3,1504822.0,Kashima,FC Tokyo,OVER_1_5,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,improvement_signal,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,13,UNKNOWN_MARKET,P3,,,,UNKNOWN,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,market_primary,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
2026-05-23,2026-05-23T08:58:33+01:00,14,UNKNOWN_RISK,P3,,,,UNKNOWN,data/processed/today/2026-05-23/vsigma_learning_ledger.csv,accuracy_primary_risk,EMPTY,REBUILD_LEARNING,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,EVIDENCE_CLEANER_PLAN_ONLY_NO_AUTO_CHANGE
